time,SMA
2020-02-28 15:59,1.0151
2020-02-28 15:41,1.0131
2020-02-28 14:58,1.0150
2020-02-28 14:54,1.0169
2020-02-28 14:52,1.0193
2020-02-28 14:48,1.0195
2020-02-28 14:38,1.0196
2020-02-28 14:34,1.0186
2020-02-28 14:05,1.0216
2020-02-28 13:51,1.0246
2020-02-28 12:51,1.0286
2020-02-28 12:46,1.0326
2020-02-28 12:31,1.0342
2020-02-28 12:07,1.0352
2020-02-28 11:32,1.0357
2020-02-28 11:08,1.0364
2020-02-28 10:47,1.0350
2020-02-28 10:38,1.0347
2020-02-28 10:23,1.0306
2020-02-28 10:22,1.0232
2020-02-28 10:21,1.0149
2020-02-28 10:19,1.0099
2020-02-28 10:18,1.0012
2020-02-28 10:17,0.9932
2020-02-28 10:16,0.9837
2020-02-28 10:15,0.9832
2020-02-28 10:13,0.9891
2020-02-28 10:10,0.9962
2020-02-28 09:56,1.0020
2020-02-28 09:52,1.0104
2020-02-28 09:50,1.0207
2020-02-28 09:46,1.0292
2020-02-28 09:45,1.0432
2020-02-28 09:44,1.0582
2020-02-28 09:43,1.0726
2020-02-28 09:42,1.0772
2020-02-28 09:41,1.0779
2020-02-27 15:55,1.0822
2020-02-27 15:44,1.0871
2020-02-27 15:38,1.0927
2020-02-27 15:16,1.0942
2020-02-27 14:19,1.0962
2020-02-27 14:06,1.0964
2020-02-27 13:18,1.0954
2020-02-27 13:17,1.0968
2020-02-27 12:49,1.0986
2020-02-27 12:10,1.1050
2020-02-27 12:09,1.1066
2020-02-27 12:03,1.1109
2020-02-27 11:22,1.1123
2020-02-27 10:36,1.1153
2020-02-27 10:31,1.1177
2020-02-27 10:13,1.1210
2020-02-27 09:52,1.1228
2020-02-27 09:51,1.1245
2020-02-27 09:35,1.1195
2020-02-26 15:04,1.1217
2020-02-26 15:02,1.1271
2020-02-26 14:53,1.1273
2020-02-26 14:49,1.1303
2020-02-26 13:55,1.1352
2020-02-26 12:20,1.1323
2020-02-26 12:10,1.1316
2020-02-26 12:06,1.1297
2020-02-26 11:25,1.1353
2020-02-26 10:50,1.1443
2020-02-26 10:22,1.1431
2020-02-26 10:01,1.1416
2020-02-26 09:59,1.1449
2020-02-26 09:57,1.1450
2020-02-26 09:56,1.1441
2020-02-26 09:50,1.1531
2020-02-26 09:48,1.1596
2020-02-26 09:31,1.1696
2020-02-25 15:19,1.1671
2020-02-25 15:10,1.1709
2020-02-25 14:36,1.1714
2020-02-25 14:13,1.1738
2020-02-25 13:42,1.1683
2020-02-25 13:34,1.1742
2020-02-25 13:11,1.1794
2020-02-25 12:21,1.1813
2020-02-25 12:11,1.1822
2020-02-25 11:56,1.1852
2020-02-25 11:46,1.1936
2020-02-25 11:19,1.1959
2020-02-25 11:16,1.2014
2020-02-25 11:14,1.2031
2020-02-25 11:08,1.2122
2020-02-25 11:07,1.2122
