time,PPO
2019-11-15,-2.1424
2019-11-14,-1.1540
2019-11-13,-1.2991
2019-11-12,-1.5990
2019-11-11,-1.6331
2019-11-08,-2.1971
2019-11-07,-3.2018
2019-11-06,-3.7597
2019-11-05,-4.2250
2019-11-04,-5.0023
2019-11-01,-5.3398
2019-10-31,-6.3516
2019-10-30,-7.0559
2019-10-29,-8.2870
2019-10-28,-9.4051
2019-10-25,-10.4682
2019-10-24,-10.9709
2019-10-23,-11.3779
2019-10-22,-11.7937
2019-10-21,-11.6818
2019-10-18,-11.8711
2019-10-17,-12.6581
2019-10-16,-14.1269
2019-10-15,-14.6156
2019-10-14,-14.6616
2019-10-11,-14.2935
2019-10-10,-13.9317
2019-10-09,-13.4448
2019-10-08,-12.8831
2019-10-07,-12.3585
2019-10-04,-11.6168
2019-10-03,-11.0054
2019-10-02,-10.4988
2019-10-01,-9.5448
2019-09-30,-7.7206
2019-09-27,-6.3549
2019-09-26,-4.3430
2019-09-25,-2.8351
2019-09-24,-1.7056
2019-09-23,-0.5908
2019-09-20,0.1513
2019-09-19,0.2604
2019-09-18,-0.0033
2019-09-17,-0.5418
2019-09-16,-0.9685
2019-09-13,-1.5469
2019-09-12,-2.4993
2019-09-11,-3.2089
2019-09-10,-4.2010
2019-09-09,-4.9105
2019-09-06,-5.0489
2019-09-05,-5.3598
2019-09-04,-5.6229
2019-09-03,-5.4440
2019-08-30,-5.8864
2019-08-29,-5.6687
2019-08-28,-4.7560
2019-08-27,-4.0367
2019-08-26,-3.4280
2019-08-23,-2.9289
2019-08-22,-2.4119
2019-08-21,-2.0077
2019-08-20,-2.3269
2019-08-19,-2.4384
2019-08-16,-2.9603
2019-08-15,-3.3064
2019-08-14,-3.5419
2019-08-13,-4.0859
2019-08-12,-4.8245
2019-08-09,-5.4628
2019-08-08,-6.0604
2019-08-07,-6.5594
2019-08-06,-7.0581
2019-08-05,-7.5575
2019-08-02,-7.4855
2019-08-01,-6.8635
2019-07-31,-6.1377
2019-07-30,-5.8879
2019-07-29,-5.8137
2019-07-26,-5.3121
2019-07-25,-4.7249
2019-07-24,-4.2925
2019-07-23,-3.8095
2019-07-22,-3.2676
2019-07-19,-2.6218
2019-07-18,-2.1960
2019-07-17,-1.6335
2019-07-16,-1.4455
2019-07-15,-0.9454
2019-07-12,-0.5233
2019-07-11,-0.2494
2019-07-10,-0.2359
2019-07-09,-0.2184
2019-07-08,-0.2350
2019-07-05,-0.4729
2019-07-03,-0.7412
2019-07-02,-1.1511
2019-07-01,-1.5623
2019-06-28,-2.0489
2019-06-27,-2.5081
2019-06-26,-2.9614
2019-06-25,-3.0416
2019-06-24,-3.4294
2019-06-21,-4.0557
2019-06-20,-4.2451
2019-06-19,-4.2299
2019-06-18,-4.8099
2019-06-17,-5.1379
2019-06-14,-5.0641
2019-06-13,-4.9526
2019-06-12,-4.6381
2019-06-11,-4.5745
2019-06-10,-4.5491
2019-06-07,-4.2472
2019-06-06,-3.8282
2019-06-05,-3.5581
2019-06-04,-3.2047
2019-06-03,-2.7165
2019-05-31,-2.0717
2019-05-30,-1.9722
2019-05-29,-2.4144
2019-05-28,-2.6728
2019-05-24,-2.9410
2019-05-23,-2.9517
2019-05-22,-2.8873
2019-05-21,-2.5883
2019-05-20,-2.5588
2019-05-17,-2.4503
2019-05-16,-2.3265
2019-05-15,-2.1127
2019-05-14,-1.9075
2019-05-13,-1.6229
2019-05-10,-1.0346
2019-05-09,-0.5717
2019-05-08,-0.2179
2019-05-07,0.1244
2019-05-06,0.2983
2019-05-03,0.3941
2019-05-02,0.4604
2019-05-01,0.0470
2019-04-30,-0.1708
2019-04-29,-0.3346
2019-04-26,-0.5144
2019-04-25,-1.0515
2019-04-24,-1.4518
2019-04-23,-1.7420
2019-04-22,-2.0697
2019-04-18,-2.2445
2019-04-17,-2.2094
2019-04-16,-1.5943
2019-04-15,-1.0402
2019-04-12,-0.4245
2019-04-11,0.0835
2019-04-10,0.7706
2019-04-09,1.3464
2019-04-08,2.2546
2019-04-05,3.5196
2019-04-04,4.8671
2019-04-03,6.4955
2019-04-02,8.0335
2019-04-01,9.4253
2019-03-29,10.3424
2019-03-28,11.3647
2019-03-27,11.3994
2019-03-26,11.4973
2019-03-25,11.1663
2019-03-22,10.5817
2019-03-21,10.3409
2019-03-20,10.0801
2019-03-19,8.7491
2019-03-18,7.2063
2019-03-15,5.7820
2019-03-14,4.5988
2019-03-13,3.8081
2019-03-12,2.3754
2019-03-11,1.5541
2019-03-08,1.0079
2019-03-07,0.6725
2019-03-06,0.3001
2019-03-05,-0.2384
2019-03-04,-0.6554
2019-03-01,-0.3053
2019-02-28,0.1092
2019-02-27,0.3918
2019-02-26,1.0464
2019-02-25,1.7177
2019-02-22,2.0252
2019-02-21,3.1090
2019-02-20,4.4209
2019-02-19,5.2046
2019-02-15,5.9666
2019-02-14,6.7615
2019-02-13,7.7447
2019-02-12,8.7752
2019-02-11,9.4317
2019-02-08,10.0286
2019-02-07,9.7656
2019-02-06,9.5631
2019-02-05,9.6330
2019-02-04,9.7489
2019-02-01,10.8227
2019-01-31,11.9656
2019-01-30,13.1312
2019-01-29,13.7061
2019-01-28,13.5480
2019-01-25,12.3505
2019-01-24,10.7774
2019-01-23,9.3526
2019-01-22,8.2818
2019-01-18,6.7876
2019-01-17,5.3862
2019-01-16,3.6012
2019-01-15,1.5817
2019-01-14,-0.0807
2019-01-11,-1.7133
2019-01-10,-3.3592
2019-01-09,-4.8453
2019-01-08,-5.5275
2019-01-07,-5.7505
2019-01-04,-5.4971
2019-01-03,-5.3151
2019-01-02,-4.8400
2018-12-31,-4.8003
2018-12-28,-3.7701
2018-12-27,-3.2979
2018-12-26,-3.2247
2018-12-24,-3.2637
2018-12-21,-3.6074
2018-12-20,-4.0209
2018-12-19,-4.3508
2018-12-18,-4.9813
2018-12-17,-6.0259
2018-12-14,-6.9477
2018-12-13,-8.3158
2018-12-12,-9.2758
2018-12-11,-9.8387
2018-12-10,-9.8556
2018-12-07,-10.0449
2018-12-06,-9.7862
2018-12-04,-8.6744
2018-12-03,-7.9699
2018-11-30,-8.3441
2018-11-29,-7.9359
2018-11-28,-7.3970
2018-11-27,-7.1971
2018-11-26,-7.0213
2018-11-23,-6.6455
2018-11-21,-7.2741
2018-11-20,-8.2196
2018-11-19,-9.7339
2018-11-16,-11.0068
2018-11-15,-12.0080
2018-11-14,-13.9843
2018-11-13,-15.8429
2018-11-12,-16.9496
2018-11-09,-17.5200
2018-11-08,-18.3354
2018-11-07,-18.9913
2018-11-06,-18.8471
2018-11-05,-17.2462
2018-11-02,-15.0957
2018-11-01,-12.6396
2018-10-31,-9.8909
2018-10-30,-6.6213
2018-10-29,-3.9767
2018-10-26,-1.9228
2018-10-25,-0.2757
2018-10-24,1.6876
2018-10-23,3.9367
2018-10-22,5.8163
2018-10-19,7.4051
2018-10-18,8.7875
2018-10-17,9.2762
2018-10-16,10.2179
2018-10-15,11.2106
2018-10-12,11.3101
2018-10-11,12.3189
2018-10-10,13.9815
2018-10-09,15.0997
2018-10-08,16.0008
2018-10-05,17.0228
2018-10-04,17.1215
2018-10-03,17.7501
2018-10-02,17.0704
2018-10-01,15.6429
2018-09-28,14.0759
2018-09-27,13.1841
2018-09-26,12.4515
2018-09-25,11.0219
2018-09-24,9.6408
2018-09-21,8.6461
2018-09-20,8.1116
2018-09-19,8.1110
2018-09-18,8.4035
2018-09-17,8.6778
2018-09-14,9.8126
2018-09-13,11.1582
2018-09-12,13.3952
2018-09-11,14.1780
2018-09-10,14.4532
2018-09-07,15.1601
2018-09-06,16.0458
2018-09-05,16.0923
2018-09-04,14.7863
2018-08-31,12.8572
2018-08-30,11.2394
2018-08-29,8.2719
2018-08-28,5.5330
2018-08-27,3.0745
2018-08-24,0.5084
2018-08-23,-1.7886
2018-08-22,-4.0029
2018-08-21,-5.5255
2018-08-20,-7.3733
2018-08-17,-8.9626
2018-08-16,-9.7114
2018-08-15,-9.9811
2018-08-14,-10.8275
2018-08-13,-10.7435
2018-08-10,-11.1603
2018-08-09,-11.6587
2018-08-08,-12.1033
2018-08-07,-12.0314
2018-08-06,-12.0619
2018-08-03,-12.2397
2018-08-02,-11.8135
2018-08-01,-11.7000
2018-07-31,-11.6441
2018-07-30,-11.2938
2018-07-27,-10.6336
2018-07-26,-9.8679
2018-07-25,-8.7704
2018-07-24,-7.5309
2018-07-23,-6.2536
2018-07-20,-5.2230
2018-07-19,-4.1238
2018-07-18,-2.9086
2018-07-17,-2.1005
2018-07-16,-1.4849
2018-07-13,-1.4809
2018-07-12,-1.4218
2018-07-11,-0.7939
2018-07-10,0.2966
2018-07-09,1.7703
2018-07-06,2.7925
2018-07-05,3.3475
2018-07-03,3.6154
2018-07-02,3.8318
2018-06-29,3.8044
2018-06-28,3.9197
2018-06-27,3.9515
2018-06-26,4.0915
2018-06-25,4.7533
2018-06-22,5.9060
2018-06-21,6.9660
2018-06-20,6.6307
2018-06-19,5.9393
2018-06-18,5.2779
2018-06-15,4.8496
2018-06-14,4.5917
2018-06-13,4.3109
2018-06-12,3.7638
2018-06-11,3.5855
2018-06-08,3.6693
2018-06-07,3.4516
2018-06-06,3.2937
2018-06-05,2.2153
2018-06-04,1.2305
2018-06-01,0.7938
2018-05-31,0.6369
2018-05-30,0.4183
2018-05-29,0.4197
2018-05-25,0.0972
2018-05-24,-0.2996
2018-05-23,-1.0848
2018-05-22,-1.6066
2018-05-21,-2.3131
2018-05-18,-3.0446
2018-05-17,-3.1480
2018-05-16,-2.9118
2018-05-15,-2.5458
2018-05-14,-2.4970
2018-05-11,-2.7912
2018-05-10,-3.3089
2018-05-09,-2.8862
2018-05-08,-2.8900
2018-05-07,-2.4285
2018-05-04,-2.2158
2018-05-03,-1.8842
2018-05-02,-1.8822
2018-05-01,-1.5791
2018-04-30,-1.5847
2018-04-27,-2.1350
2018-04-26,-2.7287
2018-04-25,-3.4980
2018-04-24,-4.9762
2018-04-23,-6.0920
2018-04-20,-6.8285
2018-04-19,-8.6968
2018-04-18,-10.3470
2018-04-17,-11.4000
2018-04-16,-11.7890
2018-04-13,-12.6303
2018-04-12,-12.8997
2018-04-11,-12.6705
2018-04-10,-12.0220
2018-04-09,-11.5640
2018-04-06,-10.5667
2018-04-05,-9.6933
2018-04-04,-8.4704
2018-04-03,-6.9963
2018-04-02,-5.5075
2018-03-29,-4.3127
2018-03-28,-3.2714
2018-03-27,-1.9487
2018-03-26,-0.8027
2018-03-23,-0.2810
2018-03-22,0.0912
2018-03-21,1.0957
2018-03-20,1.3790
2018-03-19,1.2096
2018-03-16,1.0723
2018-03-15,0.6267
2018-03-14,-0.4815
2018-03-13,-0.5449
2018-03-12,-0.1179
2018-03-09,-0.3964
2018-03-08,-1.1313
2018-03-07,-1.4593
2018-03-06,-2.8682
2018-03-05,-3.9918
2018-03-02,-4.5991
2018-03-01,-5.3079
2018-02-28,-6.1842
2018-02-27,-6.7751
2018-02-26,-6.9637
2018-02-23,-7.1532
2018-02-22,-6.9790
2018-02-21,-8.3788
2018-02-20,-9.7098
2018-02-16,-10.4009
2018-02-15,-10.0409
2018-02-14,-10.2068
2018-02-13,-9.6579
2018-02-12,-8.6184
2018-02-09,-7.7515
2018-02-08,-6.6038
2018-02-07,-4.2510
2018-02-06,-1.4643
2018-02-05,0.6309
2018-02-02,3.6496
2018-02-01,6.5341
2018-01-31,8.7562
2018-01-30,9.4408
2018-01-29,11.4916
2018-01-26,13.9451
2018-01-25,16.6719
2018-01-24,19.8197
2018-01-23,22.2001
2018-01-22,24.3612
2018-01-19,27.5683
2018-01-18,29.3620
2018-01-17,29.4889
2018-01-16,29.5673
2018-01-12,28.6987
2018-01-11,27.9349
2018-01-10,25.8565
2018-01-09,22.9784
2018-01-08,19.6883
2018-01-05,16.6344
2018-01-04,13.0633
2018-01-03,9.1661
2018-01-02,5.1496
2017-12-29,2.4675
2017-12-28,1.5459
2017-12-27,1.1507
2017-12-26,1.2951
2017-12-22,1.1961
2017-12-21,1.4560
2017-12-20,2.2819
2017-12-19,3.4501
2017-12-18,5.4665
2017-12-15,8.0960
2017-12-14,9.6710
2017-12-13,12.7528
2017-12-12,16.8661
2017-12-11,19.8830
2017-12-08,22.0264
2017-12-07,23.8121
2017-12-06,25.6948
2017-12-05,27.0300
2017-12-04,28.0984
2017-12-01,30.5005
2017-11-30,33.3185
2017-11-29,35.4963
2017-11-28,36.1486
2017-11-27,35.0089
2017-11-24,33.1728
2017-11-22,31.5188
2017-11-21,29.9519
2017-11-20,27.7010
2017-11-17,25.2428
2017-11-16,22.8521
2017-11-15,20.2999
2017-11-14,16.6662
2017-11-13,11.9347
2017-11-10,7.6597
2017-11-09,4.8926
2017-11-08,3.0933
2017-11-07,1.5992
2017-11-06,0.1760
2017-11-03,-0.9333
2017-11-02,-1.2853
2017-11-01,-1.7374
2017-10-31,-1.8443
2017-10-30,-1.8272
2017-10-27,-1.5675
2017-10-26,-0.8961
2017-10-25,-0.4724
2017-10-24,0.3957
2017-10-23,1.0537
2017-10-20,1.8715
2017-10-19,2.4262
2017-10-18,2.8080
2017-10-17,2.8773
2017-10-16,2.9441
2017-10-13,3.0179
2017-10-12,3.1458
2017-10-11,3.3752
2017-10-10,3.6393
2017-10-09,3.8338
2017-10-06,3.7000
2017-10-05,4.0963
2017-10-04,4.3014
2017-10-03,4.5355
2017-10-02,4.8406
2017-09-29,4.9214
