time,SAR
2019-11-15,3.9317
2019-11-14,3.9400
2019-11-13,3.4614
2019-11-12,3.4565
2019-11-11,3.4516
2019-11-08,3.4467
2019-11-07,3.4417
2019-11-06,3.4367
2019-11-05,3.4316
2019-11-04,3.4265
2019-11-01,3.4213
2019-10-31,3.4160
2019-10-30,3.4107
2019-10-29,3.4054
2019-10-28,3.4000
2019-10-25,3.9933
2019-10-24,4.0593
2019-10-23,4.1325
2019-10-22,4.2139
2019-10-21,4.3044
2019-10-18,4.4048
2019-10-17,4.5165
2019-10-16,4.6405
2019-10-15,4.7784
2019-10-14,4.9315
2019-10-11,5.0593
2019-10-10,5.1757
2019-10-09,5.2793
2019-10-08,5.3906
2019-10-07,5.5103
2019-10-04,5.6391
2019-10-03,5.7775
2019-10-02,5.9263
2019-10-01,6.0461
2019-09-30,6.1364
2019-09-27,6.2042
2019-09-26,6.2748
2019-09-25,6.3483
2019-09-24,6.3987
2019-09-23,6.4288
2019-09-20,6.4596
2019-09-19,6.4729
2019-09-18,6.4864
2019-09-17,6.5000
2019-09-16,5.4133
2019-09-13,5.4023
2019-09-12,5.3912
2019-09-11,5.3800
2019-09-10,6.5402
2019-09-09,6.5886
2019-09-06,6.6389
2019-09-05,6.6914
2019-09-04,6.7460
2019-09-03,6.8029
2019-08-30,6.8622
2019-08-29,6.9240
2019-08-28,6.9883
2019-08-27,7.0334
2019-08-26,7.0799
2019-08-23,7.1093
2019-08-22,7.1240
2019-08-21,7.1389
2019-08-20,7.1540
2019-08-19,7.1692
2019-08-16,7.1845
2019-08-15,7.2000
2019-08-14,5.9290
2019-08-13,5.9162
2019-08-12,5.9032
2019-08-09,5.8901
2019-08-08,5.8769
2019-08-07,5.8635
2019-08-06,5.8500
2019-08-05,7.0100
2019-08-02,7.1109
2019-08-01,7.2205
2019-07-31,7.3124
2019-07-30,7.4112
2019-07-29,7.5006
2019-07-26,7.5612
2019-07-25,7.6079
2019-07-24,7.6565
2019-07-23,7.7072
2019-07-22,7.7600
2019-07-19,7.7953
2019-07-18,7.8316
2019-07-17,7.8691
2019-07-16,7.9077
2019-07-15,7.9476
2019-07-12,7.9720
2019-07-11,7.9800
2019-07-10,7.1940
2019-07-09,7.1696
2019-07-08,7.1446
2019-07-05,7.1187
2019-07-03,7.0921
2019-07-02,7.0646
2019-07-01,7.0363
2019-06-28,7.0183
2019-06-27,7.0100
2019-06-26,7.6797
2019-06-25,7.7301
2019-06-24,7.7843
2019-06-21,7.8426
2019-06-20,7.8880
2019-06-19,7.9364
2019-06-18,7.9879
2019-06-17,8.0427
2019-06-14,8.1009
2019-06-13,8.1629
2019-06-12,8.2288
