timestamp,open,high,low,close
2020-03-13,4.4968,4.5017,4.4968,4.5017
2020-03-12,4.4475,4.4475,4.4426,4.4426
2020-03-10,4.5077,4.5077,4.5028,4.5028
2020-03-09,4.5186,4.5186,4.5186,4.5186
2020-03-06,4.4845,4.4845,4.4845,4.4845
2020-03-05,4.4358,4.4358,4.4358,4.4358
2020-03-04,4.3920,4.4066,4.3920,4.4066
2020-03-03,4.4310,4.4310,4.4310,4.4310
2020-03-02,4.4328,4.4328,4.4328,4.4328
2020-02-28,4.3694,4.3694,4.3694,4.3694
2020-02-27,4.3596,4.3645,4.3596,4.3645
2020-02-26,4.3238,4.3384,4.3238,4.3384
2020-02-21,4.3286,4.3286,4.3286,4.3286
2020-02-20,4.3091,4.3091,4.3091,4.3091
2020-02-19,4.3176,4.3176,4.3176,4.3176
2020-02-18,4.3274,4.3274,4.3274,4.3274
2020-02-17,4.3343,4.3343,4.3343,4.3343
2020-02-14,4.3441,4.3441,4.3441,4.3441
2020-02-13,4.3588,4.3588,4.3491,4.3491
2020-02-11,4.3876,4.3876,4.3827,4.3827
2020-02-10,4.4025,4.4025,4.3926,4.3926
