time,ROCR
2019-11-19,1.1248
2019-11-18,1.0983
2019-11-15,1.0626
2019-11-14,1.0571
2019-11-13,1.0443
2019-11-12,1.0155
2019-11-11,1.0006
2019-11-08,1.0401
2019-11-07,1.0693
2019-11-06,1.0845
2019-11-05,1.0945
2019-11-04,1.0772
2019-11-01,1.0666
2019-10-31,1.0697
2019-10-30,1.0564
2019-10-29,1.0482
2019-10-28,1.0518
2019-10-25,1.0562
2019-10-24,1.0186
2019-10-23,1.0179
2019-10-22,1.0257
2019-10-21,1.0491
2019-10-18,1.0410
2019-10-17,1.0973
2019-10-16,1.0826
2019-10-15,1.0882
2019-10-14,1.0553
2019-10-11,1.0255
2019-10-10,0.9895
2019-10-09,1.0053
2019-10-08,0.9816
2019-10-07,0.9979
2019-10-04,1.0101
2019-10-03,0.9732
2019-10-02,0.9584
2019-10-01,0.9743
2019-09-30,0.9461
2019-09-27,0.9557
2019-09-26,0.9729
2019-09-25,0.9711
2019-09-24,0.9526
2019-09-23,0.9938
2019-09-20,0.9791
2019-09-19,1.0026
2019-09-18,1.0222
2019-09-17,1.0251
2019-09-16,1.0108
2019-09-13,1.0043
2019-09-12,0.9590
2019-09-11,0.9616
2019-09-10,0.9783
2019-09-09,0.9698
2019-09-06,0.9717
2019-09-05,1.0234
2019-09-04,1.0248
2019-09-03,1.0205
2019-08-30,1.0647
2019-08-29,0.9859
2019-08-28,0.9710
2019-08-27,0.9831
2019-08-26,0.9619
2019-08-23,0.9474
2019-08-22,1.0752
2019-08-21,1.0483
2019-08-20,0.9567
2019-08-19,0.9707
2019-08-16,0.9120
2019-08-15,0.8747
2019-08-14,1.0360
2019-08-13,1.1126
2019-08-12,1.1586
2019-08-09,1.1613
2019-08-08,1.1360
2019-08-07,0.9586
2019-08-06,0.8521
2019-08-05,0.8360
2019-08-02,0.8654
2019-08-01,0.8868
2019-07-31,0.8927
2019-07-30,1.0113
2019-07-29,1.0192
2019-07-26,1.0464
2019-07-25,1.0203
2019-07-24,1.0152
2019-07-23,0.9894
2019-07-22,0.9552
2019-07-19,0.9789
2019-07-18,0.9982
2019-07-17,0.9944
2019-07-16,1.0211
2019-07-15,1.0733
2019-07-12,1.0543
2019-07-11,1.0600
2019-07-10,1.0816
2019-07-09,1.0625
2019-07-08,1.0550
2019-07-05,1.0247
2019-07-03,1.0424
2019-07-02,1.0825
2019-07-01,1.0663
2019-06-28,1.0436
2019-06-27,1.0243
2019-06-26,0.9810
2019-06-25,0.9478
2019-06-24,1.0021
2019-06-21,0.9585
2019-06-20,0.9560
2019-06-19,0.9478
2019-06-18,0.9395
2019-06-17,0.8787
2019-06-14,0.9367
2019-06-13,0.9865
2019-06-12,1.0908
2019-06-11,1.0960
2019-06-10,1.2049
2019-06-07,1.1824
2019-06-06,1.1352
2019-06-05,1.0502
2019-06-04,1.0186
2019-06-03,1.0431
2019-05-31,1.0398
2019-05-30,1.0226
2019-05-29,1.0271
2019-05-28,1.0881
2019-05-24,0.9615
2019-05-23,0.9411
2019-05-22,0.9938
2019-05-21,1.0011
2019-05-20,1.0168
2019-05-17,0.9835
2019-05-16,1.0294
2019-05-15,1.0181
2019-05-14,1.0248
2019-05-13,0.9570
2019-05-10,0.9908
2019-05-09,0.9618
2019-05-08,1.0104
2019-05-07,0.9649
2019-05-06,0.9902
2019-05-03,1.0122
2019-05-02,1.0228
2019-05-01,0.9420
2019-04-30,0.9878
2019-04-29,0.9826
2019-04-26,1.0072
2019-04-25,1.0062
2019-04-24,1.0190
2019-04-23,1.0234
2019-04-22,1.0118
2019-04-18,0.9960
2019-04-17,0.9878
2019-04-16,1.0253
2019-04-15,0.9579
