time,ADX
2019-11-15,53.3454
2019-11-14,46.1596
2019-11-13,37.1774
2019-11-12,28.4950
2019-11-11,21.8468
2019-11-08,19.8311
2019-11-07,17.3116
2019-11-06,16.5424
2019-11-05,20.6136
2019-11-04,20.9617
2019-11-01,17.9316
2019-10-31,20.6187
2019-10-30,24.8986
2019-10-29,28.7588
2019-10-28,32.9147
2019-10-25,29.5097
2019-10-24,26.4443
2019-10-23,33.0111
2019-10-22,38.8680
2019-10-21,38.9394
2019-10-18,39.0287
2019-10-17,40.7622
2019-10-16,46.7665
2019-10-15,54.2719
2019-10-14,67.6996
2019-10-11,63.4939
2019-10-10,60.2141
2019-10-09,56.1144
2019-10-08,61.6565
2019-10-07,64.0141
2019-10-04,69.0882
2019-10-03,78.7307
2019-10-02,79.8980
2019-10-01,81.3572
2019-09-30,77.9803
2019-09-27,74.1112
2019-09-26,70.3745
2019-09-25,65.7489
2019-09-24,59.9668
2019-09-23,54.1674
2019-09-20,50.6679
2019-09-19,44.6828
2019-09-18,38.5710
2019-09-17,32.0389
2019-09-16,24.4115
2019-09-13,24.5924
2019-09-12,24.8185
2019-09-11,27.8791
2019-09-10,28.3665
2019-09-09,30.3081
2019-09-06,26.4426
2019-09-05,20.5676
2019-09-04,17.9657
2019-09-03,18.1032
2019-08-30,19.0314
2019-08-29,23.6880
2019-08-28,27.4962
2019-08-27,23.9080
2019-08-26,21.0941
2019-08-23,26.3639
2019-08-22,24.7548
2019-08-21,24.7600
2019-08-20,26.4924
2019-08-19,28.1484
2019-08-16,29.8472
2019-08-15,31.9708
2019-08-14,34.6252
2019-08-13,37.8818
2019-08-12,39.4212
2019-08-09,47.5029
2019-08-08,54.7553
2019-08-07,58.8334
2019-08-06,60.4310
2019-08-05,59.6732
2019-08-02,60.8001
2019-08-01,62.2088
2019-07-31,59.4544
2019-07-30,60.3461
2019-07-29,61.4606
2019-07-26,55.1089
2019-07-25,48.1974
2019-07-24,42.8833
2019-07-23,38.1839
2019-07-22,35.2939
2019-07-19,33.4696
2019-07-18,39.7693
2019-07-17,47.6438
