time,RSI
2019-11-15,17.1958
2019-11-14,21.4821
2019-11-13,22.9097
2019-11-12,33.1237
2019-11-11,45.4108
2019-11-08,52.4914
2019-11-07,30.9625
2019-11-06,38.1553
2019-11-05,52.3837
2019-11-04,51.6242
2019-11-01,55.9047
2019-10-31,44.1790
2019-10-30,46.7990
2019-10-29,45.7698
2019-10-28,55.6786
2019-10-25,74.8393
2019-10-24,59.9052
2019-10-23,56.7824
2019-10-22,46.8465
2019-10-21,44.9168
2019-10-18,41.9672
2019-10-17,47.1624
2019-10-16,45.0459
2019-10-15,60.9500
2019-10-14,16.8771
2019-10-11,23.9508
2019-10-10,16.7750
2019-10-09,47.3622
2019-10-08,36.5430
2019-10-07,43.7344
2019-10-04,40.6182
2019-10-03,40.6182
2019-10-02,23.4286
2019-10-01,12.8003
2019-09-30,14.7681
2019-09-27,20.7119
2019-09-26,25.7446
2019-09-25,15.0608
2019-09-24,18.3196
2019-09-23,28.4637
2019-09-20,33.0673
2019-09-19,23.1197
2019-09-18,30.7690
2019-09-17,26.5422
2019-09-16,42.2112
2019-09-13,48.8957
2019-09-12,44.4144
2019-09-11,59.2619
2019-09-10,65.5752
2019-09-09,58.0225
2019-09-06,76.3636
2019-09-05,70.2967
2019-09-04,66.7167
2019-09-03,56.8925
2019-08-30,46.1286
2019-08-29,55.7458
2019-08-28,44.5503
2019-08-27,30.4806
2019-08-26,48.4340
2019-08-23,58.2341
2019-08-22,55.8520
2019-08-21,59.6632
2019-08-20,45.6851
2019-08-19,45.2249
2019-08-16,42.9030
2019-08-15,34.7952
2019-08-14,45.0249
2019-08-13,62.3579
2019-08-12,52.1573
2019-08-09,44.8509
2019-08-08,56.0580
2019-08-07,61.5240
2019-08-06,72.8967
2019-08-05,70.8780
2019-08-02,80.4672
2019-08-01,15.6384
2019-07-31,20.1625
2019-07-30,23.8409
2019-07-29,6.8460
2019-07-26,8.3338
2019-07-25,13.7536
2019-07-24,21.2230
2019-07-23,26.1657
2019-07-22,26.1657
2019-07-19,38.9322
2019-07-18,43.5704
2019-07-17,52.7954
2019-07-16,21.2790
2019-07-15,19.6279
2019-07-12,8.9314
2019-07-11,17.9319
2019-07-10,22.9858
2019-07-09,31.7297
2019-07-08,31.7297
2019-07-05,40.7484
2019-07-03,45.9755
2019-07-02,38.3882
2019-07-01,52.0278
2019-06-28,55.4023
2019-06-27,61.8175
2019-06-26,55.6558
2019-06-25,51.4798
2019-06-24,67.6092
2019-06-21,35.0491
2019-06-20,33.6448
2019-06-19,34.8504
2019-06-18,38.7368
2019-06-17,41.9443
2019-06-14,36.3200
2019-06-13,43.4809
2019-06-12,58.0143
2019-06-11,65.8389
2019-06-10,71.6359
2019-06-07,67.2828
2019-06-06,54.9076
2019-06-05,47.3628
2019-06-04,51.5822
2019-06-03,29.0606
2019-05-31,36.2104
2019-05-30,47.7866
2019-05-29,51.4903
2019-05-28,61.6905
2019-05-24,66.5225
2019-05-23,27.9333
2019-05-22,41.3052
2019-05-21,46.1225
2019-05-20,32.0298
2019-05-17,40.5059
2019-05-16,45.3011
2019-05-15,50.0403
2019-05-14,46.4553
2019-05-13,38.0026
2019-05-10,54.7395
2019-05-09,28.4250
2019-05-08,35.2580
2019-05-07,12.5560
2019-05-06,16.2763
2019-05-03,17.2031
2019-05-02,20.8043
2019-05-01,29.7068
2019-04-30,35.4115
2019-04-29,16.0708
2019-04-26,19.1252
2019-04-25,21.3577
2019-04-24,24.2386
2019-04-23,24.4269
2019-04-22,25.2102
2019-04-18,16.1787
2019-04-17,17.5513
2019-04-16,26.8923
2019-04-15,23.5239
2019-04-12,60.9932
2019-04-11,48.2424
2019-04-10,59.5122
2019-04-09,41.1962
2019-04-08,62.5346
2019-04-05,69.5180
2019-04-04,63.3846
2019-04-03,57.4483
2019-04-02,57.4483
