time,SAR
2019-11-15,5.6551
2019-11-14,5.6872
2019-11-13,5.7000
2019-11-12,4.6748
2019-11-11,4.6431
2019-11-08,4.6104
2019-11-07,4.5768
2019-11-06,4.5420
2019-11-05,4.5062
2019-11-04,4.4693
2019-11-01,4.4312
2019-10-31,4.3920
2019-10-30,4.3515
2019-10-29,4.3098
2019-10-28,4.2668
2019-10-25,4.2392
2019-10-24,4.2300
2019-10-23,5.0895
2019-10-22,5.1850
2019-10-21,5.2911
2019-10-18,5.4090
2019-10-17,5.5400
2019-10-16,5.5400
2019-10-15,5.6198
2019-10-14,5.7742
2019-10-11,5.9062
2019-10-10,6.0512
2019-10-09,6.1556
2019-10-08,6.2692
2019-10-07,6.3926
2019-10-04,6.5267
2019-10-03,6.6725
2019-10-02,6.8310
2019-10-01,6.9748
2019-09-30,7.0945
2019-09-27,7.1868
2019-09-26,7.2840
2019-09-25,7.3864
2019-09-24,7.4583
2019-09-23,7.5056
2019-09-20,7.5543
2019-09-19,7.5852
2019-09-18,7.6000
2019-09-17,6.1507
2019-09-16,6.1211
2019-09-13,6.0909
2019-09-12,6.0601
2019-09-11,6.0287
2019-09-10,5.9966
2019-09-09,5.9639
2019-09-06,5.9305
2019-09-05,5.8964
2019-09-04,5.8617
2019-09-03,5.8262
2019-08-30,5.7900
2019-08-29,5.7872
2019-08-28,5.7502
2019-08-27,5.7124
2019-08-26,5.6739
2019-08-23,5.6346
2019-08-22,5.5945
2019-08-21,5.5536
2019-08-20,5.5118
2019-08-19,5.4692
2019-08-16,5.4257
2019-08-15,5.3813
2019-08-14,5.3361
2019-08-13,5.2898
2019-08-12,5.2427
2019-08-09,5.1946
2019-08-08,5.1455
2019-08-07,5.0954
2019-08-06,5.0443
2019-08-05,5.0200
2019-08-02,5.0200
2019-08-01,6.5472
2019-07-31,6.6475
2019-07-30,6.7553
2019-07-29,6.8713
2019-07-26,6.9636
2019-07-25,7.0253
2019-07-24,7.0718
2019-07-23,7.1050
2019-07-22,7.1391
2019-07-19,7.1744
2019-07-18,7.2107
2019-07-17,7.2481
2019-07-16,7.2867
2019-07-15,7.3265
2019-07-12,7.3507
2019-07-11,7.3615
2019-07-10,7.3723
2019-07-09,7.3832
2019-07-08,7.3943
2019-07-05,7.4054
2019-07-03,7.4167
2019-07-02,7.4281
2019-07-01,7.4396
2019-06-28,7.4512
2019-06-27,7.4629
2019-06-26,7.4747
2019-06-25,7.4867
2019-06-24,7.4988
2019-06-21,7.5110
2019-06-20,7.5233
2019-06-19,7.5358
2019-06-18,7.5484
2019-06-17,7.5611
2019-06-14,7.5739
2019-06-13,7.5869
2019-06-12,7.6000
2019-06-11,7.6000
2019-06-10,7.6119
2019-06-07,7.6252
2019-06-06,7.6387
2019-06-05,7.6523
2019-06-04,7.6661
2019-06-03,7.6800
2019-05-31,6.4565
2019-05-30,6.4315
2019-05-29,6.4060
2019-05-28,6.3800
2019-05-24,6.3800
2019-05-23,7.1133
2019-05-22,7.1755
2019-05-21,7.2454
2019-05-20,7.3239
2019-05-17,7.4122
2019-05-16,7.5113
2019-05-15,7.6227
2019-05-14,7.7479
2019-05-13,7.8885
2019-05-10,8.0465
2019-05-09,8.2241
2019-05-08,8.4235
2019-05-07,8.6477
2019-05-06,8.8685
2019-05-03,9.0603
2019-05-02,9.2420
2019-05-01,9.3859
2019-04-30,9.5407
2019-04-29,9.6812
2019-04-26,9.7949
2019-04-25,9.8884
2019-04-24,9.9859
2019-04-23,10.0874
2019-04-22,10.1931
2019-04-18,10.3032
2019-04-17,10.3806
2019-04-16,10.4194
2019-04-15,10.4590
2019-04-12,10.4764
2019-04-11,10.4940
2019-04-10,10.5118
2019-04-09,10.5297
2019-04-08,10.5479
2019-04-05,10.5662
2019-04-04,10.5847
2019-04-03,10.6034
2019-04-02,10.6222
2019-04-01,10.6413
2019-03-29,10.6605
2019-03-28,10.6800
2019-03-27,8.9400
2019-03-26,8.9044
2019-03-25,8.8682
2019-03-22,8.8312
2019-03-21,8.7935
2019-03-20,8.7550
2019-03-19,8.7157
2019-03-18,8.6756
2019-03-15,8.6347
2019-03-14,8.5930
2019-03-13,8.5504
2019-03-12,8.5069
2019-03-11,8.4626
2019-03-08,8.4173
2019-03-07,8.3711
2019-03-06,8.3240
2019-03-05,8.2759
2019-03-04,8.2269
2019-03-01,8.2030
2019-02-28,8.1789
2019-02-27,8.1545
2019-02-26,8.1299
2019-02-25,8.1051
2019-02-22,8.0800
2019-02-21,10.5990
2019-02-20,10.6504
2019-02-19,10.7029
2019-02-15,10.7564
2019-02-14,10.8110
2019-02-13,10.8667
2019-02-12,10.9236
2019-02-11,10.9500
2019-02-08,8.8984
2019-02-07,8.5644
2019-02-06,8.1760
2019-02-05,7.7244
2019-02-04,7.1993
2019-02-01,6.7808
2019-01-31,6.4878
2019-01-30,6.3318
2019-01-29,6.1931
2019-01-28,6.0609
2019-01-25,5.9409
2019-01-24,5.8106
2019-01-23,5.6689
2019-01-22,5.5149
2019-01-18,5.3880
2019-01-17,5.2517
2019-01-16,5.1050
2019-01-15,4.9473
2019-01-14,4.7778
2019-01-11,4.5955
2019-01-10,4.4432
2019-01-09,4.3139
2019-01-08,4.2199
2019-01-07,4.1503
2019-01-04,4.1050
2019-01-03,4.0588
2019-01-02,4.0116
2018-12-31,3.9635
2018-12-28,3.9144
2018-12-27,3.8916
2018-12-26,3.8686
2018-12-24,3.8454
2018-12-21,3.8219
2018-12-20,3.7982
2018-12-19,3.7742
2018-12-18,3.7500
2018-12-17,5.9852
2018-12-14,6.2900
2018-12-13,6.6120
2018-12-12,7.0022
2018-12-11,7.4457
2018-12-10,7.9497
2018-12-07,8.5224
2018-12-06,9.1731
2018-12-04,9.7606
2018-12-03,10.2229
2018-11-30,10.4793
2018-11-29,10.7611
2018-11-28,11.0708
2018-11-27,11.4111
2018-11-26,11.7051
2018-11-23,11.9577
2018-11-21,12.2292
2018-11-20,12.5212
2018-11-19,12.7459
2018-11-16,12.9294
2018-11-15,13.1225
2018-11-14,13.3258
2018-11-13,13.4873
2018-11-12,13.6555
2018-11-09,13.8308
2018-11-08,14.0133
2018-11-07,14.2034
2018-11-06,14.4015
2018-11-05,14.6078
2018-11-02,14.8227
2018-11-01,15.0466
2018-10-31,15.2798
2018-10-30,15.5227
2018-10-29,15.7059
2018-10-26,15.8121
2018-10-25,15.9206
2018-10-24,16.0312
2018-10-23,16.1441
2018-10-22,16.1900
2018-10-19,12.2409
2018-10-18,12.2010
2018-10-17,12.1607
2018-10-16,12.1200
2018-10-15,15.9839
2018-10-12,16.0229
2018-10-11,16.0624
2018-10-10,16.1022
2018-10-09,16.1424
2018-10-08,16.1830
2018-10-05,16.2241
2018-10-04,16.2655
2018-10-03,16.3074
2018-10-02,16.3497
2018-10-01,16.3924
2018-09-28,16.4356
2018-09-27,16.4792
2018-09-26,16.5232
2018-09-25,16.5677
2018-09-24,16.6126
2018-09-21,16.6580
2018-09-20,16.6732
2018-09-19,16.7192
2018-09-18,16.7657
2018-09-17,16.8126
2018-09-14,16.8600
2018-09-13,12.0872
2018-09-12,11.4363
2018-09-11,10.7783
2018-09-10,10.1315
2018-09-07,9.5210
2018-09-06,8.9353
2018-09-05,8.4675
2018-09-04,8.1080
2018-08-31,7.8469
2018-08-30,7.5720
2018-08-29,7.3520
2018-08-28,7.1228
2018-08-27,6.8840
2018-08-24,6.7614
2018-08-23,6.7125
2018-08-22,6.6625
2018-08-21,6.6116
2018-08-20,6.5900
2018-08-17,8.2092
2018-08-16,8.3311
2018-08-15,8.4621
2018-08-14,8.6030
2018-08-13,8.6900
2018-08-10,8.7529
2018-08-09,8.8190
2018-08-08,8.8886
2018-08-07,8.9619
2018-08-06,9.0137
2018-08-03,9.0676
2018-08-02,9.1237
2018-08-01,9.1822
2018-07-31,9.2431
2018-07-30,9.3066
2018-07-27,9.3727
2018-07-26,9.4415
2018-07-25,9.5132
2018-07-24,9.5879
2018-07-23,9.6658
2018-07-20,9.7468
2018-07-19,9.8313
2018-07-18,9.9192
2018-07-17,9.9849
2018-07-16,10.0198
2018-07-13,10.0329
2018-07-12,10.0460
2018-07-11,10.0593
2018-07-10,10.0727
2018-07-09,10.0863
2018-07-06,10.1000
2018-07-05,8.7181
2018-07-03,8.7041
2018-07-02,8.6900
2018-06-29,8.6900
2018-06-28,8.6774
2018-06-27,8.6630
2018-06-26,8.6485
2018-06-25,8.6338
2018-06-22,8.6190
2018-06-21,9.9311
2018-06-20,9.9858
2018-06-19,10.0428
2018-06-18,10.1021
2018-06-15,10.1639
2018-06-14,10.2116
