time,ATR
2019-11-15,1.3614
2019-11-14,1.2993
2019-11-13,1.4041
2019-11-12,1.4826
2019-11-11,1.4682
2019-11-08,1.6053
2019-11-07,1.7616
2019-11-06,1.7645
2019-11-05,1.6707
2019-11-04,1.7433
2019-11-01,1.7842
2019-10-31,1.6127
2019-10-30,1.5984
2019-10-29,1.5705
2019-10-28,1.6756
2019-10-25,1.6970
2019-10-24,1.6512
2019-10-23,1.8240
2019-10-22,1.4450
2019-10-21,1.4438
2019-10-18,1.4247
2019-10-17,1.4959
2019-10-16,1.6199
2019-10-15,1.8249
2019-10-14,1.7811
2019-10-11,2.0463
2019-10-10,1.8779
2019-10-09,1.9474
2019-10-08,1.8543
2019-10-07,1.7103
2019-10-04,1.8604
2019-10-03,1.9205
2019-10-02,1.8907
2019-10-01,1.7433
2019-09-30,1.5416
2019-09-27,1.6921
2019-09-26,1.7801
2019-09-25,1.9026
2019-09-24,1.6382
2019-09-23,1.6328
2019-09-20,1.6860
2019-09-19,1.8050
2019-09-18,1.9163
2019-09-17,1.8953
2019-09-16,1.9717
2019-09-13,2.0321
2019-09-12,2.2576
2019-09-11,2.0545
2019-09-10,1.9381
2019-09-09,1.9451
2019-09-06,2.0239
2019-09-05,2.1749
2019-09-04,1.9086
2019-09-03,1.9757
2019-08-30,1.9247
2019-08-29,2.0784
2019-08-28,1.9329
2019-08-27,1.9937
2019-08-26,2.1621
2019-08-23,2.3376
2019-08-22,2.0095
2019-08-21,2.1019
2019-08-20,2.2224
2019-08-19,2.3980
2019-08-16,2.4300
2019-08-15,2.2875
2019-08-14,2.3923
2019-08-13,2.2979
2019-08-12,1.9367
2019-08-09,2.1034
2019-08-08,2.1417
2019-08-07,2.3471
2019-08-06,2.3386
2019-08-05,2.5583
2019-08-02,2.2379
2019-08-01,2.2473
2019-07-31,1.9817
2019-07-30,1.9171
2019-07-29,2.0614
2019-07-26,2.2592
2019-07-25,2.3965
2019-07-24,2.4032
2019-07-23,1.3315
2019-07-22,1.2743
2019-07-19,1.3529
2019-07-18,1.3636
2019-07-17,1.4370
2019-07-16,1.5013
2019-07-15,1.4491
2019-07-12,1.5064
2019-07-11,1.3405
2019-07-10,1.2856
2019-07-09,1.3471
2019-07-08,1.4313
2019-07-05,1.5451
2019-07-03,1.3464
2019-07-02,1.3342
2019-07-01,1.3777
2019-06-28,1.1222
2019-06-27,1.1340
2019-06-26,1.1813
2019-06-25,1.2417
2019-06-24,1.3346
2019-06-21,1.5907
2019-06-20,1.7109
2019-06-19,1.7137
2019-06-18,1.9258
2019-06-17,2.0673
2019-06-14,2.2491
2019-06-13,1.8664
2019-06-12,1.9380
2019-06-11,1.9750
2019-06-10,1.7537
2019-06-07,1.6871
2019-06-06,1.7478
2019-06-05,1.7397
2019-06-04,1.7396
2019-06-03,1.5245
2019-05-31,1.5807
2019-05-30,1.5608
2019-05-29,1.7110
2019-05-28,1.7250
2019-05-24,1.5838
2019-05-23,1.6760
2019-05-22,1.6850
2019-05-21,1.8837
2019-05-20,1.9096
2019-05-17,1.8883
2019-05-16,1.9479
2019-05-15,2.0748
2019-05-14,2.1086
2019-05-13,2.3413
2019-05-10,2.1516
2019-05-09,2.1045
2019-05-08,2.1318
2019-05-07,2.2123
2019-05-06,2.0954
2019-05-03,1.7442
2019-05-02,1.8965
2019-05-01,2.0782
2019-04-30,2.2852
2019-04-29,2.4765
2019-04-26,2.6782
2019-04-25,3.0202
2019-04-24,3.1328
2019-04-23,1.1960
2019-04-22,1.0924
2019-04-18,1.1609
2019-04-17,1.2686
2019-04-16,1.2308
2019-04-15,1.2560
2019-04-12,1.3025
2019-04-11,1.3981
2019-04-10,1.3376
2019-04-09,1.4931
2019-04-08,1.4839
2019-04-05,1.5723
2019-04-04,1.7154
2019-04-03,1.7068
2019-04-02,1.7534
2019-04-01,1.6743
2019-03-29,1.2229
2019-03-28,1.3371
2019-03-27,1.3589
2019-03-26,1.3016
2019-03-25,1.3770
2019-03-22,1.4513
2019-03-21,1.2966
2019-03-20,1.0983
2019-03-19,1.0141
2019-03-18,1.0526
2019-03-15,1.1582
2019-03-14,1.0653
2019-03-13,1.1529
2019-03-12,1.1411
2019-03-11,1.2014
2019-03-08,1.1667
2019-03-07,1.2034
2019-03-06,1.1317
2019-03-05,1.1846
2019-03-04,1.2758
2019-03-01,1.1265
2019-02-28,1.0619
2019-02-27,1.1798
2019-02-26,1.1986
2019-02-25,1.1682
2019-02-22,1.2002
2019-02-21,1.1403
2019-02-20,1.2291
2019-02-19,1.2114
2019-02-15,1.2605
2019-02-14,1.1532
2019-02-13,1.2464
2019-02-12,1.3006
2019-02-11,1.2032
2019-02-08,1.2790
2019-02-07,1.3287
2019-02-06,1.3434
2019-02-05,1.4255
2019-02-04,1.4544
2019-02-01,1.5680
2019-01-31,1.6175
2019-01-30,1.7882
2019-01-29,1.6977
2019-01-28,1.8797
2019-01-25,2.0096
2019-01-24,2.0295
2019-01-23,1.9343
2019-01-22,1.4729
2019-01-18,1.4061
2019-01-17,1.4202
2019-01-16,1.4377
2019-01-15,1.5321
2019-01-14,1.7002
2019-01-11,1.7977
2019-01-10,2.0022
2019-01-09,2.0627
2019-01-08,2.2200
2019-01-07,2.4325
2019-01-04,2.6981
2019-01-03,2.6926
2019-01-02,2.1555
2018-12-31,2.2469
2018-12-28,2.5298
2018-12-27,2.7823
2018-12-26,2.6979
2018-12-24,2.4299
2018-12-21,2.6273
2018-12-20,2.3616
2018-12-19,2.3546
2018-12-18,2.1632
2018-12-17,2.0465
2018-12-14,2.0731
2018-12-13,2.1489
2018-12-12,2.3936
2018-12-11,2.5095
2018-12-10,2.3544
2018-12-07,2.3630
2018-12-06,2.5457
2018-12-04,2.2321
2018-12-03,1.7127
2018-11-30,1.6308
2018-11-29,1.7085
2018-11-28,1.6756
2018-11-27,1.7271
2018-11-26,1.8788
2018-11-23,2.0272
2018-11-21,2.1954
2018-11-20,2.2992
2018-11-19,2.2578
2018-11-16,2.0772
2018-11-15,2.0015
2018-11-14,2.0144
2018-11-13,1.9130
2018-11-12,1.9274
2018-11-09,1.5780
2018-11-08,1.5700
2018-11-07,1.7400
2018-11-06,1.8000
2018-11-05,2.0463
2018-11-02,2.1826
2018-11-01,2.3782
2018-10-31,2.6853
2018-10-30,2.8866
2018-10-29,2.7958
2018-10-26,2.7572
2018-10-25,2.6765
2018-10-24,2.6057
2018-10-23,1.9371
2018-10-22,1.7789
2018-10-19,1.8786
2018-10-18,1.9708
2018-10-17,1.7959
2018-10-16,1.8774
2018-10-15,1.8398
2018-10-12,2.0798
2018-10-11,2.1298
2018-10-10,1.9947
2018-10-09,1.5173
2018-10-08,1.5741
2018-10-05,1.4776
2018-10-04,1.3795
2018-10-03,0.9944
2018-10-02,0.9805
2018-10-01,0.9606
2018-09-28,1.0457
2018-09-27,1.0297
2018-09-26,1.1205
2018-09-25,1.1932
2018-09-24,1.1990
2018-09-21,1.1687
2018-09-20,1.0759
2018-09-19,1.0998
2018-09-18,1.1473
2018-09-17,1.1355
2018-09-14,1.0794
2018-09-13,1.0592
2018-09-12,0.9790
2018-09-11,0.9313
2018-09-10,0.9493
2018-09-07,0.8767
2018-09-06,0.8834
2018-09-05,0.9279
2018-09-04,0.8373
2018-08-31,0.8492
2018-08-30,0.8289
2018-08-29,0.8162
2018-08-28,0.8277
2018-08-27,0.8272
2018-08-24,0.7365
2018-08-23,0.7806
2018-08-22,0.8195
2018-08-21,0.8168
2018-08-20,0.8585
2018-08-17,0.9357
2018-08-16,0.9985
2018-08-15,1.0381
2018-08-14,1.0068
2018-08-13,1.0061
2018-08-10,1.0276
2018-08-09,1.0945
2018-08-08,1.0381
2018-08-07,1.1899
2018-08-06,1.2574
2018-08-03,1.4361
2018-08-02,1.6101
2018-08-01,1.6502
2018-07-31,1.8252
2018-07-30,1.9315
2018-07-27,1.9494
2018-07-26,1.8668
2018-07-25,1.6685
2018-07-24,1.0131
2018-07-23,0.9338
2018-07-20,0.9948
2018-07-19,1.0710
2018-07-18,1.1163
2018-07-17,1.2178
2018-07-16,1.2298
2018-07-13,1.3572
2018-07-12,1.5265
2018-07-11,1.5482
2018-07-10,1.1002
2018-07-09,1.2452
2018-07-06,1.2465
2018-07-05,1.3052
2018-07-03,1.3115
2018-07-02,1.4094
2018-06-29,1.3555
2018-06-28,1.4705
2018-06-27,1.4506
2018-06-26,1.4108
2018-06-25,1.4735
2018-06-22,1.2643
2018-06-21,1.3204
2018-06-20,1.2655
2018-06-19,1.3824
2018-06-18,1.1905
2018-06-15,1.1295
2018-06-14,0.9669
2018-06-13,1.0037
2018-06-12,1.1021
2018-06-11,1.0351
2018-06-08,1.1639
2018-06-07,1.2281
2018-06-06,1.3776
2018-06-05,1.4670
2018-06-04,1.1438
2018-06-01,1.2429
2018-05-31,1.1554
2018-05-30,1.0817
2018-05-29,1.1096
2018-05-25,1.0420
2018-05-24,1.0551
2018-05-23,1.0116
2018-05-22,0.9744
2018-05-21,0.9256
2018-05-18,0.9169
2018-05-17,0.9587
2018-05-16,1.0046
2018-05-15,0.9858
2018-05-14,1.0797
2018-05-11,1.2171
2018-05-10,1.2652
2018-05-09,1.2889
2018-05-08,1.3087
2018-05-07,1.4309
2018-05-04,1.5861
2018-05-03,1.4963
2018-05-02,1.4629
2018-05-01,1.5711
2018-04-30,1.6227
2018-04-27,1.7433
2018-04-26,1.9054
2018-04-25,2.0805
2018-04-24,1.7182
2018-04-23,1.3802
2018-04-20,1.3740
2018-04-19,1.3350
2018-04-18,1.3713
2018-04-17,1.4766
2018-04-16,1.6333
2018-04-13,1.7416
2018-04-12,1.8528
2018-04-11,2.0135
2018-04-10,2.2418
2018-04-09,2.2673
2018-04-06,2.3241
2018-04-05,2.1876
2018-04-04,2.4195
2018-04-03,2.2669
2018-04-02,2.4080
2018-03-29,2.1225
2018-03-28,2.1207
2018-03-27,2.1698
2018-03-26,1.9848
2018-03-23,2.0235
2018-03-22,1.6544
2018-03-21,1.3279
