time,SAR
2019-11-15,104.6097
2019-11-14,104.7278
2019-11-13,104.8035
2019-11-12,104.8400
2019-11-11,101.0874
2019-11-08,100.6235
2019-11-07,100.1024
2019-11-06,99.5169
2019-11-05,98.8590
2019-11-04,98.2477
2019-11-01,97.7975
2019-10-31,97.4112
2019-10-30,96.9913
2019-10-29,96.5349
2019-10-28,96.0388
2019-10-25,95.4996
2019-10-24,94.9134
2019-10-23,94.3996
2019-10-22,94.0089
2019-10-21,93.5933
2019-10-18,93.2751
2019-10-17,93.0162
2019-10-16,92.8348
2019-10-15,92.7120
2019-10-14,92.6563
2019-10-11,92.6000
2019-10-10,97.4215
2019-10-09,97.4702
2019-10-08,97.5194
2019-10-07,97.5691
2019-10-04,97.6193
2019-10-03,97.6700
2019-10-02,92.5859
2019-10-01,92.0210
2019-09-30,91.5375
2019-09-27,91.0061
2019-09-26,90.4222
2019-09-25,89.9094
2019-09-24,89.4547
2019-09-23,88.9658
2019-09-20,88.4401
2019-09-19,87.8748
2019-09-18,87.2670
2019-09-17,86.6135
2019-09-16,85.9107
2019-09-13,85.3274
2019-09-12,84.8609
2019-09-11,84.5830
2019-09-10,84.4081
2019-09-09,84.2277
2019-09-06,84.0417
2019-09-05,83.9214
2019-09-04,83.8747
2019-09-03,83.8276
2019-08-30,83.7800
2019-08-29,87.8874
2019-08-28,88.2936
2019-08-27,88.7400
2019-08-26,88.8200
2019-08-23,88.8200
2019-08-22,89.2617
2019-08-21,89.8038
2019-08-20,90.3996
2019-08-19,91.0543
2019-08-16,91.7737
2019-08-15,92.4686
2019-08-14,93.0127
2019-08-13,93.5082
2019-08-12,94.0353
2019-08-09,94.5961
2019-08-08,95.1926
2019-08-07,95.8273
2019-08-06,96.5024
2019-08-05,97.2207
2019-08-02,97.6744
2019-08-01,97.9704
2019-07-31,98.1693
2019-07-30,98.3743
2019-07-29,98.5857
2019-07-26,98.8036
2019-07-25,99.0282
2019-07-24,99.1784
2019-07-23,99.2108
2019-07-22,99.2435
2019-07-19,99.2766
2019-07-18,99.3100
2019-07-17,96.3018
2019-07-16,96.0043
2019-07-15,95.6774
2019-07-12,95.3676
