time,ADX

2019-11-08,57.7716

2019-11-07,49.5345

2019-11-06,40.0252

2019-11-05,35.4309

2019-11-04,28.2772

2019-11-01,19.3352

2019-10-31,21.8787

2019-10-30,18.7294

2019-10-29,16.6601

2019-10-28,20.6336

2019-10-25,19.2464

2019-10-24,23.4088

2019-10-23,24.3969

2019-10-22,25.6321

2019-10-21,28.1158

2019-10-18,33.6316

2019-10-17,40.9238

2019-10-16,39.4877

2019-10-15,35.4269

2019-10-14,32.3140

2019-10-11,32.7532

2019-10-10,33.3023

2019-10-09,39.5310

2019-10-08,35.5922

2019-10-07,30.2976

2019-10-04,28.8713

2019-10-03,33.1368

2019-10-02,36.9111

2019-10-01,35.1720

2019-09-30,36.0001

2019-09-27,37.9355

2019-09-26,40.3548

2019-09-25,49.2549

2019-09-24,43.0923

2019-09-23,34.0777

2019-09-20,27.0968

2019-09-19,22.6149

2019-09-18,28.0276

2019-09-17,34.7934

2019-09-16,40.6326

2019-09-13,40.5379

2019-09-12,37.5830

2019-09-11,30.2300

2019-09-10,21.0388

2019-09-09,12.4109

2019-09-06,15.4360

2019-09-05,15.4433

2019-09-04,19.0239

2019-09-03,20.9973

2019-08-30,24.8668

2019-08-29,28.2053

2019-08-28,28.7668

2019-08-27,33.1318

2019-08-26,35.2475

2019-08-23,41.3254

2019-08-22,48.9228

2019-08-21,54.3723

2019-08-20,57.0580

2019-08-19,52.6452

2019-08-16,52.0063

2019-08-15,61.8770

2019-08-14,65.8304

2019-08-13,71.9668

2019-08-12,79.6373

2019-08-09,75.8493

2019-08-08,71.4622

2019-08-07,66.4948

2019-08-06,60.2855

2019-08-05,52.9216

2019-08-02,43.7217

2019-08-01,36.0909

2019-07-31,29.2389

2019-07-30,25.7828

2019-07-29,25.5703

2019-07-26,28.8399

2019-07-25,27.6070

2019-07-24,26.0660

2019-07-23,24.1398

2019-07-22,27.5595

2019-07-19,22.6570

2019-07-18,19.4084

2019-07-17,13.5562

2019-07-16,15.2420

2019-07-15,18.5038

2019-07-12,18.2882

2019-07-11,19.9363

2019-07-10,23.8448

2019-07-09,28.7304

2019-07-08,29.5760

2019-07-05,33.7324

2019-07-03,37.2752

2019-07-02,32.5412

2019-07-01,28.0590

2019-06-28,21.6866

2019-06-27,23.7911

2019-06-26,29.4867

2019-06-25,36.6061

2019-06-24,42.5013

2019-06-21,45.0606

2019-06-20,45.8845

2019-06-19,40.1633

2019-06-18,36.1805

2019-06-17,31.2019

2019-06-14,34.0279

2019-06-13,41.5143

2019-06-12,47.2050

2019-06-11,54.3183

2019-06-10,56.9351

2019-06-07,67.9770

2019-06-06,76.0345

2019-06-05,80.0814

2019-06-04,85.1400

2019-06-03,91.4633

2019-05-31,90.3561

2019-05-30,89.1831

2019-05-29,88.0111

2019-05-28,86.6932

2019-05-24,85.3079

2019-05-23,83.5914

2019-05-22,81.1824

2019-05-21,78.4762

2019-05-20,75.2145

2019-05-17,71.1375

2019-05-16,66.8416

2019-05-15,71.7139

2019-05-14,67.7801

2019-05-13,63.0440

2019-05-10,57.1239

2019-05-09,51.5872

2019-05-08,44.6663

2019-05-07,38.9803

2019-05-06,33.8280

2019-05-03,27.3878

2019-05-02,29.5631

2019-05-01,29.5424

2019-04-30,32.5719

2019-04-29,28.6023

2019-04-26,28.5778

2019-04-25,25.7698

