time,ROCR
2019-11-15,0.9838
2019-11-14,1.0084
2019-11-13,0.9240
2019-11-12,0.9261
2019-11-11,0.9444
2019-11-08,0.9248
2019-11-07,0.9029
2019-11-06,0.9817
2019-11-05,0.9915
2019-11-04,0.9760
2019-11-01,0.9884
2019-10-31,1.0025
2019-10-30,1.0085
2019-10-29,1.0098
2019-10-28,1.0172
2019-10-25,1.0211
2019-10-24,1.0075
2019-10-23,1.0023
2019-10-22,1.0033
2019-10-21,1.0168
2019-10-18,1.0184
2019-10-17,1.0334
2019-10-16,1.0434
2019-10-15,1.0403
2019-10-14,1.0191
2019-10-11,0.9970
2019-10-10,1.0007
2019-10-09,1.0010
2019-10-08,0.9799
2019-10-07,0.9944
2019-10-04,1.0200
2019-10-03,0.9914
2019-10-02,0.9739
2019-10-01,0.9937
2019-09-30,0.9767
2019-09-27,0.9570
2019-09-26,0.9611
2019-09-25,0.9685
2019-09-24,0.9582
2019-09-23,0.9693
2019-09-20,0.9843
2019-09-19,1.0084
2019-09-18,1.0040
2019-09-17,1.0291
2019-09-16,1.0405
2019-09-13,1.0489
2019-09-12,1.0236
2019-09-11,1.0466
2019-09-10,1.0396
2019-09-09,1.0131
2019-09-06,1.0054
2019-09-05,1.0270
2019-09-04,1.0202
2019-09-03,1.0130
2019-08-30,1.0357
2019-08-29,1.0024
2019-08-28,0.9930
2019-08-27,0.9926
2019-08-26,0.9862
2019-08-23,0.9878
2019-08-22,1.0251
2019-08-21,1.0341
2019-08-20,0.9955
2019-08-19,1.0140
2019-08-16,1.0023
2019-08-15,0.9813
2019-08-14,1.0382
2019-08-13,1.0877
2019-08-12,1.0717
2019-08-09,1.0388
2019-08-08,1.0325
2019-08-07,0.9655
2019-08-06,0.9321
2019-08-05,0.9318
2019-08-02,0.9386
2019-08-01,0.9760
2019-07-31,0.9830
2019-07-30,1.0086
2019-07-29,1.0137
2019-07-26,1.0450
2019-07-25,1.0213
2019-07-24,1.0276
2019-07-23,1.0060
2019-07-22,1.0063
2019-07-19,0.9998
2019-07-18,1.0063
2019-07-17,0.9991
2019-07-16,1.0059
2019-07-15,1.0033
2019-07-12,0.9780
2019-07-11,0.9763
2019-07-10,0.9798
2019-07-09,0.9892
2019-07-08,1.0006
2019-07-05,1.0431
2019-07-03,1.0489
2019-07-02,1.0339
2019-07-01,1.0148
2019-06-28,0.9972
2019-06-27,0.9913
2019-06-26,0.9936
2019-06-25,1.0202
