time,SAR

2019-11-08 13:27:17,2077.3475

2019-11-07,2079.7000

2019-11-06,1994.9957

2019-11-05,1989.5890

2019-11-04,1983.8372

2019-11-01,1977.7183

2019-10-31,1971.2089

2019-10-30,1964.2839

2019-10-29,1956.9169

2019-10-28,1949.0797

2019-10-25,1943.3018

2019-10-24,1939.0298

2019-10-23,1935.7595

2019-10-22,1932.3880

2019-10-21,1928.9123

2019-10-18,1925.3291

2019-10-17,1921.6350

2019-10-16,1919.2788

2019-10-15,1918.2300

2019-10-14,2016.2685

2019-10-11,2021.4284

2019-10-10,2026.8599

2019-10-09,2032.5773

2019-10-08,2038.5956

2019-10-07,2044.9306

2019-10-04,2051.5991

2019-10-03,2058.6185

2019-10-02,2063.9813

2019-10-01,2067.9129

2019-09-30,2071.9661

2019-09-27,2076.1447

2019-09-26,2078.4741

2019-09-25,2080.8512

2019-09-24,2081.8101

2019-09-23,1982.7101

2019-09-20,1971.6990

2019-09-19,1959.4645

2019-09-18,1945.8705

2019-09-17,1930.7661

2019-09-16,1913.9834

2019-09-13,1898.3772

2019-09-12,1883.7082

2019-09-11,1870.8778

2019-09-10,1861.4385

2019-09-09,1853.5700

2019-09-06,1845.2874

2019-09-05,1836.5688

2019-09-04,1830.7275

2019-09-03,1824.6428

2019-08-30,1818.3046

2019-08-29,1811.7023

2019-08-28,1806.8832

2019-08-27,1801.9151

2019-08-26,1796.7933

2019-08-23,1791.5131

2019-08-22,1786.0695

2019-08-21,1782.4403

2019-08-20,1778.7371

2019-08-19,1774.9582

2019-08-16,1771.1023

2019-08-15,1767.1676

2019-08-14,1763.1527

2019-08-13,1759.0558

2019-08-12,1757.0381

2019-08-09,1755.0000

2019-08-08,1755.0000

2019-08-07,1951.8034

2019-08-06,1959.4902

2019-08-05,1965.2496

2019-08-02,1967.8182

2019-08-01,1968.8439

2019-07-31,1969.8800

2019-07-30,1866.7530

2019-07-29,1864.6484

2019-07-26,1862.5008

2019-07-25,1861.8300

2019-07-24,1922.8531

2019-07-23,1924.0985

2019-07-22,1925.3693

2019-07-19,1926.6660

2019-07-18,1927.9892

2019-07-17,1928.6100

2019-07-16,1869.4900

2019-07-15,1867.2476

2019-07-12,1858.8800

2019-07-11,1858.8800

2019-07-10,1850.6115

2019-07-09,1839.9753

2019-07-08,1827.8888

2019-07-05,1814.1541

2019-07-03,1800.5022

2019-07-02,1788.3358

2019-07-01,1776.6987

2019-06-28,1766.9047

2019-06-27,1756.2590

2019-06-26,1744.6876

2019-06-25,1732.1100

2019-06-24,1718.4387

2019-06-21,1706.0381

2019-06-20,1695.4492

2019-06-19,1687.6092

2019-06-18,1681.2871

2019-06-17,1674.7015

2019-06-14,1667.8416

2019-06-13,1660.6958

2019-06-12,1655.9418

2019-06-11,1651.0407

2019-06-10,1645.9880

2019-06-07,1643.0554

2019-06-06,1641.8016

2019-06-05,1640.5350

2019-06-04,1766.6982

2019-06-03,1777.6689

2019-05-31,1789.5936

2019-05-30,1799.1816

2019-05-29,1809.4913

2019-05-28,1817.4133

2019-05-24,1823.3219

2019-05-23,1829.5414

2019-05-22,1834.3166

2019-05-21,1839.2908

2019-05-20,1844.4722

2019-05-17,1849.8696

2019-05-16,1855.4918

2019-05-15,1861.3482

2019-05-14,1867.4487

2019-05-13,1873.8034

2019-05-10,1880.4228

2019-05-09,1887.3181

2019-05-08,1891.6888

2019-05-07,1894.1475

2019-05-06,1895.2800

2019-05-03,1781.2305

2019-05-02,1775.2279

2019-05-01,1768.9093

2019-04-30,1762.2582

2019-04-29,1755.2571

2019-04-26,1747.8875

2019-04-25,1740.1300

2019-04-24,1731.9642

2019-04-23,1723.3686

2019-04-22,1717.5381

2019-04-18,1711.4647

2019-04-17,1705.1383

2019-04-16,1698.5482

2019-04-15,1693.9240

2019-04-12,1690.7796

2019-04-11,1689.4400

2019-04-10,1811.0617

2019-04-09,1814.8232

2019-04-08,1818.7010

2019-04-05,1822.6988

2019-04-04,1826.8202

2019-04-03,1831.0691

2019-04-02,1835.4493

2019-04-01,1839.9651

2019-03-29,1844.6205

2019-03-28,1849.4199

2019-03-27,1854.3677

2019-03-26,1859.4686

2019-03-25,1864.7272

2019-03-22,1870.1485

2019-03-21,1875.7374

2019-03-20,1881.4992

2019-03-19,1887.4391

2019-03-18,1893.5628

2019-03-15,1899.8759

2019-03-14,1906.3842

2019-03-13,1913.0939

2019-03-12,1920.0110

2019-03-11,1924.7043

2019-03-08,1929.4935

2019-03-07,1934.3803

2019-03-06,1939.3669

2019-03-05,1944.4553

2019-03-04,1949.6475

2019-03-01,1952.2500

2019-02-28,1952.2500

2019-02-27,1885.8300

2019-02-26,1951.1997

2019-02-25,1951.8600

2019-02-22,1880.9764

2019-02-21,1870.3846

2019-02-20,1858.2101

2019-02-19,1844.2164

2019-02-15,1831.8846

2019-02-14,1820.4995

2019-02-13,1807.7074

2019-02-12,1795.6438

2019-02-11,1782.2398

2019-02-08,1767.3464

2019-02-07,1750.7983

2019-02-06,1732.4114

2019-02-05,1711.9816

2019-02-04,1697.1189

2019-02-01,1682.7754

2019-01-31,1670.1001

2019-01-30,1659.5443

2019-01-29,1650.3098

2019-01-28,1640.5892

2019-01-25,1632.5271

2019-01-24,1627.1873

2019-01-23,1624.1332

2019-01-22,1621.0167

2019-01-18,1617.8367

2019-01-17,1616.4412

2019-01-16,1615.0316

2019-01-15,1613.6078

2019-01-14,1612.1696

2019-01-11,1610.7168

2019-01-10,1609.2494

2019-01-09,1607.7672

2019-01-08,1606.2700

2019-01-07,1745.7134

2019-01-04,1756.2091

2019-01-03,1767.4949

2019-01-02,1779.6301

2018-12-31,1792.6787

2018-12-28,1806.7094

2018-12-27,1821.7963

2018-12-26,1838.0187

2018-12-24,1855.4621

2018-12-21,1870.6726

2018-12-20,1880.4050

2018-12-19,1887.8798

2018-12-18,1895.6661

2018-12-17,1903.7767

2018-12-14,1909.2508

2018-12-13,1914.8943

2018-12-12,1920.7122

2018-12-11,1926.7101

2018-12-10,1932.8936

2018-12-07,1939.2682

2018-12-06,1945.8400

2018-12-04,1945.8400

2018-12-03,1950.9812

2018-11-30,1957.9153

2018-11-29,1965.0638

2018-11-28,1972.4334

2018-11-27,1980.0309

2018-11-26,1987.8634

2018-11-23,1995.9382

