timestamp,open,high,low,close
2020-03-07,6.6196,6.6196,6.6196,6.6196
2020-03-06,6.6196,6.6205,6.5943,6.6196
2020-03-05,6.6827,6.6880,6.6581,6.6880
2020-03-04,6.6968,6.6968,6.6398,6.6599
2020-03-03,6.5882,6.6739,6.5882,6.6739
2020-03-02,6.5929,6.5929,6.5485,6.5581
2020-02-28,6.6055,6.6576,6.5621,6.5777
2020-02-27,6.6596,6.7112,6.6194,6.6588
2020-02-26,6.7091,6.7266,6.6547,6.6748
2020-02-25,6.7320,6.7549,6.7320,6.7320
2020-02-24,6.7367,6.7692,6.7244,6.7244
2020-02-21,6.7538,6.7766,6.7213,6.7538
2020-02-20,6.7577,6.7692,6.7463,6.7692
2020-02-19,6.7938,6.7938,6.7682,6.7770
2020-02-18,6.7685,6.7861,6.7517,6.7605
2020-02-17,6.7900,6.8343,6.7900,6.7900
2020-02-14,6.8266,6.8266,6.7903,6.8266
2020-02-13,6.8260,6.8260,6.7986,6.8189
2020-02-12,6.8423,6.8646,6.8414,6.8441
2020-02-11,6.7947,6.8311,6.7903,6.8133
2020-02-10,6.7812,6.8068,6.7794,6.7803
2020-02-07,6.8195,6.8195,6.7706,6.8195
2020-02-06,6.8570,6.8579,6.8373,6.8579
2020-02-05,6.8384,6.8393,6.8206,6.8340
2020-02-04,6.8595,6.8621,6.7970,6.8327
2020-02-03,6.7848,6.8382,6.7831,6.8364
2020-01-30,6.8490,6.8607,6.8186,6.8275
2020-01-29,6.9003,6.9003,6.8715,6.8796
2020-01-28,6.8818,6.8926,6.8720,6.8926
2020-01-27,6.9319,6.9319,6.9003,6.9048
2020-01-24,6.9635,6.9671,6.9436,6.9626
2020-01-23,6.9630,6.9748,6.9512,6.9712
2020-01-22,6.9617,6.9617,6.9246,6.9310
2020-01-21,6.9283,6.9463,6.9138,6.9138
2020-01-17,6.9658,6.9658,6.9658,6.9658
2020-01-16,6.9658,6.9884,6.9449,6.9658
2020-01-15,7.0016,7.0116,6.9598,6.9734
2020-01-14,6.9853,6.9943,6.9744,6.9744
2020-01-13,6.9729,7.0238,6.9729,7.0084
2020-01-10,7.0392,7.0548,7.0036,7.0548
2020-01-09,7.0606,7.0625,7.0287,7.0469
2020-01-08,6.9902,7.0311,6.9902,6.9902
2020-01-07,7.0378,7.0744,7.0287,7.0287
2020-01-06,7.0084,7.0084,6.9593,6.9993
2020-01-03,7.0469,7.0469,6.9976,7.0469
2019-12-31,7.0715,7.1311,7.0532,7.0532
2019-12-30,7.1824,7.1852,7.0886,7.1024
2019-12-24,7.1149,7.1340,7.0940,7.1149
2019-12-16,7.1090,7.1090,7.0657,7.0874
2019-12-13,7.0740,7.1248,7.0740,7.1248
2019-12-12,7.0392,7.0706,7.0194,7.0194
2019-12-11,7.0179,7.0179,7.0000,7.0000
2019-12-10,7.0358,7.0493,7.0179,7.0313
2019-12-09,7.0110,7.0722,7.0110,7.0515
2019-12-06,7.0661,7.0661,7.0032,7.0032
2019-12-05,7.0776,7.0776,7.0110,7.0110
2019-12-04,7.0455,7.0796,7.0311,7.0526
2019-12-03,7.0650,7.0920,7.0200,7.0533
2019-12-02,7.0056,7.0675,7.0056,7.0415
2019-11-29,6.9821,7.0438,6.9821,6.9821
2019-11-28,7.0045,7.0179,6.9821,6.9821
2019-11-27,6.9933,7.0227,6.9621,6.9888
2019-11-26,6.9958,7.0306,6.9654,7.0011
2019-11-25,6.9709,7.0443,6.9709,7.0381
2019-11-21,6.9989,7.0114,6.9631,6.9631
2019-11-20,6.9911,7.0000,6.9705,6.9911
2019-11-19,6.9821,7.0009,6.9732,6.9911
2019-11-18,7.0139,7.0148,6.9574,6.9978
2019-11-15,6.9341,6.9904,6.9341,6.9904
2019-11-14,6.9521,6.9521,6.8953,6.8953
2019-11-13,6.9442,6.9521,6.9149,6.9521
2019-11-11,6.8995,6.9431,6.8995,6.9324
2019-11-08,6.9383,6.9821,6.9383,6.9383
2019-11-07,6.9531,6.9638,6.9228,6.9228
2019-11-06,6.9687,6.9821,6.9643,6.9687
2019-11-05,7.0076,7.0076,6.9610,6.9843
2019-11-04,6.9759,6.9920,6.9455,6.9920
2019-11-01,6.9213,6.9230,6.9115,6.9213
2019-10-31,6.9131,6.9353,6.8953,6.9291
2019-10-30,6.9936,7.0044,6.9900,6.9909
2019-10-29,7.0200,7.0290,7.0065,7.0092
2019-10-28,7.0080,7.0134,6.9873,7.0044
2019-10-22,7.0013,7.0058,6.9816,7.0022
2019-10-21,6.9550,6.9989,6.9550,6.9935
2019-10-18,6.9839,6.9839,6.9473,6.9839
2019-10-17,6.9317,6.9397,6.9006,6.9006
2019-10-16,6.9214,6.9214,6.9108,6.9161
2019-10-15,6.9647,6.9710,6.9371,6.9576
2019-10-14,6.9621,6.9647,6.9612,6.9647
2019-10-11,6.8950,6.9119,6.8950,6.9074
2019-10-10,6.8744,6.8806,6.8427,6.8753
2019-10-09,6.8485,6.8494,6.8117,6.8432
2019-10-08,6.8753,6.8806,6.8595,6.8797
2019-10-07,6.9006,6.9006,6.8583,6.8909
2019-10-04,6.8772,6.8772,6.8640,6.8649
2019-10-03,6.8642,6.8642,6.8282,6.8616
2019-10-02,6.8304,6.8304,6.8050,6.8251
2019-09-27,6.8912,6.8912,6.8718,6.8912
2019-09-26,6.8883,6.9068,6.8865,6.9068
2019-09-25,6.9335,6.9335,6.9069,6.9273
