timestamp,open,high,low,close
2020-03-13,241.7987,241.8133,241.7987,241.7987
2020-03-11,239.4073,239.4217,239.4073,239.4217
2020-03-10,239.1935,239.1935,239.1790,239.1790
2020-03-09,238.1421,238.1565,238.1421,238.1421
2020-03-06,237.8146,237.8290,237.8146,237.8146
2020-03-05,237.7055,237.7198,237.7055,237.7055
2020-03-04,237.7104,237.7248,237.7104,237.7104
2020-02-28,237.4524,237.4668,237.4524,237.4668
2020-02-27,237.3979,237.3979,237.3979,237.3979
2020-02-26,237.3482,237.3482,237.3482,237.3482
2020-02-25,237.3185,237.3185,237.3185,237.3185
2020-02-24,237.3631,237.3631,237.3631,237.3631
2020-02-21,237.3284,237.3284,237.3284,237.3284
2020-02-20,237.3383,237.3383,237.3383,237.3383
2020-02-19,237.4673,237.4673,237.4673,237.4673
2020-02-18,237.6261,237.6261,237.6261,237.6261
2020-02-17,237.6757,237.6757,237.6757,237.6757
2020-02-14,237.6757,237.6757,237.6757,237.6757
2020-02-13,237.7055,237.7055,237.7055,237.7055
2020-02-12,237.7948,237.7948,237.7948,237.7948
2020-02-11,237.6757,237.6757,237.6757,237.6757
2020-02-10,237.6410,237.6410,237.6410,237.6410
