timestamp,open,high,low,close
2020-03-10,1.2421,1.2424,1.2405,1.2405
2020-03-06,1.2650,1.2658,1.2650,1.2654
2020-03-04,1.2724,1.2724,1.2721,1.2723
2020-02-28,1.2635,1.2638,1.2630,1.2638
2020-02-24,1.2792,1.2800,1.2792,1.2800
2020-02-18,1.2828,1.2829,1.2828,1.2829
2020-02-17,1.2839,1.2841,1.2839,1.2841
2020-02-14,1.2816,1.2817,1.2815,1.2817
2020-02-13,1.2821,1.2825,1.2820,1.2824
2020-02-12,1.2794,1.2798,1.2794,1.2798
2020-02-11,1.2777,1.2778,1.2775,1.2778
2020-02-10,1.2785,1.2787,1.2785,1.2785
2020-02-07,1.2786,1.2786,1.2783,1.2783
2020-02-06,1.2795,1.2795,1.2794,1.2794
2020-02-05,1.2786,1.2786,1.2784,1.2784
2020-02-04,1.2788,1.2789,1.2785,1.2785
2020-02-03,1.2833,1.2834,1.2831,1.2834
2020-01-31,1.2869,1.2869,1.2866,1.2866
2020-01-30,1.2870,1.2872,1.2870,1.2871
2020-01-29,1.2910,1.2911,1.2910,1.2910
2020-01-28,1.2887,1.2891,1.2887,1.2891
2020-01-27,1.2913,1.2914,1.2911,1.2914
2020-01-24,1.2946,1.2947,1.2943,1.2944
2020-01-23,1.2906,1.2908,1.2906,1.2908
2020-01-22,1.2988,1.2991,1.2988,1.2991
2020-01-21,1.3014,1.3015,1.3013,1.3013
2020-01-17,1.3022,1.3023,1.3021,1.3022
2020-01-16,1.3027,1.3027,1.3026,1.3027
2020-01-15,1.3015,1.3016,1.3014,1.3014
2020-01-14,1.3014,1.3014,1.3012,1.3014
2020-01-13,1.3025,1.3025,1.3023,1.3024
2020-01-10,1.3010,1.3013,1.3010,1.3010
2020-01-09,1.3033,1.3036,1.3033,1.3034
2020-01-08,1.3087,1.3087,1.3085,1.3086
2020-01-07,1.3106,1.3107,1.3102,1.3102
2019-12-30,1.3007,1.3007,1.3001,1.3004
2019-12-27,1.2964,1.2969,1.2964,1.2969
2019-12-26,1.2920,1.2922,1.2920,1.2921
2019-12-25,1.2912,1.2913,1.2912,1.2912
2019-12-24,1.2920,1.2920,1.2917,1.2917
2019-12-20,1.2939,1.2943,1.2939,1.2943
2019-12-19,1.2955,1.2957,1.2953,1.2954
2019-12-18,1.2908,1.2909,1.2907,1.2909
2019-12-17,1.2910,1.2911,1.2909,1.2911
2019-12-16,1.2903,1.2904,1.2902,1.2903
2019-12-13,1.2908,1.2910,1.2906,1.2908
2019-12-12,1.2906,1.2906,1.2902,1.2902
2019-12-11,1.2842,1.2843,1.2842,1.2843
2019-12-10,1.2845,1.2845,1.2842,1.2842
2019-12-09,1.2812,1.2819,1.2812,1.2819
2019-12-06,1.2889,1.2890,1.2888,1.2890
2019-12-05,1.2891,1.2892,1.2883,1.2883
2019-12-04,1.2787,1.2788,1.2787,1.2788
2019-12-03,1.2773,1.2773,1.2771,1.2773
2019-12-02,1.2787,1.2788,1.2785,1.2785
2019-11-29,1.2788,1.2792,1.2787,1.2792
2019-11-28,1.2786,1.2788,1.2786,1.2788
2019-11-27,1.2797,1.2797,1.2796,1.2797
2019-11-26,1.2767,1.2769,1.2767,1.2769
2019-11-25,1.2781,1.2786,1.2781,1.2786
2019-11-21,1.2771,1.2772,1.2771,1.2771
2019-11-20,1.2793,1.2799,1.2793,1.2799
2019-11-19,1.2867,1.2869,1.2865,1.2867
2019-11-18,1.2855,1.2856,1.2855,1.2855
2019-11-15,1.2851,1.2853,1.2847,1.2847
2019-11-14,1.2815,1.2816,1.2813,1.2816
2019-11-13,1.2829,1.2829,1.2828,1.2829
2019-11-08,1.2886,1.2888,1.2886,1.2886
2019-11-07,1.2879,1.2882,1.2879,1.2882
2019-11-06,1.2908,1.2909,1.2908,1.2909
2019-11-05,1.2922,1.2924,1.2920,1.2924
2019-11-04,1.2934,1.2935,1.2933,1.2935
2019-11-01,1.2916,1.2919,1.2916,1.2916
2019-10-31,1.2913,1.2914,1.2913,1.2913
2019-10-30,1.2981,1.2984,1.2980,1.2984
2019-10-29,1.3017,1.3020,1.3014,1.3020
2019-10-28,1.2996,1.2996,1.2994,1.2994
2019-10-25,1.3001,1.3004,1.3001,1.3002
2019-10-24,1.2993,1.2994,1.2988,1.2988
2019-10-23,1.2969,1.2973,1.2969,1.2973
2019-10-22,1.2993,1.2993,1.2988,1.2988
2019-10-21,1.2943,1.2943,1.2938,1.2938
2019-10-18,1.2936,1.2936,1.2928,1.2928
2019-10-17,1.2866,1.2868,1.2866,1.2866
2019-10-16,1.2864,1.2865,1.2863,1.2863
2019-10-15,1.2846,1.2846,1.2840,1.2840
2019-10-14,1.2862,1.2864,1.2862,1.2862
2019-10-11,1.2793,1.2795,1.2789,1.2789
2019-10-10,1.2760,1.2761,1.2760,1.2761
2019-10-09,1.2762,1.2765,1.2762,1.2765
2019-10-08,1.2787,1.2787,1.2783,1.2783
2019-10-07,1.2754,1.2754,1.2753,1.2753
2019-10-04,1.2746,1.2749,1.2746,1.2749
2019-10-03,1.2759,1.2762,1.2758,1.2759
2019-10-02,1.2864,1.2864,1.2861,1.2861
2019-10-01,1.2826,1.2826,1.2821,1.2822
2019-09-30,1.2840,1.2840,1.2838,1.2839
2019-09-27,1.2810,1.2810,1.2808,1.2809
2019-09-26,1.2824,1.2824,1.2822,1.2823
2019-09-25,1.2813,1.2816,1.2813,1.2816
