time,ADX
2019-11-15,44.4527
2019-11-14,38.1400
2019-11-13,30.2491
2019-11-12,30.0575
2019-11-11,34.2379
2019-11-08,34.9113
2019-11-07,35.7530
2019-11-06,32.3195
2019-11-05,30.8746
2019-11-04,34.3555
2019-11-01,35.4092
2019-10-31,34.0102
2019-10-30,30.8102
2019-10-29,30.7946
2019-10-28,34.8352
2019-10-25,32.8418
2019-10-24,31.6870
2019-10-23,32.4859
2019-10-22,34.4637
2019-10-21,42.9963
2019-10-18,46.8398
2019-10-17,51.6441
2019-10-16,59.0864
2019-10-15,61.5660
2019-10-14,64.6654
2019-10-11,59.6158
2019-10-10,54.7061
2019-10-09,50.3071
2019-10-08,50.5437
2019-10-07,49.8015
2019-10-04,50.8818
2019-10-03,55.9400
2019-10-02,59.2314
2019-10-01,54.5767
2019-09-30,50.6471
2019-09-27,47.5453
2019-09-26,48.0321
2019-09-25,50.3802
2019-09-24,45.6537
2019-09-23,41.5728
2019-09-20,40.4870
2019-09-19,39.1296
2019-09-18,43.0487
2019-09-17,39.7430
2019-09-16,36.9771
2019-09-13,33.5198
2019-09-12,36.9832
2019-09-11,43.2798
2019-09-10,45.8721
2019-09-09,50.9910
2019-09-06,52.5217
2019-09-05,55.4788
2019-09-04,68.4984
2019-09-03,74.0028
2019-08-30,73.6344
2019-08-29,73.9160
2019-08-28,75.5374
2019-08-27,72.0584
2019-08-26,68.2350
2019-08-23,64.6839
2019-08-22,60.2451
2019-08-21,55.6107
2019-08-20,52.0572
2019-08-19,48.4629
2019-08-16,43.9699
2019-08-15,39.1335
2019-08-14,33.0879
2019-08-13,37.4403
2019-08-12,39.9774
2019-08-09,44.2840
2019-08-08,49.6672
2019-08-07,60.6332
2019-08-06,63.6066
2019-08-05,68.1595
2019-08-02,65.0836
2019-08-01,62.7247
2019-07-31,57.7167
2019-07-30,54.6818
2019-07-29,50.8881
2019-07-26,47.6785
2019-07-25,51.3360
2019-07-24,59.5862
2019-07-23,62.1738
2019-07-22,62.7289
2019-07-19,61.1369
2019-07-18,62.0683
2019-07-17,63.5435
2019-07-16,66.2790
2019-07-15,64.6572
2019-07-12,58.9104
2019-07-11,52.1347
2019-07-10,46.2718
2019-07-09,43.4026
2019-07-08,36.7961
2019-07-05,30.8817
2019-07-03,26.4722
2019-07-02,20.9602
2019-07-01,20.7613
2019-06-28,25.6677
2019-06-27,31.8007
2019-06-26,36.5346
2019-06-25,32.1636
2019-06-24,28.7926
2019-06-21,24.5789
2019-06-20,23.3991
2019-06-19,18.9162
2019-06-18,18.5057
2019-06-17,21.1414
2019-06-14,23.0630
2019-06-13,22.4531
2019-06-12,27.0850
2019-06-11,32.4893
2019-06-10,35.8138
2019-06-07,37.9965
2019-06-06,45.2813
2019-06-05,47.4892
2019-06-04,50.2491
2019-06-03,46.8110
2019-05-31,40.3557
2019-05-30,34.8534
2019-05-29,33.9671
2019-05-28,33.1253
2019-05-24,38.6139
2019-05-23,46.4820
2019-05-22,56.3171
2019-05-21,67.8997
2019-05-20,72.0029
2019-05-17,67.7422
2019-05-16,63.9628
2019-05-15,60.3800
