time,ATR
2019-11-15,1.4518
2019-11-14,1.6547
2019-11-13,1.2409
2019-11-12,1.3086
2019-11-11,1.2590
2019-11-08,1.2395
2019-11-07,0.8519
2019-11-06,0.8373
2019-11-05,0.8367
2019-11-04,0.8783
2019-11-01,0.8974
2019-10-31,0.9568
2019-10-30,1.0110
2019-10-29,1.0562
2019-10-28,1.0478
2019-10-25,1.0947
2019-10-24,1.1209
2019-10-23,1.2323
2019-10-22,1.2464
2019-10-21,1.2730
2019-10-18,1.3788
2019-10-17,1.4035
2019-10-16,1.4593
2019-10-15,1.5617
2019-10-14,1.5596
2019-10-11,1.5570
2019-10-10,1.5412
2019-10-09,1.3240
2019-10-08,1.4575
2019-10-07,1.3944
2019-10-04,1.4905
2019-10-03,1.6081
2019-10-02,1.5326
2019-10-01,1.4008
2019-09-30,1.4235
2019-09-27,1.4244
2019-09-26,1.4279
2019-09-25,1.4574
2019-09-24,1.4168
2019-09-23,1.3210
2019-09-20,1.3937
2019-09-19,1.3921
2019-09-18,1.1102
2019-09-17,1.2202
2019-09-16,1.3078
2019-09-13,1.2472
2019-09-12,1.3215
2019-09-11,1.4319
2019-09-10,1.5599
2019-09-09,1.6424
2019-09-06,1.6530
2019-09-05,1.5950
2019-09-04,1.5062
2019-09-03,1.5303
2019-08-30,1.4653
2019-08-29,1.5192
2019-08-28,1.7072
2019-08-27,1.7315
2019-08-26,1.6844
2019-08-23,1.8413
2019-08-22,1.8741
2019-08-21,1.8926
2019-08-20,2.0460
2019-08-19,2.2975
2019-08-16,2.4119
2019-08-15,2.3399
2019-08-14,1.6723
2019-08-13,1.3629
2019-08-12,1.2961
2019-08-09,1.3702
2019-08-08,1.4052
2019-08-07,1.4755
2019-08-06,1.6544
2019-08-05,1.5830
2019-08-02,1.4888
2019-08-01,1.4660
2019-07-31,1.3975
2019-07-30,1.4218
2019-07-29,1.3273
2019-07-26,1.1741
2019-07-25,1.2402
2019-07-24,1.2277
2019-07-23,1.3203
2019-07-22,1.3633
2019-07-19,1.4342
2019-07-18,1.5977
2019-07-17,1.7146
2019-07-16,1.8483
2019-07-15,1.9553
2019-07-12,1.8317
2019-07-11,1.5271
2019-07-10,1.3806
2019-07-09,1.4582
2019-07-08,1.4803
2019-07-05,1.5604
2019-07-03,1.6430
2019-07-02,1.3062
2019-07-01,1.3728
2019-06-28,1.5485
2019-06-27,1.5606
2019-06-26,1.5507
2019-06-25,1.7309
2019-06-24,1.9461
2019-06-21,1.8777
2019-06-20,1.3571
2019-06-19,1.3288
2019-06-18,1.3935
2019-06-17,1.5394
2019-06-14,1.6493
2019-06-13,1.7091
2019-06-12,1.7164
2019-06-11,1.7954
2019-06-10,1.7943
2019-06-07,1.7776
2019-06-06,1.9396
2019-06-05,1.9991
2019-06-04,2.0094
2019-06-03,1.9317
2019-05-31,1.8097
2019-05-30,1.7171
2019-05-29,1.7963
2019-05-28,1.6279
2019-05-24,1.6849
2019-05-23,1.8786
2019-05-22,1.8258
2019-05-21,1.7023
2019-05-20,1.6978
2019-05-17,1.7248
2019-05-16,1.9060
2019-05-15,2.1350
2019-05-14,2.2287
2019-05-13,2.2812
2019-05-10,1.9039
2019-05-09,1.9724
2019-05-08,1.9930
2019-05-07,2.1913
2019-05-06,2.2391
2019-05-03,2.2314
2019-05-02,2.5243
2019-05-01,2.2903
2019-04-30,2.4929
2019-04-29,2.4864
2019-04-26,2.2130
2019-04-25,2.1887
2019-04-24,2.4799
2019-04-23,2.5954
2019-04-22,2.8018
2019-04-18,2.4672
2019-04-17,1.8694
2019-04-16,1.9367
2019-04-15,1.8122
2019-04-12,1.7752
2019-04-11,1.5790
2019-04-10,1.3363
2019-04-09,1.3375
2019-04-08,1.2919
2019-04-05,1.3424
2019-04-04,1.5332
2019-04-03,1.5815
2019-04-02,1.6669
2019-04-01,1.8023
2019-03-29,1.9053
2019-03-28,2.0294
2019-03-27,1.9143
2019-03-26,1.7204
2019-03-25,1.8904
2019-03-22,1.8881
2019-03-21,1.9008
2019-03-20,1.8535
2019-03-19,1.5844
2019-03-18,1.6798
2019-03-15,1.7111
2019-03-14,1.9289
2019-03-13,2.0386
2019-03-12,1.9857
2019-03-11,1.9072
2019-03-08,2.0639
2019-03-07,2.1324
2019-03-06,2.2220
2019-03-05,2.0425
2019-03-04,2.0507
2019-03-01,2.0308
2019-02-28,2.1185
2019-02-27,2.0882
2019-02-26,2.2527
2019-02-25,2.0684
2019-02-22,2.1780
2019-02-21,2.2924
2019-02-20,2.4906
2019-02-19,2.7732
2019-02-15,3.0015
2019-02-14,2.8169
2019-02-13,2.9361
2019-02-12,2.9455
2019-02-11,2.8893
2019-02-08,2.6916
2019-02-07,2.9377
2019-02-06,2.9246
2019-02-05,2.6532
2019-02-04,2.7443
2019-02-01,2.6978
2019-01-31,2.9423
2019-01-30,3.2454
2019-01-29,3.3814
2019-01-28,3.0318
2019-01-25,2.9322
2019-01-24,2.4677
2019-01-23,2.7747
2019-01-22,2.9543
2019-01-18,3.2356
2019-01-17,3.4371
2019-01-16,3.3960
2019-01-15,3.7175
2019-01-14,3.6293
2019-01-11,2.8617
2019-01-10,2.7121
2019-01-09,2.1901
2019-01-08,1.6902
2019-01-07,1.6827
2019-01-04,1.7384
2019-01-03,1.9431
2019-01-02,2.1364
2018-12-31,1.9205
2018-12-28,2.0882
2018-12-27,2.1427
2018-12-26,2.1959
2018-12-24,2.2249
2018-12-21,2.2100
2018-12-20,2.0900
2018-12-19,2.1075
2018-12-18,2.1418
2018-12-17,2.2323
2018-12-14,2.2357
2018-12-13,2.1996
2018-12-12,2.2171
2018-12-11,2.3613
2018-12-10,2.3692
2018-12-07,2.4714
2018-12-06,2.5370
2018-12-04,2.3339
2018-12-03,2.3899
2018-11-30,2.2824
2018-11-29,2.4555
2018-11-28,2.6268
2018-11-27,2.7086
2018-11-26,2.9907
2018-11-23,2.9309
2018-11-21,3.2211
2018-11-20,3.4113
2018-11-19,3.4367
2018-11-16,3.5484
2018-11-15,4.0204
2018-11-14,4.0781
2018-11-13,3.4976
2018-11-12,3.9232
2018-11-09,4.1040
2018-11-08,4.2100
2018-11-07,4.2650
2018-11-06,3.9563
2018-11-05,3.7578
2018-11-02,3.7148
2018-11-01,4.0672
2018-10-31,4.4770
2018-10-30,4.7463
2018-10-29,5.1579
