time,ROCR
2019-11-15,0.7144
2019-11-14,0.8302
2019-11-13,0.9526
2019-11-12,0.9693
2019-11-11,1.0074
2019-11-08,1.0888
2019-11-07,0.9559
2019-11-06,0.9633
2019-11-05,0.9655
2019-11-04,0.9311
2019-11-01,0.8992
2019-10-31,0.9215
2019-10-30,0.9269
2019-10-29,0.9726
2019-10-28,1.0634
2019-10-25,1.0846
2019-10-24,1.0434
2019-10-23,1.1024
2019-10-22,1.0522
2019-10-21,1.0790
2019-10-18,1.0401
2019-10-17,1.0167
2019-10-16,0.8642
2019-10-15,0.8847
2019-10-14,0.8484
2019-10-11,0.8477
2019-10-10,0.8734
2019-10-09,1.0387
2019-10-08,1.0408
2019-10-07,0.9695
2019-10-04,0.9618
2019-10-03,0.9450
2019-10-02,0.8902
2019-10-01,0.9092
2019-09-30,0.8957
2019-09-27,0.9323
2019-09-26,0.9393
2019-09-25,0.8576
2019-09-24,0.8463
2019-09-23,0.9222
2019-09-20,0.9308
2019-09-19,0.9928
2019-09-18,1.0507
2019-09-17,1.0343
2019-09-16,1.0195
2019-09-13,0.9928
2019-09-12,1.0049
2019-09-11,1.1147
2019-09-10,1.1025
2019-09-09,1.1548
2019-09-06,1.1463
2019-09-05,1.0909
2019-09-04,1.0464
2019-09-03,0.9936
2019-08-30,0.9474
2019-08-29,0.9602
2019-08-28,0.9108
2019-08-27,0.8630
2019-08-26,0.9371
2019-08-23,0.8854
2019-08-22,0.9192
2019-08-21,0.8321
2019-08-20,0.7959
2019-08-19,0.8129
2019-08-16,0.8544
2019-08-15,0.8320
2019-08-14,0.9913
2019-08-13,1.0559
2019-08-12,1.0475
2019-08-09,1.0058
2019-08-08,1.0539
2019-08-07,0.9868
2019-08-06,0.9756
2019-08-05,0.9367
2019-08-02,0.9394
2019-08-01,0.8888
2019-07-31,0.9218
2019-07-30,0.9347
2019-07-29,0.9613
2019-07-26,0.9811
2019-07-25,0.9799
2019-07-24,0.9678
2019-07-23,0.9989
2019-07-22,0.9909
2019-07-19,1.0374
2019-07-18,0.9652
2019-07-17,0.9479
2019-07-16,0.9090
2019-07-15,0.8908
2019-07-12,0.8518
2019-07-11,0.9033
2019-07-10,0.9631
2019-07-09,0.9638
2019-07-08,0.9794
2019-07-05,0.9877
2019-07-03,1.0335
2019-07-02,1.0078
2019-07-01,1.0005
2019-06-28,1.0037
2019-06-27,0.9302
2019-06-26,0.9289
2019-06-25,0.9460
2019-06-24,0.9690
2019-06-21,0.9752
2019-06-20,1.0442
2019-06-19,0.9984
2019-06-18,0.9788
2019-06-17,0.9568
2019-06-14,0.9761
2019-06-13,1.0111
2019-06-12,1.0492
2019-06-11,1.0476
2019-06-10,1.1299
2019-06-07,1.0479
2019-06-06,0.9815
2019-06-05,0.9612
2019-06-04,0.9185
2019-06-03,0.8719
2019-05-31,0.9035
2019-05-30,0.9166
2019-05-29,0.9442
2019-05-28,1.0317
2019-05-24,0.9957
2019-05-23,0.9891
2019-05-22,1.0137
2019-05-21,0.9932
2019-05-20,0.9888
2019-05-17,0.9396
2019-05-16,0.9612
2019-05-15,0.9450
2019-05-14,0.9527
2019-05-13,0.8894
2019-05-10,0.9674
2019-05-09,0.9672
2019-05-08,0.9479
2019-05-07,0.9412
2019-05-06,0.9456
2019-05-03,0.9834
2019-05-02,1.0054
2019-05-01,1.0478
2019-04-30,1.0656
2019-04-29,1.0783
2019-04-26,1.1201
2019-04-25,1.1249
2019-04-24,1.1605
2019-04-23,1.1640
2019-04-22,1.1409
2019-04-18,1.1118
2019-04-17,1.0152
2019-04-16,0.9983
2019-04-15,0.9536
2019-04-12,0.9780
2019-04-11,0.9254
2019-04-10,0.9730
2019-04-09,0.9676
2019-04-08,1.0054
2019-04-05,0.9970
2019-04-04,1.0222
2019-04-03,1.0114
2019-04-02,0.9653
2019-04-01,0.9604
2019-03-29,0.9772
2019-03-28,0.9203
2019-03-27,0.9151
2019-03-26,0.9694
2019-03-25,0.9680
2019-03-22,0.9671
2019-03-21,1.0114
2019-03-20,1.0171
2019-03-19,0.9861
