time,RSI
2019-11-15,16.5329
2019-11-14,18.2462
2019-11-13,32.1465
2019-11-12,38.8167
2019-11-11,50.5685
2019-11-08,69.0425
2019-11-07,22.6759
2019-11-06,27.3590
2019-11-05,34.7995
2019-11-04,40.6250
2019-11-01,25.4840
2019-10-31,28.8252
2019-10-30,31.4655
2019-10-29,37.0276
2019-10-28,58.6864
2019-10-25,66.8756
2019-10-24,63.0448
2019-10-23,65.1307
2019-10-22,57.6596
2019-10-21,45.1162
2019-10-18,42.7414
2019-10-17,49.4687
2019-10-16,33.8764
2019-10-15,37.1727
2019-10-14,14.9971
2019-10-11,17.2340
2019-10-10,21.7396
2019-10-09,44.2889
2019-10-08,42.0958
2019-10-07,32.6473
2019-10-04,40.0002
2019-10-03,45.4609
2019-10-02,18.3072
2019-10-01,14.6655
2019-09-30,19.8591
2019-09-27,25.8514
2019-09-26,34.1984
2019-09-25,33.2511
2019-09-24,20.8537
2019-09-23,31.9561
2019-09-20,31.2191
2019-09-19,37.5664
2019-09-18,76.8066
2019-09-17,72.9285
2019-09-16,66.4009
2019-09-13,62.8794
2019-09-12,49.8418
2019-09-11,67.6143
2019-09-10,68.2860
2019-09-09,66.5116
2019-09-06,73.5936
2019-09-05,64.8102
2019-09-04,42.8399
2019-09-03,46.6834
2019-08-30,22.6156
2019-08-29,26.6940
2019-08-28,27.1934
2019-08-27,14.1654
2019-08-26,20.6046
2019-08-23,17.7085
2019-08-22,18.5758
2019-08-21,24.2849
2019-08-20,27.3166
2019-08-19,21.2681
2019-08-16,26.0982
2019-08-15,17.8279
2019-08-14,38.2309
2019-08-13,69.8653
2019-08-12,50.7726
2019-08-09,51.3598
2019-08-08,50.7522
2019-08-07,41.2055
2019-08-06,43.0545
2019-08-05,28.6910
2019-08-02,39.0736
2019-08-01,8.6513
2019-07-31,13.9804
2019-07-30,17.2389
2019-07-29,19.1520
2019-07-26,31.4290
2019-07-25,34.9604
2019-07-24,39.4627
2019-07-23,40.8661
2019-07-22,28.4708
2019-07-19,33.9012
2019-07-18,36.6068
2019-07-17,43.7203
2019-07-16,29.4133
2019-07-15,23.5244
2019-07-12,8.4903
2019-07-11,16.0743
2019-07-10,25.7053
2019-07-09,30.7872
2019-07-08,34.5727
2019-07-05,42.4623
2019-07-03,55.9914
2019-07-02,39.0844
2019-07-01,46.5259
2019-06-28,41.6461
2019-06-27,45.8282
2019-06-26,31.1262
2019-06-25,31.4196
2019-06-24,37.0000
2019-06-21,32.0521
2019-06-20,70.2934
2019-06-19,60.2462
2019-06-18,49.6708
2019-06-17,47.0464
2019-06-14,36.2529
2019-06-13,43.1942
2019-06-12,55.4306
2019-06-11,56.8775
2019-06-10,67.2124
2019-06-07,54.3504
2019-06-06,45.7900
2019-06-05,39.2099
2019-06-04,40.3793
2019-06-03,12.5027
2019-05-31,16.7174
2019-05-30,25.2692
2019-05-29,26.9953
2019-05-28,44.5081
2019-05-24,41.4111
2019-05-23,42.6221
2019-05-22,56.3762
2019-05-21,46.6619
2019-05-20,24.0752
2019-05-17,32.7076
2019-05-16,36.1086
2019-05-15,38.6673
2019-05-14,37.6575
2019-05-13,21.7958
2019-05-10,42.8778
2019-05-09,34.5764
2019-05-08,44.4995
2019-05-07,38.5951
2019-05-06,54.0990
2019-05-03,53.0006
2019-05-02,47.8412
2019-05-01,69.7853
2019-04-30,68.9645
2019-04-29,86.7584
2019-04-26,81.3552
2019-04-25,74.6912
2019-04-24,76.8765
2019-04-23,73.3546
2019-04-22,82.1087
2019-04-18,69.1852
2019-04-17,57.9153
2019-04-16,47.3816
2019-04-15,37.1656
2019-04-12,49.8905
2019-04-11,18.1173
2019-04-10,35.4475
2019-04-09,22.6672
2019-04-08,33.8592
2019-04-05,43.3023
2019-04-04,44.6170
2019-04-03,45.7278
2019-04-02,41.9277
2019-04-01,30.6039
2019-03-29,38.6031
2019-03-28,19.7480
2019-03-27,22.6405
2019-03-26,38.2345
2019-03-25,27.9214
2019-03-22,29.1647
2019-03-21,48.1450
2019-03-20,65.0889
2019-03-19,52.9625
2019-03-18,44.4287
2019-03-15,47.7274
2019-03-14,41.2743
2019-03-13,48.5280
2019-03-12,58.5183
2019-03-11,49.3108
2019-03-08,40.7540
2019-03-07,36.9875
2019-03-06,45.6778
2019-03-05,67.5524
2019-03-04,57.4294
2019-03-01,60.9508
2019-02-28,65.5833
2019-02-27,52.1742
2019-02-26,57.6995
2019-02-25,29.6534
2019-02-22,34.8980
2019-02-21,38.9503
2019-02-20,50.4879
2019-02-19,51.6828
2019-02-15,63.3831
2019-02-14,52.8798
2019-02-13,52.3483
2019-02-12,33.3616
2019-02-11,23.4207
2019-02-08,35.2446
2019-02-07,45.9552
2019-02-06,42.0986
2019-02-05,60.2389
2019-02-04,73.1449
2019-02-01,69.0142
2019-01-31,70.0402
2019-01-30,66.1786
2019-01-29,62.6036
2019-01-28,95.7012
2019-01-25,94.1426
2019-01-24,87.2436
2019-01-23,84.6732
2019-01-22,88.6205
2019-01-18,88.3304
2019-01-17,86.8988
2019-01-16,85.6397
2019-01-15,84.1882
2019-01-14,95.6991
2019-01-11,92.9524
2019-01-10,92.3032
2019-01-09,86.8242
2019-01-08,69.2927
2019-01-07,61.6678
2019-01-04,53.2616
2019-01-03,51.7454
2019-01-02,62.7355
2018-12-31,34.6212
2018-12-28,40.5976
2018-12-27,29.7287
2018-12-26,34.7202
2018-12-24,24.5913
2018-12-21,13.0077
2018-12-20,18.2548
2018-12-19,20.6717
2018-12-18,27.1776
2018-12-17,28.0526
2018-12-14,39.2444
2018-12-13,37.9671
2018-12-12,47.6683
2018-12-11,58.9151
2018-12-10,36.0589
2018-12-07,39.1531
2018-12-06,24.7418
2018-12-04,30.8661
2018-12-03,46.4420
2018-11-30,48.7448
2018-11-29,45.0810
2018-11-28,51.6236
2018-11-27,28.2614
2018-11-26,26.4071
2018-11-23,36.5286
2018-11-21,37.5600
2018-11-20,22.1184
2018-11-19,23.9475
2018-11-16,32.5656
2018-11-15,33.0333
2018-11-14,25.7064
2018-11-13,39.8680
2018-11-12,43.0450
2018-11-09,42.8367
2018-11-08,56.5154
2018-11-07,78.4263
2018-11-06,69.2611
2018-11-05,59.3317
2018-11-02,41.4898
2018-11-01,40.7140
2018-10-31,39.9025
2018-10-30,22.1163
2018-10-29,15.9852
2018-10-26,26.3761
2018-10-25,28.3957
2018-10-24,17.1215
2018-10-23,22.5105
2018-10-22,23.5888
2018-10-19,35.7945
2018-10-18,42.7359
2018-10-17,49.3517
2018-10-16,58.8510
2018-10-15,79.2638
2018-10-12,57.9343
2018-10-11,39.1474
2018-10-10,43.3387
2018-10-09,48.2777
2018-10-08,58.8152
2018-10-05,41.0213
2018-10-04,45.4906
2018-10-03,50.5908
2018-10-02,26.1733
2018-10-01,40.1018
2018-09-28,38.3289
2018-09-27,42.0250
2018-09-26,56.2726
2018-09-25,61.2004
2018-09-24,60.3226
2018-09-21,50.0839
2018-09-20,62.5151
2018-09-19,51.2451
2018-09-18,64.0807
2018-09-17,51.4901
2018-09-14,44.8638
2018-09-13,27.2798
2018-09-12,63.5575
2018-09-11,65.1462
2018-09-10,74.8790
2018-09-07,72.6129
2018-09-06,70.0294
2018-09-05,79.2822
2018-09-04,81.8854
2018-08-31,67.7297
2018-08-30,63.4932
2018-08-29,75.8237
2018-08-28,67.3762
2018-08-27,92.6186
2018-08-24,91.5467
2018-08-23,87.8145
2018-08-22,85.7287
2018-08-21,83.5189
2018-08-20,81.7024
2018-08-17,74.0189
2018-08-16,65.3195
2018-08-15,73.6108
2018-08-14,26.8685
2018-08-13,44.7201
2018-08-10,72.4681
2018-08-09,81.2211
2018-08-08,73.1118
2018-08-07,51.1615
2018-08-06,55.7834
2018-08-03,49.5656
2018-08-02,57.8720
2018-08-01,46.4168
2018-07-31,55.8970
2018-07-30,51.7869
2018-07-27,44.3539
2018-07-26,34.5994
2018-07-25,40.4969
2018-07-24,32.2897
2018-07-23,36.0154
2018-07-20,11.7614
2018-07-19,15.7069
2018-07-18,22.0515
2018-07-17,18.7416
2018-07-16,25.3414
2018-07-13,36.1435
2018-07-12,45.8927
2018-07-11,45.8927
2018-07-10,38.4874
2018-07-09,43.4210
2018-07-06,47.2057
2018-07-05,48.8699
2018-07-03,43.7310
2018-07-02,51.2446
2018-06-29,41.3654
2018-06-28,48.3225
2018-06-27,25.9647
2018-06-26,41.9817
2018-06-25,42.9982
2018-06-22,53.8130
2018-06-21,87.7388
2018-06-20,82.6310
2018-06-19,72.5476
2018-06-18,62.0617
2018-06-15,50.0515
2018-06-14,44.4864
2018-06-13,62.9408
2018-06-12,46.8562
2018-06-11,46.0344
