timestamp,open,high,low,close
2020-03-13,1.8911,1.8927,1.8714,1.8776
2020-03-12,1.9052,1.9183,1.8738,1.8921
2020-03-11,1.9080,1.9278,1.9065,1.9073
2020-03-10,1.9325,1.9334,1.9070,1.9078
2020-03-09,1.9208,1.9522,1.9208,1.9342
2020-03-07,1.9083,1.9083,1.9083,1.9083
2020-03-06,1.8929,1.9300,1.8929,1.9084
2020-03-05,1.8717,1.8920,1.8702,1.8909
2020-03-04,1.8725,1.8804,1.8677,1.8686
2020-03-03,1.8677,1.8867,1.8644,1.8716
2020-03-02,1.8553,1.8831,1.8531,1.8653
2020-03-01,1.8573,1.8586,1.8573,1.8579
2020-02-28,1.8477,1.8629,1.8460,1.8529
2020-02-27,1.8346,1.8571,1.8342,1.8468
2020-02-26,1.8320,1.8441,1.8298,1.8311
2020-02-25,1.8279,1.8440,1.8269,1.8329
2020-02-24,1.8263,1.8408,1.8242,1.8274
2020-02-23,1.8265,1.8268,1.8251,1.8267
2020-02-21,1.8181,1.8326,1.8179,1.8285
2020-02-20,1.8203,1.8319,1.8172,1.8176
2020-02-19,1.8189,1.8297,1.8172,1.8186
2020-02-18,1.8233,1.8324,1.8182,1.8187
2020-02-17,1.8324,1.8327,1.8217,1.8240
2020-02-15,1.8213,1.8213,1.8211,1.8211
2020-02-14,1.8258,1.8346,1.8213,1.8213
2020-02-13,1.8289,1.8401,1.8270,1.8368
2020-02-12,1.8330,1.8446,1.8282,1.8283
2020-02-11,1.8293,1.8435,1.8274,1.8335
2020-02-10,1.8316,1.8414,1.8290,1.8304
2020-02-09,1.8300,1.8301,1.8300,1.8300
2020-02-08,1.8292,1.8292,1.8292,1.8292
2020-02-07,1.8352,1.8458,1.8295,1.8296
2020-02-06,1.8376,1.8470,1.8336,1.8349
2020-02-05,1.8482,1.8485,1.8364,1.8386
2020-02-04,1.8520,1.8576,1.8434,1.8452
2020-02-03,1.8559,1.8658,1.8508,1.8515
2020-02-02,1.8556,1.8562,1.8556,1.8562
2020-01-31,1.8579,1.8674,1.8543,1.8563
2020-01-30,1.8389,1.8561,1.8383,1.8463
2020-01-29,1.8359,1.8469,1.8314,1.8469
2020-01-28,1.8435,1.8501,1.8364,1.8491
2020-01-27,1.8445,1.8577,1.8423,1.8453
2020-01-26,1.8434,1.8437,1.8431,1.8433
2020-01-24,1.8448,1.8542,1.8414,1.8525
2020-01-23,1.8479,1.8596,1.8445,1.8558
2020-01-22,1.8469,1.8555,1.8434,1.8480
2020-01-21,1.8488,1.8615,1.8465,1.8466
2020-01-20,1.8477,1.8570,1.8457,1.8471
2020-01-18,1.8474,1.8474,1.8474,1.8474
2020-01-17,1.8540,1.8615,1.8461,1.8485
2020-01-16,1.8562,1.8706,1.8532,1.8536
2020-01-15,1.8489,1.8668,1.8486,1.8554
2020-01-14,1.8422,1.8598,1.8420,1.8598
2020-01-13,1.8387,1.8518,1.8382,1.8426
2020-01-12,1.8384,1.8386,1.8382,1.8382
2020-01-10,1.8379,1.8493,1.8329,1.8390
2020-01-09,1.8373,1.8501,1.8361,1.8482
2020-01-08,1.8426,1.8525,1.8366,1.8373
2020-01-07,1.8473,1.8535,1.8391,1.8429
2020-01-06,1.8423,1.8558,1.8414,1.8475
2020-01-05,1.8424,1.8429,1.8424,1.8424
2020-01-03,1.8413,1.8504,1.8378,1.8378
2020-01-02,1.8499,1.8539,1.8384,1.8410
2020-01-01,1.8473,1.8489,1.8468,1.8483
2019-12-31,1.8462,1.8627,1.8460,1.8472
2019-12-30,1.8377,1.8591,1.8377,1.8455
2019-12-29,1.8353,1.8353,1.8333,1.8333
2019-12-27,1.8228,1.8462,1.8228,1.8350
2019-12-26,1.8347,1.8349,1.8225,1.8229
2019-12-25,1.8239,1.8257,1.8237,1.8257
2019-12-24,1.8224,1.8353,1.8204,1.8239
2019-12-23,1.8205,1.8331,1.8204,1.8216
2019-12-22,1.8200,1.8203,1.8200,1.8203
2019-12-20,1.8286,1.8343,1.8189,1.8189
2019-12-19,1.8250,1.8407,1.8246,1.8285
2019-12-18,1.8256,1.8335,1.8219,1.8248
2019-12-17,1.8193,1.8347,1.8189,1.8237
2019-12-16,1.8176,1.8312,1.8174,1.8196
2019-12-15,1.8185,1.8192,1.8184,1.8187
2019-12-13,1.8154,1.8309,1.8150,1.8171
2019-12-12,1.8306,1.8320,1.8127,1.8158
2019-12-11,1.8171,1.8313,1.8136,1.8306
2019-12-10,1.8105,1.8250,1.8103,1.8172
2019-12-09,1.8062,1.8182,1.8050,1.8110
2019-12-08,1.8057,1.8063,1.8049,1.8063
2019-12-06,1.8125,1.8195,1.8040,1.8047
2019-12-05,1.8204,1.8226,1.8077,1.8217
2019-12-04,1.8118,1.8213,1.8071,1.8195
2019-12-03,1.8042,1.8228,1.8022,1.8121
2019-12-02,1.7886,1.8107,1.7881,1.8041
2019-12-01,1.7891,1.7891,1.7883,1.7885
2019-11-29,1.7914,1.7999,1.7851,1.7887
2019-11-28,1.7907,1.8016,1.7902,1.7907
2019-11-27,1.7935,1.8026,1.7891,1.7910
2019-11-26,1.7942,1.8051,1.7924,1.7942
2019-11-25,1.7942,1.8051,1.7941,1.7947
2019-11-24,1.7926,1.7926,1.7921,1.7923
2019-11-22,1.8014,1.8092,1.7925,1.7925
2019-11-21,1.8148,1.8148,1.8009,1.8014
2019-11-20,1.8124,1.8124,1.8114,1.8114
