timestamp,open,high,low,close
2020-03-06,7.1650,7.1650,7.1174,7.1650
2020-03-05,7.2378,7.2378,7.1898,7.2378
2020-03-04,7.3074,7.3074,7.2358,7.2842
2020-03-03,7.2445,7.2445,7.1963,7.2445
2020-03-02,7.2577,7.2577,7.2095,7.2577
2020-02-28,7.3604,7.3604,7.3114,7.3114
2020-02-27,7.3829,7.3829,7.3246,7.3736
2020-02-26,7.4002,7.4497,7.3641,7.4133
2020-02-25,7.4365,7.4365,7.3854,7.4100
2020-02-24,7.4266,7.4266,7.3766,7.4259
2020-02-21,7.4332,7.4332,7.3838,7.3838
2020-02-20,7.4762,7.4762,7.4266,7.4762
2020-02-19,7.4630,7.4703,7.4134,7.4663
2020-02-18,7.4531,7.4531,7.4035,7.4531
2020-02-17,7.4564,7.4564,7.4068,7.4564
2020-02-14,7.4398,7.4398,7.3871,7.4118
2020-02-13,7.4133,7.4431,7.3641,7.4233
2020-02-11,7.3723,7.3723,7.3213,7.3703
2020-02-10,7.3570,7.3789,7.3082,7.3789
2020-02-07,7.3597,7.3597,7.2917,7.3161
2020-02-06,7.3272,7.3339,7.2786,7.3339
2020-02-05,7.3186,7.3246,7.2700,7.3239
2020-02-04,7.2503,7.3007,7.2424,7.2908
2020-02-03,7.2437,7.2935,7.2437,7.2921
2020-01-31,7.2842,7.3067,7.2128,7.2128
2020-01-30,7.2812,7.3319,7.2489,7.2974
2020-01-29,7.2832,7.3438,7.2832,7.3405
2020-01-28,7.3445,7.3570,7.2917,7.3405
2020-01-27,7.2634,7.3173,7.2608,7.3173
2020-01-24,7.3054,7.3060,7.2489,7.2522
2020-01-23,7.2789,7.2908,7.2292,7.2776
2020-01-22,7.2789,7.2789,7.2286,7.2776
2020-01-21,7.2670,7.2743,7.2187,7.2743
2020-01-20,7.2443,7.2928,7.2292,7.2776
2020-01-17,7.2417,7.2822,7.2318,7.2580
2020-01-16,7.2471,7.2551,7.1898,7.2378
2020-01-15,7.2299,7.2509,7.1700,7.2213
2020-01-14,7.2537,7.2537,7.1766,7.2312
2020-01-13,7.2213,7.2405,7.1733,7.2246
2020-01-10,7.2776,7.2796,7.2138,7.2204
2020-01-09,7.2763,7.2789,7.2194,7.2676
2020-01-08,7.2637,7.2637,7.2095,7.2610
2020-01-07,7.2233,7.2608,7.1733,7.2378
2020-01-06,7.1702,7.1961,7.1463,7.1948
2020-01-03,7.2047,7.2624,7.1503,7.1742
2020-01-02,7.1451,7.1518,7.0977,7.1518
2019-12-31,7.1623,7.1716,7.1148,7.1683
2019-12-30,7.1683,7.1921,7.1240,7.1782
2019-12-27,7.2120,7.2120,7.1808,7.1828
2019-12-26,7.2610,7.2610,7.1838,7.2319
2019-12-24,7.2531,7.2531,7.1996,7.2478
2019-12-23,7.2690,7.2690,7.1898,7.2378
2019-12-20,7.2663,7.2663,7.2029,7.2336
2019-12-19,7.2101,7.2623,7.1865,7.2445
2019-12-18,7.2345,7.2604,7.1865,7.2378
2019-12-17,7.2418,7.2431,7.1766,7.2246
2019-12-16,7.2101,7.2781,7.1996,7.2478
2019-12-13,7.2029,7.3227,7.2029,7.2318
2019-12-12,7.2763,7.2776,7.2095,7.2710
2019-12-11,7.2875,7.3047,7.2391,7.3041
2019-12-10,7.3147,7.3160,7.2555,7.3041
2019-12-09,7.3029,7.3272,7.2786,7.3272
2019-12-06,7.3100,7.3239,7.2595,7.3239
2019-12-05,7.3100,7.3114,7.2732,7.2974
2019-12-04,7.3160,7.3186,7.3067,7.3186
2019-12-03,7.2621,7.3107,7.2621,7.3107
2019-12-02,7.3286,7.3505,7.2621,7.3173
2019-11-29,7.3670,7.3670,7.3180,7.3670
2019-11-27,7.3590,7.3663,7.3339,7.3663
2019-11-26,7.3570,7.3570,7.3194,7.3438
2019-11-25,7.3670,7.3670,7.3128,7.3372
2019-11-22,7.3272,7.3992,7.2707,7.2917
2019-11-21,7.3060,7.3299,7.2575,7.3299
2019-11-20,7.3272,7.3279,7.2753,7.3239
2019-11-19,7.3114,7.3147,7.2621,7.3140
2019-11-18,7.2851,7.3339,7.2753,7.3239
2019-11-15,7.3650,7.3650,7.2786,7.2786
2019-11-14,7.3702,7.3948,7.3147,7.3637
2019-11-13,7.3829,7.4473,7.3312,7.3557
2019-11-12,7.3822,7.3829,7.3796,7.3802
2019-11-11,7.3716,7.3716,7.3451,7.3703
2019-11-08,7.3723,7.3802,7.3425,7.3769
2019-11-07,7.3491,7.3637,7.3247,7.3637
2019-11-06,7.3378,7.3471,7.2891,7.3438
2019-11-05,7.2884,7.3504,7.2884,7.3438
2019-11-04,7.2483,7.3027,7.2476,7.2542
2019-10-31,7.2575,7.3473,7.2358,7.2358
2019-10-30,7.2884,7.3584,7.2621,7.2753
2019-10-29,7.3022,7.3711,7.2720,7.2720
2019-10-28,7.3068,7.4546,7.2950,7.2950
2019-10-25,7.2930,7.4272,7.2818,7.2983
2019-10-24,7.3207,7.3839,7.2818,7.2851
2019-10-23,7.3292,7.3292,7.2798,7.2798
2019-10-22,7.3286,7.3312,7.2588,7.3074
2019-10-21,7.3272,7.3299,7.2654,7.3173
2019-10-18,7.3524,7.3770,7.2753,7.2996
2019-10-17,7.3306,7.3604,7.2851,7.3604
2019-10-16,7.3961,7.3961,7.3470,7.3961
2019-10-15,7.4093,7.4322,7.3180,7.3670
2019-10-14,7.3610,7.3882,7.3364,7.3862
