timestamp,open,high,low,close
2020-03-13,1.2561,1.2514,1.2561,1.2514
2020-03-12,1.2822,1.2575,1.2822,1.2575
2020-03-11,1.2940,1.2829,1.2948,1.2829
2020-03-10,1.3051,1.2902,1.3051,1.2902
2020-03-09,1.3056,1.3056,1.3116,1.3116
2020-03-08,1.3055,1.3055,1.3101,1.3101
2020-03-01,1.2832,1.2820,1.2832,1.2820
2020-02-29,1.2832,1.2832,1.2832,1.2832
2020-02-28,1.2903,1.2825,1.2903,1.2825
2020-02-27,1.2935,1.2892,1.2935,1.2897
2020-02-26,1.3002,1.2910,1.3002,1.2910
2020-02-25,1.2942,1.2942,1.3006,1.3006
2020-02-24,1.2945,1.2920,1.2945,1.2937
2020-02-23,1.2975,1.2955,1.2975,1.2955
2020-02-22,1.2975,1.2975,1.2975,1.2975
2020-02-21,1.2905,1.2905,1.2975,1.2975
2020-02-20,1.2918,1.2882,1.2918,1.2892
2020-02-19,1.3011,1.2935,1.3011,1.2935
2020-02-18,1.3004,1.3004,1.3017,1.3017
2020-02-17,1.3062,1.3017,1.3062,1.3017
2020-02-16,1.3056,1.3056,1.3056,1.3056
2020-02-15,1.3056,1.3056,1.3056,1.3056
2020-02-14,1.3053,1.3022,1.3060,1.3022
2020-02-13,1.2963,1.2963,1.3063,1.3063
2020-02-12,1.2963,1.2963,1.2969,1.2969
2020-02-11,1.2922,1.2915,1.2965,1.2965
2020-02-10,1.2897,1.2897,1.2948,1.2948
2020-02-09,1.2892,1.2892,1.2892,1.2892
2020-02-07,1.2947,1.2893,1.2955,1.2893
2020-02-06,1.2989,1.2933,1.2989,1.2933
2020-02-05,1.3028,1.3000,1.3056,1.3000
2020-02-04,1.3016,1.3016,1.3045,1.3045
2020-02-03,1.3174,1.3000,1.3174,1.3000
2020-02-02,1.3182,1.3182,1.3182,1.3182
2020-01-31,1.3108,1.3108,1.3214,1.3214
2020-01-30,1.3024,1.3024,1.3104,1.3104
2020-01-29,1.3029,1.3017,1.3029,1.3024
2020-01-28,1.3065,1.3021,1.3065,1.3028
2020-01-27,1.3067,1.3063,1.3077,1.3063
2020-01-26,1.3092,1.3092,1.3092,1.3092
2020-01-24,1.3130,1.3084,1.3130,1.3084
2020-01-23,1.3137,1.3129,1.3137,1.3129
2020-01-22,1.3051,1.3051,1.3146,1.3146
2020-01-21,1.3022,1.3022,1.3058,1.3051
2020-01-20,1.3011,1.2999,1.3016,1.3016
2020-01-19,1.3004,1.3004,1.3004,1.3004
2020-01-17,1.3080,1.3024,1.3080,1.3024
2020-01-16,1.3056,1.3056,1.3084,1.3084
2020-01-15,1.3036,1.3014,1.3039,1.3039
2020-01-14,1.3004,1.2984,1.3029,1.3029
2020-01-13,1.3045,1.2985,1.3045,1.3004
2020-01-12,1.3039,1.3039,1.3039,1.3039
2020-01-10,1.3086,1.3065,1.3092,1.3065
2020-01-09,1.3118,1.3046,1.3118,1.3075
2020-01-08,1.3130,1.3101,1.3130,1.3106
2020-01-07,1.3180,1.3127,1.3180,1.3127
2020-01-06,1.3092,1.3092,1.3175,1.3175
2020-01-05,1.3091,1.3091,1.3091,1.3091
2020-01-03,1.3135,1.3082,1.3135,1.3082
2020-01-02,1.3217,1.3148,1.3217,1.3148
2020-01-01,1.3270,1.3256,1.3270,1.3256
2019-12-31,1.3130,1.3130,1.3256,1.3256
2019-12-30,1.3120,1.3113,1.3141,1.3113
2019-12-29,1.3101,1.3101,1.3101,1.3101
2019-12-27,1.3014,1.3014,1.3104,1.3084
2019-12-26,1.2994,1.2979,1.3012,1.3012
2019-12-25,1.2967,1.2962,1.2967,1.2962
2019-12-24,1.2952,1.2942,1.2962,1.2942
2019-12-23,1.3017,1.2943,1.3017,1.2952
2019-12-22,1.3007,1.3007,1.3007,1.3007
2019-12-20,1.3029,1.3012,1.3039,1.3012
2019-12-19,1.3091,1.3022,1.3091,1.3022
2019-12-18,1.3108,1.3091,1.3108,1.3096
2019-12-17,1.3305,1.3132,1.3305,1.3132
2019-12-16,1.3396,1.3355,1.3396,1.3355
2019-12-15,1.3349,1.3349,1.3349,1.3349
2019-12-13,1.3398,1.3353,1.3398,1.3353
2019-12-12,1.3226,1.3179,1.3226,1.3179
2019-12-11,1.3146,1.3146,1.3217,1.3217
2019-12-10,1.3158,1.3158,1.3200,1.3200
2019-12-09,1.3154,1.3154,1.3160,1.3158
2019-12-08,1.3142,1.3142,1.3142,1.3142
2019-12-06,1.3165,1.3149,1.3165,1.3149
2019-12-05,1.3122,1.3122,1.3168,1.3168
2019-12-04,1.3002,1.3002,1.3113,1.3113
2019-12-03,1.2947,1.2947,1.3016,1.3006
2019-12-02,1.2923,1.2923,1.2957,1.2957
2019-12-01,1.2918,1.2918,1.2918,1.2918
2019-11-29,1.2920,1.2903,1.2943,1.2943
2019-11-28,1.2937,1.2918,1.2937,1.2918
2019-11-27,1.2863,1.2863,1.2915,1.2915
2019-11-26,1.2903,1.2867,1.2903,1.2872
2019-11-25,1.2855,1.2855,1.2912,1.2912
2019-11-24,1.2867,1.2867,1.2867,1.2867
2019-11-22,1.2925,1.2845,1.2925,1.2845
2019-11-21,1.2935,1.2917,1.2969,1.2917
2019-11-20,1.2922,1.2908,1.2930,1.2930
2019-11-19,1.2962,1.2937,1.2962,1.2938
2019-11-18,1.2932,1.2932,1.2967,1.2960
2019-11-17,1.2927,1.2927,1.2927,1.2927
