timestamp,open,high,low,close
2020-03-10,2.2155,2.2155,2.2128,2.2132
2020-03-06,2.2147,2.2161,2.2147,2.2155
2020-03-04,2.1744,2.1744,2.1708,2.1715
2020-02-28,2.1913,2.1940,2.1913,2.1940
2020-02-24,2.1958,2.1968,2.1958,2.1968
2020-02-18,2.2089,2.2090,2.2087,2.2087
2020-02-17,2.2169,2.2180,2.2169,2.2180
2020-02-14,2.2169,2.2171,2.2165,2.2171
2020-02-13,2.2006,2.2013,2.2006,2.2013
2020-02-12,2.2032,2.2036,2.2032,2.2034
2020-02-11,2.1953,2.1953,2.1949,2.1949
2020-02-10,2.1936,2.1938,2.1931,2.1937
2020-02-07,2.1997,2.1997,2.1991,2.1995
2020-02-06,2.2065,2.2069,2.2065,2.2069
2020-02-05,2.2128,2.2128,2.2121,2.2125
2020-02-04,2.2133,2.2133,2.2118,2.2118
2020-02-03,2.2377,2.2377,2.2371,2.2373
2020-01-31,2.2263,2.2263,2.2258,2.2260
2020-01-30,2.2120,2.2123,2.2118,2.2120
2020-01-29,2.2132,2.2138,2.2130,2.2138
2020-01-28,2.2191,2.2195,2.2190,2.2191
2020-01-27,2.2196,2.2196,2.2191,2.2195
2020-01-24,2.2297,2.2303,2.2297,2.2302
2020-01-23,2.2306,2.2307,2.2300,2.2300
2020-01-22,2.2181,2.2193,2.2181,2.2193
2020-01-21,2.2123,2.2130,2.2123,2.2125
2020-01-17,2.2220,2.2222,2.2215,2.2220
2020-01-16,2.2183,2.2183,2.2176,2.2177
2020-01-15,2.2147,2.2149,2.2144,2.2149
2020-01-14,2.2085,2.2086,2.2083,2.2085
2020-01-13,2.2151,2.2151,2.2141,2.2143
2020-01-10,2.2227,2.2239,2.2227,2.2236
2020-01-09,2.2286,2.2298,2.2286,2.2294
2020-01-08,2.2303,2.2306,2.2296,2.2298
2020-01-07,2.2387,2.2387,2.2357,2.2357
2019-12-30,2.2289,2.2300,2.2289,2.2299
2019-12-27,2.2091,2.2091,2.2085,2.2087
2019-12-26,2.2071,2.2075,2.2071,2.2075
2019-12-25,2.2018,2.2019,2.2010,2.2018
2019-12-24,2.2001,2.2001,2.1994,2.1995
2019-12-20,2.2131,2.2131,2.2129,2.2129
2019-12-19,2.2239,2.2239,2.2237,2.2238
2019-12-18,2.2270,2.2284,2.2269,2.2284
2019-12-17,2.2602,2.2602,2.2578,2.2582
2019-12-16,2.2759,2.2759,2.2752,2.2757
2019-12-13,2.2899,2.2907,2.2894,2.2902
2019-12-12,2.2461,2.2462,2.2451,2.2451
2019-12-11,2.2335,2.2342,2.2328,2.2328
2019-12-10,2.2353,2.2357,2.2350,2.2350
2019-12-09,2.2341,2.2343,2.2340,2.2343
2019-12-06,2.2363,2.2364,2.2359,2.2359
2019-12-05,2.2287,2.2289,2.2287,2.2288
2019-12-04,2.2082,2.2082,2.2080,2.2082
2019-12-03,2.1993,2.1996,2.1993,2.1994
2019-12-02,2.1959,2.1959,2.1953,2.1954
2019-11-29,2.1952,2.1957,2.1952,2.1957
2019-11-28,2.1982,2.1988,2.1982,2.1986
2019-11-27,2.1846,2.1846,2.1835,2.1835
2019-11-26,2.1912,2.1916,2.1912,2.1914
2019-11-25,2.1839,2.1844,2.1836,2.1844
2019-11-21,2.1974,2.1975,2.1971,2.1975
2019-11-20,2.1945,2.1945,2.1936,2.1936
2019-11-19,2.2019,2.2030,2.2019,2.2025
2019-11-18,2.1965,2.1969,2.1965,2.1967
2019-11-15,2.1892,2.1892,2.1885,2.1885
2019-11-14,2.1822,2.1823,2.1804,2.1804
2019-11-13,2.1834,2.1839,2.1834,2.1839
2019-11-08,2.1777,2.1781,2.1776,2.1776
2019-11-07,2.1833,2.1836,2.1833,2.1835
2019-11-06,2.1890,2.1890,2.1888,2.1888
2019-11-05,2.1891,2.1894,2.1890,2.1894
2019-11-04,2.1988,2.1988,2.1979,2.1983
2019-11-01,2.2024,2.2028,2.2022,2.2026
2019-10-31,2.1964,2.1967,2.1958,2.1958
2019-10-30,2.1864,2.1872,2.1864,2.1872
2019-10-29,2.1845,2.1849,2.1845,2.1849
2019-10-28,2.1781,2.1786,2.1781,2.1786
2019-10-25,2.1830,2.1832,2.1827,2.1831
2019-10-24,2.1952,2.1952,2.1949,2.1949
2019-10-23,2.1865,2.1869,2.1858,2.1869
2019-10-22,2.2070,2.2071,2.2064,2.2064
2019-10-21,2.1932,2.1932,2.1906,2.1915
2019-10-18,2.1846,2.1846,2.1825,2.1826
2019-10-17,2.1766,2.1766,2.1697,2.1709
2019-10-16,2.1679,2.1681,2.1668,2.1681
2019-10-15,2.1467,2.1469,2.1445,2.1445
2019-10-14,2.1424,2.1426,2.1404,2.1404
2019-10-11,2.1163,2.1171,2.1160,2.1166
2019-10-10,2.0784,2.0787,2.0780,2.0780
2019-10-09,2.0756,2.0756,2.0752,2.0755
2019-10-08,2.0905,2.0905,2.0897,2.0898
2019-10-07,2.0947,2.0947,2.0928,2.0928
2019-10-04,2.0976,2.0979,2.0973,2.0979
2019-10-03,2.0897,2.0902,2.0889,2.0902
2019-10-02,2.0872,2.0872,2.0860,2.0860
2019-10-01,2.0891,2.0894,2.0886,2.0894
2019-09-30,2.0899,2.0904,2.0899,2.0904
2019-09-27,2.0965,2.0965,2.0959,2.0965
2019-09-26,2.1020,2.1020,2.1011,2.1014
2019-09-25,2.1184,2.1186,2.1183,2.1183
