timestamp,open,high,low,close
2020-03-13,1.9942,2.0484,1.9762,2.0229
2020-03-12,1.9765,2.0614,1.9366,1.9988
2020-03-11,1.9867,1.9981,1.9600,1.9773
2020-03-10,1.9732,2.0171,1.9506,1.9806
2020-03-09,1.9732,2.0377,1.9512,1.9831
2020-03-08,1.9685,1.9843,1.9685,1.9806
2020-03-06,1.9584,1.9767,1.9449,1.9589
2020-03-05,1.9437,1.9659,1.9388,1.9572
2020-03-04,1.9441,1.9557,1.9315,1.9423
2020-03-03,1.9555,1.9680,1.9238,1.9457
2020-03-02,1.9793,1.9793,1.9405,1.9507
2020-03-01,1.9670,1.9822,1.9670,1.9768
2020-02-28,1.9607,2.0032,1.9453,1.9688
2020-02-27,1.9736,1.9746,1.9540,1.9598
2020-02-26,1.9690,1.9854,1.9521,1.9697
2020-02-25,1.9582,1.9727,1.9520,1.9687
2020-02-24,1.9601,1.9631,1.9495,1.9581
2020-02-23,1.9525,1.9648,1.9521,1.9629
2020-02-21,1.9499,1.9681,1.9416,1.9556
2020-02-20,1.9327,1.9524,1.9229,1.9476
2020-02-19,1.9435,1.9500,1.9262,1.9354
2020-02-18,1.9351,1.9486,1.9346,1.9447
2020-02-17,1.9422,1.9441,1.9311,1.9375
2020-02-15,1.9424,1.9424,1.9424,1.9424
2020-02-14,1.9412,1.9445,1.9325,1.9374
2020-02-13,1.9232,1.9453,1.9200,1.9430
2020-02-12,1.9289,1.9301,1.9182,1.9235
2020-02-11,1.9311,1.9384,1.9147,1.9284
2020-02-10,1.9304,1.9403,1.9205,1.9347
2020-02-07,1.9206,1.9424,1.9119,1.9296
2020-02-06,1.9231,1.9289,1.9098,1.9189
2020-02-05,1.9304,1.9396,1.9170,1.9249
2020-02-04,1.9433,1.9510,1.9285,1.9333
2020-02-03,1.9684,1.9689,1.9363,1.9414
2020-02-02,1.9670,1.9702,1.9657,1.9701
2020-01-31,1.9488,1.9754,1.9455,1.9727
2020-01-30,1.9272,1.9536,1.9258,1.9485
2020-01-29,1.9254,1.9323,1.9185,1.9280
2020-01-28,1.9305,1.9371,1.9224,1.9257
2020-01-27,1.9146,1.9346,1.9139,1.9305
2020-01-26,1.9181,1.9203,1.9175,1.9189
2020-01-24,1.9167,1.9239,1.9061,1.9139
2020-01-23,1.9175,1.9216,1.9066,1.9171
2020-01-22,1.9053,1.9236,1.9014,1.9194
2020-01-21,1.8924,1.9064,1.8907,1.9056
2020-01-20,1.8899,1.8967,1.8845,1.8919
2020-01-19,1.8889,1.8902,1.8873,1.8894
2020-01-17,1.8941,1.9017,1.8825,1.8929
2020-01-16,1.8891,1.8975,1.8811,1.8951
2020-01-15,1.8868,1.8939,1.8796,1.8870
2020-01-14,1.8820,1.8905,1.8772,1.8865
2020-01-13,1.8891,1.8900,1.8742,1.8823
2020-01-12,1.8889,1.8896,1.8872,1.8888
2020-01-10,1.9070,1.9092,1.8881,1.8909
2020-01-09,1.9086,1.9129,1.8940,1.9059
2020-01-08,1.9094,1.9151,1.9008,1.9073
2020-01-07,1.8972,1.9195,1.8896,1.9095
2020-01-06,1.8852,1.9005,1.8796,1.8970
2020-01-05,1.8825,1.8862,1.8825,1.8853
2020-01-03,1.8779,1.8932,1.8698,1.8795
2020-01-02,1.8840,1.8919,1.8708,1.8807
2020-01-01,1.8892,1.8936,1.8832,1.8902
2019-12-31,1.8746,1.8924,1.8651,1.8871
2019-12-30,1.8773,1.8812,1.8697,1.8722
2019-12-29,1.8757,1.8783,1.8728,1.8749
2019-12-27,1.8721,1.8857,1.8603,1.8724
2019-12-26,1.8754,1.8781,1.8649,1.8728
2019-12-25,1.8706,1.8740,1.8692,1.8705
2019-12-24,1.8707,1.8733,1.8650,1.8664
2019-12-23,1.8857,1.8861,1.8661,1.8710
2019-12-22,1.8827,1.8855,1.8821,1.8845
2019-12-20,1.8906,1.8924,1.8819,1.8830
2019-12-19,1.9089,1.9094,1.8880,1.8898
2019-12-18,1.9118,1.9145,1.9049,1.9102
2019-12-17,1.9325,1.9434,1.9074,1.9158
2019-12-16,1.9472,1.9483,1.9341,1.9403
2019-12-15,1.9360,1.9409,1.9351,1.9409
2019-12-13,1.9312,1.9500,1.9226,1.9395
2019-12-12,1.9227,1.9240,1.8973,1.9001
2019-12-11,1.9287,1.9401,1.9060,1.9216
2019-12-10,1.9265,1.9388,1.9225,1.9369
2019-12-09,1.9221,1.9278,1.9213,1.9266
2019-12-08,1.9198,1.9220,1.9198,1.9209
2019-12-06,1.9245,1.9272,1.9159,1.9205
2019-12-05,1.9146,1.9285,1.9122,1.9253
2019-12-04,1.8966,1.9227,1.8946,1.9138
2019-12-03,1.8969,1.9078,1.8847,1.8974
2019-12-02,1.9083,1.9143,1.8909,1.8988
2019-12-01,1.9056,1.9079,1.9050,1.9077
2019-11-29,1.9073,1.9143,1.9009,1.9116
2019-11-28,1.9072,1.9118,1.9041,1.9071
2019-11-27,1.8936,1.9053,1.8918,1.9042
2019-11-26,1.9018,1.9044,1.8916,1.8954
2019-11-25,1.8915,1.9059,1.8884,1.9034
2019-11-24,1.8917,1.8936,1.8909,1.8935
2019-11-22,1.9020,1.9043,1.8862,1.8898
2019-11-21,1.9014,1.9098,1.8936,1.9010
2019-11-20,1.8909,1.9024,1.8890,1.9012
2019-11-19,1.9021,1.9084,1.8911,1.8938
2019-11-18,1.8957,1.9053,1.8934,1.9021
