timestamp,open,high,low,close
2020-03-06,1.2949,1.3019,1.2949,1.3019
2020-03-05,1.2872,1.2949,1.2872,1.2949
2020-03-04,1.2806,1.2865,1.2806,1.2865
2020-03-03,1.2787,1.2812,1.2786,1.2812
2020-03-02,1.2837,1.2837,1.2750,1.2750
2020-03-01,1.2810,1.2810,1.2810,1.2810
2020-02-28,1.2892,1.2892,1.2814,1.2814
2020-02-27,1.2924,1.2924,1.2881,1.2886
2020-02-26,1.2992,1.2992,1.2899,1.2899
2020-02-25,1.2931,1.2995,1.2931,1.2995
2020-02-24,1.2933,1.2933,1.2909,1.2926
2020-02-23,1.2945,1.2945,1.2945,1.2945
2020-02-21,1.2894,1.2964,1.2894,1.2964
2020-02-20,1.2908,1.2908,1.2871,1.2881
2020-02-19,1.3000,1.3000,1.2924,1.2924
2020-02-18,1.2994,1.3007,1.2994,1.3007
2020-02-17,1.3051,1.3051,1.3007,1.3007
2020-02-15,1.3046,1.3046,1.3046,1.3046
2020-02-14,1.3043,1.3049,1.3012,1.3012
2020-02-13,1.2953,1.3053,1.2953,1.3053
2020-02-12,1.2952,1.2958,1.2952,1.2958
2020-02-11,1.2910,1.2954,1.2904,1.2954
2020-02-10,1.2885,1.2938,1.2885,1.2938
2020-02-07,1.2935,1.2944,1.2882,1.2882
2020-02-06,1.2978,1.2978,1.2923,1.2923
2020-02-05,1.3016,1.3045,1.2990,1.2990
2020-02-04,1.3005,1.3033,1.3005,1.3033
2020-02-03,1.3162,1.3162,1.2989,1.2989
2020-02-02,1.3172,1.3172,1.3172,1.3172
2020-01-31,1.3097,1.3203,1.3097,1.3203
2020-01-30,1.3013,1.3093,1.3013,1.3093
2020-01-29,1.3018,1.3018,1.3006,1.3013
2020-01-28,1.3054,1.3054,1.3010,1.3017
2020-01-27,1.3057,1.3065,1.3052,1.3052
2020-01-26,1.3082,1.3082,1.3082,1.3082
2020-01-24,1.3119,1.3119,1.3073,1.3073
2020-01-23,1.3126,1.3126,1.3118,1.3118
2020-01-22,1.3041,1.3135,1.3041,1.3135
2020-01-21,1.3012,1.3047,1.3012,1.3041
2020-01-20,1.3000,1.3005,1.2989,1.3005
2020-01-19,1.2994,1.2994,1.2994,1.2994
2020-01-17,1.3069,1.3069,1.3013,1.3013
2020-01-16,1.3045,1.3073,1.3045,1.3073
2020-01-15,1.3025,1.3028,1.3004,1.3028
2020-01-14,1.2993,1.3018,1.2973,1.3018
2020-01-13,1.3034,1.3034,1.2974,1.2993
2020-01-12,1.3028,1.3028,1.3028,1.3028
2020-01-10,1.3074,1.3082,1.3053,1.3053
2020-01-09,1.3107,1.3107,1.3035,1.3064
2020-01-08,1.3119,1.3119,1.3091,1.3095
2020-01-07,1.3169,1.3169,1.3116,1.3116
2020-01-06,1.3082,1.3164,1.3082,1.3164
2020-01-05,1.3080,1.3080,1.3080,1.3080
2020-01-03,1.3124,1.3124,1.3071,1.3071
2020-01-02,1.3205,1.3205,1.3136,1.3136
2020-01-01,1.3258,1.3258,1.3245,1.3245
2019-12-31,1.3119,1.3243,1.3119,1.3243
2019-12-30,1.3108,1.3129,1.3101,1.3101
2019-12-29,1.3090,1.3090,1.3090,1.3090
2019-12-27,1.3003,1.3093,1.3003,1.3073
2019-12-26,1.2983,1.3002,1.2968,1.3002
2019-12-25,1.2955,1.2955,1.2950,1.2950
2019-12-24,1.2941,1.2952,1.2931,1.2931
2019-12-23,1.3007,1.3007,1.2933,1.2941
2019-12-22,1.2996,1.2996,1.2996,1.2996
2019-12-20,1.3019,1.3028,1.3002,1.3002
2019-12-19,1.3079,1.3079,1.3011,1.3011
2019-12-18,1.3096,1.3096,1.3079,1.3084
2019-12-17,1.3293,1.3293,1.3121,1.3121
2019-12-16,1.3384,1.3384,1.3344,1.3344
2019-12-15,1.3338,1.3338,1.3338,1.3338
2019-12-13,1.3386,1.3386,1.3341,1.3341
2019-12-12,1.3215,1.3215,1.3168,1.3168
2019-12-11,1.3135,1.3205,1.3135,1.3205
2019-12-10,1.3147,1.3188,1.3147,1.3188
2019-12-09,1.3143,1.3149,1.3143,1.3147
2019-12-08,1.3132,1.3132,1.3132,1.3132
2019-12-06,1.3153,1.3153,1.3139,1.3139
2019-12-05,1.3111,1.3157,1.3111,1.3157
2019-12-04,1.2992,1.3102,1.2992,1.3102
2019-12-03,1.2936,1.3004,1.2936,1.2995
2019-12-02,1.2913,1.2946,1.2913,1.2946
2019-12-01,1.2908,1.2908,1.2908,1.2908
2019-11-29,1.2910,1.2932,1.2893,1.2932
2019-11-28,1.2926,1.2926,1.2908,1.2908
2019-11-27,1.2852,1.2904,1.2852,1.2904
2019-11-26,1.2893,1.2893,1.2856,1.2861
2019-11-25,1.2845,1.2901,1.2845,1.2901
2019-11-24,1.2856,1.2856,1.2856,1.2856
2019-11-22,1.2914,1.2914,1.2834,1.2834
2019-11-21,1.2924,1.2957,1.2905,1.2905
2019-11-20,1.2910,1.2920,1.2897,1.2920
2019-11-19,1.2951,1.2951,1.2926,1.2927
2019-11-18,1.2920,1.2956,1.2920,1.2949
2019-11-17,1.2916,1.2916,1.2916,1.2916
2019-11-15,1.2879,1.2902,1.2876,1.2902
2019-11-14,1.2834,1.2877,1.2834,1.2877
2019-11-13,1.2847,1.2850,1.2834,1.2850
2019-11-12,1.2858,1.2858,1.2834,1.2850
2019-11-11,1.2792,1.2878,1.2792,1.2851
