time,ATR
2019-11-15,2.1237
2019-11-14,2.1072
2019-11-13,2.0640
2019-11-12,2.3275
2019-11-11,2.6093
2019-11-08,2.8267
2019-11-07,3.0784
2019-11-06,3.3904
2019-11-05,3.9205
2019-11-04,4.3159
2019-11-01,4.9624
2019-10-31,5.8780
2019-10-30,6.8325
2019-10-29,7.3807
2019-10-28,2.7658
2019-10-25,2.5348
2019-10-24,2.1460
2019-10-23,2.3137
2019-10-22,2.5197
2019-10-21,2.3321
2019-10-18,2.3826
2019-10-17,2.3582
2019-10-16,2.4728
2019-10-15,2.7435
2019-10-14,2.0556
2019-10-11,2.2695
2019-10-10,2.2519
2019-10-09,2.5409
2019-10-08,2.8686
2019-10-07,2.7458
2019-10-04,2.9097
2019-10-03,2.6471
2019-10-02,2.7239
2019-10-01,2.4037
2019-09-30,2.4496
2019-09-27,2.6842
2019-09-26,2.6878
2019-09-25,2.5697
2019-09-24,2.7896
2019-09-23,2.8295
2019-09-20,2.8044
2019-09-19,3.0405
2019-09-18,2.3826
2019-09-17,2.5708
2019-09-16,2.6960
2019-09-13,2.8675
2019-09-12,3.0219
2019-09-11,3.2898
2019-09-10,3.1648
2019-09-09,3.1170
2019-09-06,3.1862
2019-09-05,2.4728
2019-09-04,2.6110
2019-09-03,2.5512
2019-08-30,2.2140
2019-08-29,2.4087
2019-08-28,2.4934
2019-08-27,2.5643
2019-08-26,2.4754
2019-08-23,2.6467
2019-08-22,2.5059
2019-08-21,2.6398
2019-08-20,2.8898
2019-08-19,3.1922
2019-08-16,3.5428
2019-08-15,3.3833
2019-08-14,3.1849
2019-08-13,2.8261
2019-08-12,2.9576
2019-08-09,3.2325
2019-08-08,3.1031
2019-08-07,3.2802
2019-08-06,3.6052
2019-08-05,3.9990
2019-08-02,4.1975
2019-08-01,4.2674
2019-07-31,4.3992
2019-07-30,4.5615
2019-07-29,2.8744
2019-07-26,2.1919
2019-07-25,2.0423
2019-07-24,2.1954
2019-07-23,2.2392
2019-07-22,2.2279
2019-07-19,2.2424
2019-07-18,2.3180
2019-07-17,2.4700
2019-07-16,2.7505
2019-07-15,2.8525
2019-07-12,2.9631
2019-07-11,2.8089
2019-07-10,2.4136
2019-07-09,2.4981
2019-07-08,2.5526
2019-07-05,2.6157
2019-07-03,2.7646
2019-07-02,3.0358
2019-07-01,3.0297
2019-06-28,2.9222
2019-06-27,3.1252
2019-06-26,3.0620
2019-06-25,3.2725
2019-06-24,2.5606
2019-06-21,2.6958
2019-06-20,3.0248
2019-06-19,3.1509
2019-06-18,3.5687
2019-06-17,3.8221
2019-06-14,3.7201
2019-06-13,3.6252
2019-06-12,3.4565
2019-06-11,3.4456
2019-06-10,2.8495
2019-06-07,3.0143
2019-06-06,2.9929
2019-06-05,3.2349
2019-06-04,2.9871
2019-06-03,3.1589
2019-05-31,2.9111
2019-05-30,2.9359
2019-05-29,3.0911
2019-05-28,3.2139
2019-05-24,3.2629
2019-05-23,3.3802
2019-05-22,3.3078
2019-05-21,3.3048
2019-05-20,3.0234
2019-05-17,2.8434
2019-05-16,3.0388
2019-05-15,3.2685
2019-05-14,3.3156
2019-05-13,3.6845
2019-05-10,3.3531
2019-05-09,3.0539
2019-05-08,3.1499
2019-05-07,3.4849
2019-05-06,3.8061
2019-05-03,4.1001
2019-05-02,4.4976
2019-05-01,4.5645
2019-04-30,4.0056
2019-04-29,4.0608
2019-04-26,4.2960
2019-04-25,2.6475
2019-04-24,2.5468
2019-04-23,2.5710
2019-04-22,2.3288
2019-04-18,2.2748
2019-04-17,2.1485
2019-04-16,2.3506
2019-04-15,2.5926
2019-04-12,2.6570
2019-04-11,2.1137
2019-04-10,2.0997
2019-04-09,2.2821
2019-04-08,2.4026
2019-04-05,2.4707
2019-04-04,2.4609
2019-04-03,2.4511
2019-04-02,2.3051
2019-04-01,2.5638
2019-03-29,2.5598
2019-03-28,2.5048
2019-03-27,2.5809
2019-03-26,2.6209
2019-03-25,2.7087
2019-03-22,2.8193
2019-03-21,3.0491
2019-03-20,3.4164
2019-03-19,3.6480
2019-03-18,2.6925
2019-03-15,2.7307
2019-03-14,2.8933
2019-03-13,3.0042
2019-03-12,3.0243
2019-03-11,3.1310
2019-03-08,3.0562
2019-03-07,3.2228
2019-03-06,3.2484
2019-03-05,3.1856
2019-03-04,3.3969
2019-03-01,2.6487
2019-02-28,2.9108
2019-02-27,3.1536
2019-02-26,3.3769
2019-02-25,3.5137
2019-02-22,3.5346
2019-02-21,3.9157
2019-02-20,4.0222
2019-02-19,4.1827
2019-02-15,4.5159
2019-02-14,5.2593
2019-02-13,5.7042
2019-02-12,6.2702
2019-02-11,6.9078
2019-02-08,6.0772
2019-02-07,6.4465
2019-02-06,3.7256
2019-02-05,3.3220
2019-02-04,3.0600
2019-02-01,3.2125
2019-01-31,3.5832
2019-01-30,3.7664
2019-01-29,3.8405
2019-01-28,3.5782
2019-01-25,3.6062
2019-01-24,3.4153
2019-01-23,3.4066
2019-01-22,3.6708
2019-01-18,2.9435
2019-01-17,3.0843
2019-01-16,3.2679
2019-01-15,3.3211
2019-01-14,3.4064
2019-01-11,3.7016
2019-01-10,3.6895
2019-01-09,3.7646
2019-01-08,4.1407
2019-01-07,4.3309
2019-01-04,4.1798
2019-01-03,3.6898
2019-01-02,3.4947
2018-12-31,3.7034
2018-12-28,4.0118
2018-12-27,4.2022
2018-12-26,4.0328
2018-12-24,3.8885
2018-12-21,4.0706
2018-12-20,4.1982
2018-12-19,4.2403
2018-12-18,3.8812
2018-12-17,4.2090
2018-12-14,4.2612
2018-12-13,4.4766
2018-12-12,4.6382
2018-12-11,5.1203
2018-12-10,5.4603
2018-12-07,5.4829
2018-12-06,5.2961
2018-12-04,4.5076
2018-12-03,4.1371
2018-11-30,4.0138
2018-11-29,4.1273
2018-11-28,4.5404
2018-11-27,4.5757
2018-11-26,4.3571
2018-11-23,4.7489
2018-11-21,5.2420
2018-11-20,5.5850
2018-11-19,5.2888
2018-11-16,4.7398
2018-11-15,4.7277
2018-11-14,4.4646
2018-11-13,4.8565
2018-11-12,5.3406
2018-11-09,5.4415
2018-11-08,5.1843
2018-11-07,5.7629
2018-11-06,6.0939
2018-11-05,6.5231
2018-11-02,6.9638
2018-11-01,7.8423
2018-10-31,8.4453
2018-10-30,8.3792
2018-10-29,8.7240
2018-10-26,9.0550
2018-10-25,8.9262
2018-10-24,6.0078
2018-10-23,5.5397
2018-10-22,5.4822
2018-10-19,5.7177
2018-10-18,5.9071
2018-10-17,6.1064
2018-10-16,6.3330
2018-10-15,5.9787
2018-10-12,6.0534
2018-10-11,6.1355
2018-10-10,6.4269
2018-10-09,5.2499
2018-10-08,5.2474
2018-10-05,5.0142
2018-10-04,4.5928
2018-10-03,3.9719
2018-10-02,4.1372
2018-10-01,4.5490
2018-09-28,4.3287
2018-09-27,4.6561
2018-09-26,4.9827
2018-09-25,5.4142
2018-09-24,5.4427
2018-09-21,5.5434
2018-09-20,5.8692
2018-09-19,6.2755
2018-09-18,5.4668
2018-09-17,5.7060
2018-09-14,5.5900
2018-09-13,5.7928
2018-09-12,6.0160
2018-09-11,5.2635
2018-09-10,4.7859
2018-09-07,4.9726
2018-09-06,4.2107
2018-09-05,4.3459
2018-09-04,2.9654
2018-08-31,3.2152
2018-08-30,3.2416
2018-08-29,3.2853
2018-08-28,3.4062
2018-08-27,3.6895
