time,SlowD,SlowK
2019-11-18,84.4159,90.4646
2019-11-15,79.7741,80.6432
2019-11-14,80.0732,82.1398
2019-11-13,74.6829,76.5393
2019-11-12,71.3223,81.5406
2019-11-11,65.7245,65.9690
2019-11-08,65.4731,66.4572
2019-11-07,56.5831,64.7474
2019-11-06,40.8269,65.2147
2019-11-05,21.2407,39.7871
2019-11-04,9.7179,17.4789
2019-11-01,11.8118,6.4560
2019-10-31,25.1786,5.2189
2019-10-30,42.7689,23.7605
2019-10-29,50.9682,46.5565
2019-10-28,46.7219,57.9897
2019-10-25,40.6244,48.3585
2019-10-24,39.8515,33.8176
2019-10-23,49.5778,39.6971
2019-10-22,57.1356,46.0398
2019-10-21,63.7526,62.9966
2019-10-18,62.7885,62.3705
2019-10-17,65.2727,65.8907
2019-10-16,63.5769,60.1044
2019-10-15,59.0844,69.8231
2019-10-14,43.7720,60.8032
2019-10-11,33.1084,46.6270
2019-10-10,32.9633,23.8859
2019-10-09,43.0187,28.8123
2019-10-08,47.1740,46.1917
2019-10-07,44.5863,54.0520
2019-10-04,42.1028,41.2783
2019-10-03,47.1867,38.4287
2019-10-02,49.6177,46.6014
2019-10-01,43.8422,56.5299
2019-09-30,31.4758,45.7217
2019-09-27,19.1922,29.2749
2019-09-26,11.7258,19.4308
2019-09-25,7.7346,8.8708
2019-09-24,9.2141,6.8759
2019-09-23,13.9360,7.4570
2019-09-20,24.9983,13.3094
2019-09-19,41.1925,21.0415
2019-09-18,61.8566,40.6439
2019-09-17,78.4641,61.8919
2019-09-16,87.2500,83.0339
2019-09-13,86.0524,90.4664
2019-09-12,76.6370,88.2496
2019-09-11,70.0673,79.4412
2019-09-10,66.6067,62.2203
2019-09-09,66.7328,68.5403
2019-09-06,63.1939,69.0595
2019-09-05,59.0256,62.5987
2019-09-04,57.6398,57.9235
2019-09-03,49.0957,56.5546
2019-08-30,37.0742,58.4414
2019-08-29,21.4216,32.2911
2019-08-28,21.0051,20.4902
2019-08-27,30.1407,11.4834
2019-08-26,48.9932,31.0418
2019-08-23,58.5419,47.8968
2019-08-22,56.7076,68.0411
2019-08-21,42.1783,59.6878
2019-08-20,26.4066,42.3940
2019-08-19,15.6408,24.4530
2019-08-16,12.1611,12.3729
2019-08-15,14.0435,10.0966
2019-08-14,22.5057,14.0139
2019-08-13,36.2820,18.0200
2019-08-12,56.8790,35.4832
2019-08-09,67.4697,55.3427
2019-08-08,65.8171,79.8111
2019-08-07,47.5780,67.2553
2019-08-06,30.6732,50.3850
2019-08-05,17.4031,25.0938
