timestamp,open,high,low,close
2020-03-13,2.5383,2.5543,2.5304,2.5464
2020-03-12,2.5341,2.5441,2.5266,2.5383
2020-03-11,2.5264,2.5381,2.5091,2.5341
2020-03-10,2.5318,2.5342,2.4348,2.5264
2020-03-09,2.5226,2.5365,2.5179,2.5240
2020-03-08,2.5226,2.5226,2.5207,2.5207
2020-03-07,2.5226,2.5226,2.5226,2.5226
2020-03-06,2.5202,2.5385,2.5098,2.5284
2020-03-05,2.5258,2.5285,2.5092,2.5202
2020-03-04,2.5162,2.5261,2.5113,2.5260
2020-03-03,2.5181,2.5241,2.5121,2.5162
2020-03-02,2.5171,2.5306,2.5098,2.5181
2020-03-01,2.5139,2.5140,2.5139,2.5140
2020-02-28,2.5151,2.5325,2.5070,2.5139
2020-02-27,2.5087,2.5185,2.4757,2.5150
2020-02-26,2.5025,2.5238,2.4967,2.5087
2020-02-25,2.5025,2.5140,2.4961,2.5031
2020-02-24,2.4992,2.5118,2.4259,2.5025
2020-02-23,2.4979,2.4979,2.4979,2.4979
2020-02-21,2.4978,2.5175,2.4397,2.4979
2020-02-20,2.4953,2.5135,2.4935,2.4978
2020-02-19,2.4933,2.5110,2.4409,2.4953
2020-02-18,2.4965,2.5086,2.4271,2.4933
2020-02-17,2.4892,2.4985,2.4861,2.4964
2020-02-16,2.4879,2.4879,2.4879,2.4879
2020-02-15,2.4875,2.4879,2.4875,2.4879
2020-02-14,2.4871,2.5013,2.4807,2.4875
2020-02-13,2.4765,2.4905,2.4747,2.4871
2020-02-12,2.4768,2.4920,2.4701,2.4753
2020-02-11,2.4668,2.4875,2.4283,2.4768
2020-02-10,2.4628,2.4824,2.4570,2.4668
2020-02-09,2.4610,2.4610,2.4609,2.4609
2019-10-28,2.4303,2.4303,2.3524,2.4030
2019-10-27,2.4303,2.4303,2.4303,2.4303
