timestamp,open,high,low,close
2020-03-13,1.6173,1.6222,1.5926,1.6025
2020-03-12,1.6370,1.6469,1.5926,1.6173
2020-03-11,1.6343,1.6440,1.6196,1.6196
2020-03-10,1.6489,1.6489,1.6294,1.6343
2020-03-09,1.6409,1.6506,1.6263,1.6458
2020-03-06,1.6117,1.6409,1.6117,1.6263
2020-03-05,1.6020,1.6166,1.6020,1.6117
2020-03-04,1.6068,1.6117,1.5971,1.6020
2020-03-03,1.5971,1.6117,1.5874,1.6068
2020-03-02,1.5800,1.5995,1.5751,1.5995
2020-02-28,1.5702,1.5849,1.5654,1.5800
2020-02-27,1.5507,1.5702,1.5507,1.5702
2020-02-26,1.5568,1.5568,1.5470,1.5519
2020-02-21,1.5470,1.5616,1.5421,1.5616
2020-02-20,1.5519,1.5568,1.5421,1.5470
2020-02-19,1.5598,1.5696,1.5500,1.5549
2020-02-18,1.5696,1.5696,1.5598,1.5598
2020-02-17,1.5672,1.5770,1.5672,1.5672
2020-02-14,1.5623,1.5721,1.5574,1.5721
2020-02-13,1.5525,1.5672,1.5525,1.5623
2020-02-12,1.5687,1.5687,1.5540,1.5540
2020-02-11,1.5687,1.5736,1.5687,1.5687
2020-02-10,1.5772,1.5821,1.5723,1.5723
2020-02-07,1.5871,1.5871,1.5772,1.5772
2020-02-06,1.5920,1.5969,1.5821,1.5821
2020-02-05,1.6000,1.6049,1.5901,1.5901
2020-01-31,1.5951,1.6049,1.5901,1.6049
2020-01-30,1.5901,1.5951,1.5853,1.5951
2020-01-29,1.5920,1.5920,1.5871,1.5920
2020-01-28,1.5920,1.5970,1.5871,1.5920
2020-01-27,1.6024,1.6024,1.5877,1.5926
2020-01-24,1.6024,1.6073,1.5975,1.5975
2020-01-22,1.6063,1.6112,1.5965,1.6014
2020-01-21,1.6063,1.6112,1.6014,1.6063
2020-01-20,1.5890,1.5987,1.5841,1.5938
2020-01-17,1.6035,1.6035,1.5841,1.5890
2020-01-16,1.6132,1.6132,1.5987,1.5987
2020-01-15,1.5973,1.6021,1.5925,1.6021
2020-01-14,1.5925,1.6021,1.5925,1.5973
2020-01-13,1.5868,1.5916,1.5772,1.5868
2020-01-10,1.5916,1.5916,1.5772,1.5868
2020-01-09,1.5963,1.6011,1.5868,1.5916
2020-01-08,1.5992,1.5992,1.5944,1.5944
2020-01-07,1.6136,1.6136,1.5944,1.5992
2020-01-06,1.6039,1.6135,1.6039,1.6087
2019-12-17,1.5162,1.5208,1.5072,1.5117
2019-12-16,1.5268,1.5314,1.5223,1.5314
2019-12-13,1.5460,1.5506,1.5368,1.5368
2019-12-12,1.5563,1.5656,1.5563,1.5656
2019-12-11,1.5568,1.5661,1.5521,1.5661
2019-12-10,1.5534,1.5628,1.5534,1.5628
2019-12-09,1.5652,1.5652,1.5605,1.5605
2019-12-06,1.5770,1.5817,1.5675,1.5675
2019-12-05,1.5901,1.5997,1.5901,1.5949
2019-12-04,1.5973,1.6021,1.5924,1.5973
2019-12-03,1.6005,1.6053,1.6005,1.6053
2019-12-02,1.5881,1.6075,1.5881,1.6075
2019-11-29,1.5853,1.5950,1.5804,1.5901
2019-11-28,1.5794,1.5842,1.5745,1.5794
2019-11-27,1.5787,1.5787,1.5690,1.5738
2019-11-26,1.5556,1.5556,1.5460,1.5556
2019-11-25,1.5380,1.5427,1.5286,1.5333
2019-11-22,1.5263,1.5309,1.5216,1.5216
2019-11-21,1.5256,1.5256,1.5164,1.5164
2019-11-20,1.5198,1.5244,1.5152,1.5198
2019-11-19,1.4991,1.5129,1.4946,1.5083
2019-11-18,1.4980,1.4980,1.4934,1.4980
2019-11-15,1.4959,1.5005,1.4959,1.5005
2019-11-14,1.4971,1.5017,1.4971,1.5017
2019-11-13,1.4941,1.4941,1.4895,1.4941
2019-11-12,1.4967,1.4967,1.4876,1.4876
2019-11-08,1.5063,1.5063,1.4972,1.4972
2019-11-07,1.5255,1.5255,1.5163,1.5209
2019-11-05,1.6118,1.6166,1.5973,1.5973
2019-11-04,1.6536,1.6536,1.6389,1.6389
2019-10-28,1.6266,1.6315,1.6266,1.6315
2019-10-25,1.5859,1.5906,1.5811,1.5859
2019-10-24,1.5497,1.5497,1.5359,1.5405
2019-10-23,1.5140,1.5186,1.5095,1.5186
2019-10-22,1.5020,1.5064,1.4975,1.5020
2019-10-21,1.4947,1.4992,1.4947,1.4992
2019-10-18,1.4846,1.4980,1.4802,1.4980
2019-10-10,1.2652,1.2769,1.2652,1.2769
2019-10-09,1.2484,1.2522,1.2484,1.2484
2019-10-08,1.2388,1.2388,1.2312,1.2350
2019-10-07,1.2373,1.2373,1.2335,1.2335
2019-10-04,1.2373,1.2373,1.2335,1.2373
2019-10-03,1.2199,1.2311,1.2199,1.2274
2019-10-02,1.2124,1.2199,1.2087,1.2199
2019-10-01,1.2087,1.2124,1.2049,1.2124
2019-09-23,1.1988,1.1988,1.1878,1.1915
2019-09-20,1.2002,1.2039,1.1893,1.1930
2019-09-19,1.1966,1.2002,1.1930,1.2002
2019-09-18,1.2002,1.2002,1.1930,1.1966
2019-09-13,1.1946,1.2054,1.1946,1.2018
2019-09-12,1.1909,1.1982,1.1873,1.1946
2019-09-11,1.1982,1.1982,1.1837,1.1909
2019-09-10,1.2018,1.2018,1.1946,1.1982
2019-09-09,1.2018,1.2054,1.1982,1.2018
2019-09-06,1.2018,1.2054,1.1982,1.2018
