timestamp,open,high,low,close
2020-03-13,6.6072,6.6811,6.6072,6.6713
2020-03-12,6.6860,6.6860,6.6072,6.6072
2020-03-11,6.5761,6.6249,6.5713,6.5713
2020-03-10,6.5761,6.6298,6.5761,6.6298
2020-03-09,6.5734,6.5880,6.5393,6.5393
2020-03-06,6.5880,6.6172,6.5588,6.5734
2020-03-05,6.6172,6.6611,6.5831,6.5831
2020-03-04,6.6611,6.6757,6.6075,6.6172
2020-03-03,6.6757,6.7195,6.6319,6.6416
2020-03-02,6.7199,6.7638,6.6809,6.7394
2020-02-28,6.8028,6.8028,6.7150,6.7199
2020-02-27,6.8076,6.8125,6.7979,6.8028
2020-02-26,6.7833,6.8175,6.7833,6.8126
2020-02-21,6.8029,6.8077,6.7736,6.7833
2020-02-20,6.8126,6.8175,6.7785,6.8029
2020-02-19,6.8260,6.8407,6.8260,6.8260
2020-02-18,6.8504,6.8504,6.8260,6.8260
2020-02-17,6.8517,6.8664,6.8468,6.8615
2020-02-14,6.8615,6.8664,6.8370,6.8419
2020-02-13,6.8664,6.8713,6.8468,6.8615
2020-02-12,6.8731,6.8829,6.8682,6.8731
2020-02-11,6.8731,6.8829,6.8682,6.8731
2020-02-10,6.8690,6.8887,6.8690,6.8887
2020-02-07,6.8936,6.8985,6.8641,6.8690
2020-02-06,6.8985,6.9034,6.8887,6.8936
2020-02-05,6.8858,6.8956,6.8809,6.8907
2020-01-31,6.8514,6.8809,6.8514,6.8563
2020-01-30,6.8809,6.8809,6.8465,6.8514
2020-01-29,6.8939,6.8988,6.8792,6.8890
2020-01-28,6.8743,6.8988,6.8743,6.8939
2020-01-27,6.8864,6.8864,6.8717,6.8766
2020-01-24,6.8815,6.8963,6.8815,6.8864
2020-01-22,6.8548,6.8646,6.8499,6.8646
2020-01-21,6.8695,6.8695,6.8499,6.8548
2020-01-20,6.8113,6.8161,6.8064,6.8161
2020-01-17,6.8210,6.8258,6.8113,6.8113
2020-01-16,6.8452,6.8452,6.8210,6.8210
2020-01-15,6.7885,6.8029,6.7740,6.7981
2020-01-14,6.7981,6.7981,6.7789,6.7885
2020-01-13,6.7545,6.7785,6.7545,6.7737
2020-01-10,6.7257,6.7593,6.7257,6.7497
2020-01-09,6.7018,6.7353,6.6970,6.7305
2020-01-08,6.6601,6.7032,6.6410,6.6937
2020-01-07,6.6601,6.6745,6.6554,6.6601
2020-01-06,6.6496,6.6496,6.6162,6.6400
2019-12-17,6.3583,6.3673,6.3493,6.3493
2019-12-16,6.4118,6.4163,6.3936,6.4027
2019-12-13,6.4959,6.5005,6.4730,6.4913
2019-12-12,6.5644,6.5830,6.5551,6.5784
2019-12-11,6.6012,6.6059,6.5919,6.6059
2019-12-10,6.6078,6.6265,6.6031,6.6265
2019-12-09,6.6097,6.6427,6.6097,6.6379
2019-12-06,6.6440,6.6488,6.6251,6.6393
2019-12-05,6.6959,6.7246,6.6815,6.7198
2019-12-04,6.7018,6.7258,6.6970,6.7258
2019-12-03,6.7451,6.7548,6.7355,6.7355
2019-12-02,6.7651,6.7796,6.7602,6.7748
2019-11-29,6.7983,6.7983,6.7642,6.7740
2019-11-28,6.8180,6.8180,6.7792,6.7937
2019-11-27,6.7699,6.7941,6.7699,6.7941
2019-11-26,6.6519,6.6709,6.6519,6.6709
2019-11-25,6.5472,6.5660,6.5472,6.5566
2019-11-22,6.4820,6.4867,6.4727,6.4774
2019-11-21,6.4400,6.4446,6.4307,6.4400
2019-11-20,6.4064,6.4248,6.4017,6.4156
2019-11-19,6.3485,6.3805,6.3440,6.3577
2019-11-18,6.3710,6.3756,6.3436,6.3436
2019-11-15,6.3541,6.3861,6.3541,6.3816
2019-11-14,6.3411,6.3685,6.3365,6.3594
2019-11-13,6.3600,6.3737,6.3280,6.3280
2019-11-12,6.3748,6.3748,6.3520,6.3520
2019-11-08,6.4087,6.4087,6.3950,6.3950
2019-11-07,6.4890,6.4982,6.4798,6.4844
2019-11-05,6.7934,6.8079,6.7886,6.7934
2019-11-04,6.9274,6.9274,6.9030,6.9078
2019-10-28,6.8513,6.8659,6.8513,6.8610
2019-10-25,6.6654,6.6843,6.6606,6.6796
2019-10-24,6.4978,6.4978,6.4702,6.4748
2019-10-23,6.3581,6.3672,6.3401,6.3672
2019-10-22,6.3029,6.3074,6.2940,6.3074
2019-10-21,6.2734,6.3001,6.2734,6.2912
2019-10-18,6.2452,6.2541,6.2319,6.2497
2019-10-10,5.4529,5.4762,5.4529,5.4646
2019-10-09,5.3727,5.3957,5.3727,5.3804
2019-10-08,5.3340,5.3378,5.3151,5.3151
2019-10-07,5.3225,5.3225,5.3037,5.3112
2019-10-04,5.3075,5.3263,5.3075,5.3225
2019-10-03,5.2577,5.2764,5.2427,5.2651
2019-10-02,5.2614,5.2614,5.2502,5.2577
2019-10-01,5.2951,5.2951,5.2539,5.2614
2019-09-23,5.1388,5.1607,5.1388,5.1607
2019-09-20,5.0920,5.1320,5.0920,5.1138
2019-09-19,5.1101,5.1138,5.0920,5.0920
2019-09-18,5.0847,5.1101,5.0847,5.1101
2019-09-13,5.0967,5.1076,5.0859,5.0931
2019-09-12,5.0533,5.1040,5.0533,5.1004
2019-09-11,5.0316,5.0606,5.0316,5.0533
2019-09-10,5.0424,5.0424,5.0280,5.0316
2019-09-09,5.0497,5.0606,5.0424,5.0424
2019-09-06,5.0316,5.0533,5.0316,5.0497
