timestamp,open,high,low,close
2020-03-13,2.5123,2.5332,2.5123,2.5123
2020-03-12,2.5123,2.5158,2.5123,2.5123
2020-03-11,2.5123,2.5303,2.5123,2.5123
2020-03-10,2.5123,2.5299,2.5116,2.5123
2020-03-09,2.5123,2.5264,2.5123,2.5123
2020-03-08,2.5123,2.5176,2.5112,2.5112
2020-03-07,2.5123,2.5123,2.5123,2.5123
2020-03-06,2.5123,2.5299,2.5123,2.5123
2020-03-05,2.5123,2.5264,2.5119,2.5123
2020-03-04,2.5123,2.5299,2.5119,2.5123
2020-03-03,2.5123,2.5303,2.5116,2.5123
2020-03-02,2.5123,2.5264,2.5123,2.5123
2020-03-01,2.5123,2.5151,2.5123,2.5151
2020-02-28,2.5123,2.5328,2.5105,2.5151
2020-02-27,2.5123,2.5314,2.5116,2.5123
2020-02-26,2.5123,2.5293,2.5123,2.5123
2020-02-25,2.5123,2.5299,2.5123,2.5123
2020-02-24,2.5080,2.5286,2.5080,2.5123
2020-02-23,2.5123,2.5123,2.5123,2.5123
2020-02-21,2.5123,2.5310,2.5123,2.5123
2020-02-20,2.5123,2.5310,2.5123,2.5123
2020-02-19,2.5123,2.5264,2.5123,2.5123
2020-02-18,2.5123,2.5310,2.5123,2.5123
2020-02-17,2.5264,2.5264,2.5123,2.5123
2020-02-16,2.5123,2.5162,2.5123,2.5162
2020-02-15,2.5123,2.5123,2.5123,2.5123
2020-02-14,2.5123,2.5339,2.5112,2.5123
2020-02-13,2.5123,2.5289,2.5123,2.5264
2020-02-12,2.5123,2.5299,2.5123,2.5123
2020-02-11,2.5123,2.5335,2.5123,2.5123
2020-02-10,2.5123,2.5299,2.5123,2.5123
2020-02-09,2.5123,2.5123,2.5123,2.5123
2019-10-28,2.5151,2.5151,2.5073,2.5119
