timestamp,open,high,low,close
2020-02-13,1.0238,1.0244,1.0238,1.0242
2020-02-07,1.0140,1.0143,1.0137,1.0137
2020-02-06,1.0078,1.0084,1.0078,1.0084
2020-02-05,1.0079,1.0084,1.0079,1.0082
2020-02-04,1.0105,1.0107,1.0104,1.0107
2020-02-03,1.0157,1.0157,1.0153,1.0153
2020-01-31,1.0148,1.0148,1.0142,1.0142
2020-01-30,1.0182,1.0182,1.0171,1.0171
2020-01-29,1.0156,1.0157,1.0153,1.0153
2020-01-28,1.0182,1.0182,1.0179,1.0181
2020-01-27,1.0137,1.0148,1.0137,1.0148
2020-01-24,1.0080,1.0082,1.0079,1.0082
2020-01-23,1.0042,1.0063,1.0042,1.0063
2020-01-22,1.0002,1.0004,1.0000,1.0004
2020-01-21,0.9978,0.9979,0.9977,0.9979
2020-01-20,1.0007,1.0007,1.0003,1.0006
2020-01-17,0.9987,0.9989,0.9985,0.9989
2020-01-16,0.9957,0.9963,0.9954,0.9959
2020-01-15,0.9943,0.9945,0.9942,0.9944
2020-01-14,0.9962,0.9962,0.9959,0.9960
2020-01-13,0.9955,0.9955,0.9950,0.9950
2020-01-10,1.0037,1.0041,1.0033,1.0033
2020-01-09,1.0045,1.0047,1.0044,1.0046
2020-01-08,1.0100,1.0100,1.0091,1.0091
2020-01-07,1.0067,1.0071,1.0065,1.0071
2020-01-06,1.0061,1.0061,1.0058,1.0060
2019-12-31,0.9975,0.9980,0.9975,0.9978
2019-12-30,0.9964,0.9966,0.9958,0.9966
2019-12-27,0.9945,0.9946,0.9942,0.9943
2019-12-26,0.9968,0.9971,0.9968,0.9971
2019-12-24,1.0023,1.0023,1.0019,1.0021
2019-12-23,1.0043,1.0047,1.0043,1.0043
2019-12-20,1.0044,1.0046,1.0043,1.0044
2019-12-19,1.0028,1.0036,1.0028,1.0033
2019-12-18,1.0010,1.0014,1.0010,1.0014
2019-12-17,0.9989,0.9992,0.9986,0.9992
2019-12-16,1.0027,1.0027,1.0022,1.0025
2019-12-13,1.0068,1.0072,1.0067,1.0067
2019-12-12,1.0126,1.0126,1.0118,1.0118
2019-12-11,1.0160,1.0160,1.0158,1.0158
2019-12-10,1.0183,1.0183,1.0173,1.0173
2019-12-06,1.0176,1.0177,1.0166,1.0166
2019-12-05,1.0156,1.0156,1.0148,1.0148
2019-12-04,1.0179,1.0179,1.0166,1.0168
2019-12-02,1.0133,1.0135,1.0130,1.0132
2019-11-27,1.0188,1.0191,1.0188,1.0191
2019-11-25,1.0223,1.0223,1.0218,1.0218
2019-11-22,1.0196,1.0202,1.0196,1.0201
2019-11-21,1.0167,1.0178,1.0167,1.0178
2019-11-20,1.0209,1.0211,1.0207,1.0211
2019-11-19,1.0166,1.0173,1.0166,1.0173
2019-11-18,1.0166,1.0178,1.0166,1.0178
2019-11-15,1.0238,1.0242,1.0238,1.0238
2019-11-14,1.0292,1.0292,1.0286,1.0287
2019-11-13,1.0255,1.0259,1.0254,1.0258
2019-11-12,1.0218,1.0218,1.0213,1.0214
2019-11-11,1.0225,1.0225,1.0222,1.0224
2019-11-08,1.0193,1.0197,1.0193,1.0195
2019-11-07,1.0177,1.0178,1.0174,1.0178
2019-11-06,1.0175,1.0183,1.0175,1.0182
2019-11-05,1.0183,1.0190,1.0183,1.0185
2019-11-04,1.0174,1.0178,1.0171,1.0174
2019-10-31,1.0203,1.0203,1.0199,1.0199
2019-10-30,1.0178,1.0182,1.0178,1.0179
2019-10-29,1.0204,1.0204,1.0198,1.0199
2019-10-28,1.0215,1.0215,1.0204,1.0204
2019-10-25,1.0220,1.0225,1.0220,1.0223
2019-10-24,1.0224,1.0224,1.0217,1.0221
2019-10-23,1.0203,1.0205,1.0198,1.0200
2019-10-22,1.0211,1.0213,1.0209,1.0211
2019-10-21,1.0209,1.0209,1.0207,1.0209
2019-10-18,1.0242,1.0253,1.0242,1.0248
2019-10-17,1.0223,1.0228,1.0223,1.0223
2019-10-15,1.0327,1.0331,1.0327,1.0331
2019-10-14,1.0303,1.0308,1.0303,1.0305
2019-10-11,1.0292,1.0294,1.0286,1.0287
2019-10-10,1.0378,1.0378,1.0370,1.0370
2019-10-09,1.0406,1.0406,1.0396,1.0396
2019-10-08,1.0426,1.0426,1.0424,1.0425
2019-10-07,1.0416,1.0422,1.0414,1.0419
2019-10-03,1.0445,1.0447,1.0442,1.0442
2019-10-02,1.0384,1.0386,1.0380,1.0381
2019-10-01,1.0339,1.0343,1.0337,1.0343
2019-09-30,1.0347,1.0347,1.0344,1.0345
2019-09-27,1.0300,1.0304,1.0300,1.0302
2019-09-26,1.0337,1.0339,1.0333,1.0333
2019-09-25,1.0294,1.0305,1.0289,1.0305
2019-09-24,1.0257,1.0263,1.0257,1.0263
2019-09-23,1.0269,1.0272,1.0261,1.0272
2019-09-20,1.0186,1.0188,1.0185,1.0185
2019-09-19,1.0136,1.0140,1.0136,1.0137
2019-09-18,1.0125,1.0125,1.0118,1.0121
2019-09-17,1.0164,1.0164,1.0156,1.0156
2019-09-16,1.0200,1.0204,1.0199,1.0204
2019-09-13,1.0130,1.0151,1.0130,1.0151
2019-09-12,1.0181,1.0205,1.0174,1.0205
2019-09-11,1.0255,1.0257,1.0252,1.0252
2019-09-10,1.0264,1.0265,1.0261,1.0261
2019-09-09,1.0306,1.0306,1.0295,1.0296
2019-09-06,1.0331,1.0333,1.0329,1.0329
