timestamp,open,high,low,close
2020-03-06,1.0506,1.0517,1.0474,1.0495
2020-03-05,1.0580,1.0624,1.0580,1.0613
2020-03-04,1.0737,1.0748,1.0626,1.0648
2020-03-03,1.0743,1.0776,1.0623,1.0645
2020-03-02,1.0796,1.0807,1.0752,1.0763
2020-02-28,1.0959,1.0971,1.0926,1.0937
2020-02-27,1.0982,1.1015,1.0968,1.0979
2020-02-26,1.1081,1.1115,1.1016,1.1049
2020-02-25,1.1061,1.1073,1.1000,1.1011
2020-02-24,1.1047,1.1047,1.1023,1.1035
2020-02-21,1.1034,1.1057,1.1034,1.1045
2020-02-20,1.1121,1.1121,1.1087,1.1098
2020-02-19,1.1101,1.1146,1.1067,1.1083
2020-02-18,1.1086,1.1131,1.1075,1.1097
2020-02-17,1.1159,1.1159,1.1102,1.1125
2020-02-14,1.1123,1.1134,1.1106,1.1106
2020-02-13,1.1083,1.1139,1.1072,1.1098
2020-02-11,1.1011,1.1011,1.1007,1.1007
2020-02-10,1.0999,1.1065,1.0977,1.1020
2020-02-07,1.1014,1.1025,1.0963,1.0974
2020-02-06,1.0987,1.0997,1.0954,1.0975
2020-02-05,1.0975,1.0983,1.0953,1.0982
2020-02-04,1.0923,1.0948,1.0900,1.0922
2020-02-03,1.0924,1.0937,1.0902,1.0913
2020-01-31,1.0890,1.0946,1.0855,1.0877
2020-01-30,1.0947,1.0972,1.0888,1.0910
2020-01-29,1.0906,1.0968,1.0906,1.0963
2020-01-28,1.0925,1.0977,1.0919,1.0941
2020-01-27,1.0898,1.0928,1.0872,1.0906
2020-01-24,1.0889,1.0901,1.0855,1.0882
2020-01-23,1.0860,1.0878,1.0825,1.0847
2020-01-22,1.0838,1.0860,1.0824,1.0858
2020-01-21,1.0809,1.0842,1.0809,1.0831
2020-01-20,1.0870,1.0870,1.0814,1.0825
2020-01-17,1.0840,1.0865,1.0818,1.0854
2020-01-16,1.0747,1.0814,1.0733,1.0777
2020-01-15,1.0721,1.0756,1.0693,1.0709
2020-01-14,1.0735,1.0768,1.0692,1.0713
2020-01-13,1.0709,1.0770,1.0687,1.0692
2020-01-10,1.0770,1.0817,1.0711,1.0743
2020-01-09,1.0768,1.0827,1.0734,1.0756
2020-01-08,1.0782,1.0804,1.0741,1.0746
2020-01-07,1.0733,1.0782,1.0709,1.0744
2020-01-06,1.0723,1.0726,1.0690,1.0691
2020-01-03,1.0717,1.0738,1.0707,1.0729
2020-01-02,1.0607,1.0660,1.0574,1.0660
2019-12-31,1.0621,1.0657,1.0610,1.0641
2019-12-30,1.0687,1.0698,1.0624,1.0645
2019-12-27,1.0760,1.0782,1.0684,1.0709
2019-12-26,1.0822,1.0833,1.0779,1.0790
2019-12-24,1.0843,1.0843,1.0792,1.0814
2019-12-23,1.0856,1.0867,1.0799,1.0821
2019-12-20,1.0852,1.0863,1.0819,1.0839
2019-12-19,1.0796,1.0846,1.0761,1.0820
2019-12-18,1.0717,1.0832,1.0696,1.0788
2019-12-17,1.0717,1.0741,1.0648,1.0703
2019-12-16,1.0731,1.0764,1.0693,1.0726
2019-12-13,1.0720,1.0802,1.0709,1.0763
2019-12-12,1.0757,1.0759,1.0730,1.0749
2019-12-11,1.0796,1.0843,1.0774,1.0798
2019-12-10,1.0847,1.0849,1.0809,1.0820
2019-12-09,1.0833,1.0877,1.0811,1.0866
2019-12-06,1.0818,1.0850,1.0771,1.0828
2019-12-05,1.0774,1.0820,1.0744,1.0800
2019-12-04,1.0761,1.0820,1.0747,1.0787
2019-12-03,1.0709,1.0753,1.0709,1.0753
2019-12-02,1.0746,1.0760,1.0698,1.0718
2019-11-29,1.0780,1.0802,1.0758,1.0802
2019-11-27,1.0802,1.0835,1.0768,1.0801
2019-11-26,1.0832,1.0843,1.0768,1.0779
2019-11-25,1.0902,1.0914,1.0792,1.0803
2019-11-22,1.0866,1.0919,1.0810,1.0863
2019-11-21,1.0834,1.0903,1.0823,1.0870
2019-11-20,1.0833,1.0867,1.0806,1.0861
2019-11-19,1.0798,1.0814,1.0742,1.0813
2019-11-18,1.0820,1.0831,1.0772,1.0817
2019-11-15,1.0855,1.0866,1.0766,1.0811
2019-11-14,1.0888,1.0899,1.0831,1.0853
2019-11-13,1.0848,1.0889,1.0822,1.0866
2019-11-12,1.0847,1.0848,1.0821,1.0844
2019-11-11,1.0820,1.0831,1.0795,1.0829
2019-11-08,1.0777,1.0844,1.0758,1.0828
2019-11-07,1.0743,1.0786,1.0687,1.0764
2019-11-06,1.0693,1.0740,1.0660,1.0735
2019-11-05,1.0681,1.0723,1.0659,1.0702
2019-11-04,1.0600,1.0642,1.0599,1.0631
2019-10-31,1.0647,1.0651,1.0604,1.0604
2019-10-30,1.0670,1.0705,1.0609,1.0673
2019-10-29,1.0668,1.0701,1.0624,1.0646
2019-10-28,1.0686,1.0719,1.0646,1.0657
2019-10-25,1.0699,1.0709,1.0638,1.0673
2019-10-24,1.0659,1.0715,1.0638,1.0687
2019-10-23,1.0636,1.0670,1.0600,1.0600
2019-10-22,1.0624,1.0650,1.0582,1.0605
2019-10-21,1.0622,1.0626,1.0581,1.0608
2019-10-18,1.0648,1.0677,1.0607,1.0618
2019-10-17,1.0663,1.0681,1.0621,1.0659
2019-10-16,1.0722,1.0744,1.0711,1.0722
2019-10-15,1.0730,1.0756,1.0669,1.0680
2019-10-14,1.0707,1.0711,1.0684,1.0697
