timestamp,open,high,low,close
2020-03-13,4.7976,4.7976,4.7631,4.7729
2020-03-12,4.7927,4.7976,4.7877,4.7976
2020-03-11,4.7321,4.7467,4.7223,4.7418
2020-03-10,4.7223,4.7370,4.7175,4.7321
2020-03-09,4.7231,4.7329,4.6988,4.7134
2020-03-06,4.7280,4.7329,4.7134,4.7231
2020-03-05,4.7134,4.7329,4.7134,4.7280
2020-03-04,4.7377,4.7426,4.7036,4.7134
2020-03-03,4.7816,4.7962,4.7280,4.7377
2020-03-02,4.8034,4.8083,4.7839,4.7888
2020-02-28,4.8083,4.8131,4.7936,4.7985
2020-02-27,4.8034,4.8180,4.8034,4.8083
2020-02-26,4.8069,4.8215,4.8020,4.8167
2020-02-21,4.7971,4.8069,4.7971,4.8020
2020-02-20,4.8069,4.8069,4.7923,4.7971
2020-02-19,4.8163,4.8310,4.8017,4.8065
2020-02-18,4.8163,4.8359,4.8114,4.8212
2020-02-17,4.8535,4.8535,4.8290,4.8388
2020-02-14,4.8486,4.8535,4.8437,4.8437
2020-02-13,4.8486,4.8535,4.8437,4.8486
2020-02-12,4.8484,4.8631,4.8484,4.8533
2020-02-11,4.8484,4.8484,4.8484,4.8484
2020-02-10,4.8643,4.8791,4.8545,4.8594
2020-02-07,4.8692,4.8742,4.8594,4.8643
2020-02-06,4.8791,4.8791,4.8643,4.8692
2020-02-05,4.8735,4.8735,4.8637,4.8735
2020-01-31,4.8588,4.8686,4.8588,4.8686
2020-01-30,4.8539,4.8637,4.8490,4.8588
2020-01-29,4.8400,4.8596,4.8400,4.8596
2020-01-28,4.8400,4.8547,4.8400,4.8498
2020-01-27,4.8515,4.8613,4.8416,4.8515
2020-01-24,4.8515,4.8564,4.8416,4.8515
2020-01-22,4.8140,4.8238,4.8091,4.8238
2020-01-21,4.8091,4.8189,4.8091,4.8140
2020-01-20,4.7815,4.7815,4.7669,4.7718
2020-01-17,4.7766,4.7863,4.7669,4.7815
2020-01-16,4.7572,4.7815,4.7572,4.7766
2020-01-15,4.7245,4.7389,4.7197,4.7245
2020-01-14,4.7149,4.7293,4.7149,4.7197
2020-01-13,4.7075,4.7219,4.6979,4.6979
2020-01-10,4.6979,4.7171,4.6979,4.7075
2020-01-09,4.6979,4.7219,4.6884,4.6979
2020-01-08,4.7066,4.7162,4.6923,4.6923
2020-01-07,4.7114,4.7210,4.7018,4.7066
2020-01-06,4.7115,4.7115,4.6972,4.6972
2019-12-17,4.4224,4.4314,4.4043,4.4269
2019-12-16,4.4487,4.4623,4.4396,4.4533
2019-12-13,4.4912,4.5049,4.4866,4.4912
2019-12-12,4.5482,4.5482,4.5482,4.5482
2019-12-11,4.5863,4.5956,4.5769,4.5769
2019-12-10,4.6085,4.6085,4.5991,4.6039
2019-12-09,4.6154,4.6343,4.6060,4.6296
2019-12-06,4.6409,4.6456,4.6219,4.6361
2019-12-05,4.6747,4.6938,4.6699,4.6938
2019-12-04,4.6859,4.7100,4.6859,4.6956
2019-12-03,4.6902,4.7095,4.6902,4.7095
2019-12-02,4.7156,4.7205,4.7059,4.7108
2019-11-29,4.7121,4.7218,4.7024,4.7218
2019-11-28,4.7187,4.7236,4.7041,4.7090
2019-11-27,4.7069,4.7166,4.6924,4.7021
2019-11-26,4.6525,4.6573,4.6334,4.6382
2019-11-25,4.6094,4.6141,4.5812,4.5859
2019-11-22,4.5695,4.5835,4.5509,4.5602
2019-11-21,4.5399,4.5537,4.5352,4.5399
2019-11-20,4.5089,4.5227,4.4996,4.5227
2019-11-19,4.4700,4.4746,4.4472,4.4746
2019-11-18,4.4620,4.4666,4.4483,4.4666
2019-11-15,4.4648,4.4694,4.4511,4.4694
2019-11-14,4.4639,4.4685,4.4593,4.4685
2019-11-13,4.4456,4.4593,4.4365,4.4547
2019-11-12,4.4400,4.4400,4.4309,4.4400
2019-11-08,4.4185,4.4413,4.4139,4.4368
2019-11-07,4.4612,4.4704,4.4381,4.4612
2019-11-05,4.6380,4.6476,4.6284,4.6428
2019-11-04,4.7063,4.7210,4.7063,4.7161
2019-10-28,4.6711,4.6857,4.6614,4.6663
2019-10-25,4.5682,4.5682,4.5493,4.5540
2019-10-24,4.4192,4.4422,4.4192,4.4376
2019-10-23,4.3304,4.3439,4.3304,4.3304
2019-10-22,4.2913,4.3003,4.2869,4.2958
2019-10-21,4.2834,4.2834,4.2745,4.2834
2019-10-18,4.2628,4.2717,4.2628,4.2672
2019-10-10,3.7258,3.7258,3.7220,3.7258
2019-10-09,3.6725,3.6763,3.6725,3.6763
2019-10-08,3.6330,3.6368,3.6292,3.6330
2019-10-07,3.6137,3.6213,3.6137,3.6175
2019-10-04,3.6175,3.6213,3.6137,3.6137
2019-10-03,3.5849,3.5924,3.5849,3.5887
2019-10-02,3.5887,3.5887,3.5849,3.5849
2019-10-01,3.5887,3.5887,3.5849,3.5887
2019-09-23,3.5124,3.5124,3.5014,3.5014
2019-09-20,3.4844,3.4989,3.4844,3.4880
2019-09-19,3.4844,3.4916,3.4844,3.4844
2019-09-18,3.4880,3.4880,3.4807,3.4844
2019-09-13,3.4750,3.4750,3.4678,3.4750
2019-09-12,3.4750,3.4750,3.4678,3.4750
2019-09-11,3.4787,3.4787,3.4678,3.4750
2019-09-10,3.4750,3.4787,3.4678,3.4787
2019-09-09,3.4678,3.4787,3.4678,3.4750
2019-09-06,3.4714,3.4750,3.4642,3.4678
