timestamp,open,high,low,close
2020-03-13,1.1063,1.1063,1.0965,1.0965
2020-03-11,1.1146,1.1146,1.1002,1.1098
2020-03-10,1.1136,1.1136,1.1088,1.1136
2020-03-09,1.0992,1.1087,1.0992,1.1087
2020-03-06,1.0880,1.0976,1.0880,1.0976
2020-03-05,1.0780,1.0876,1.0780,1.0876
2020-03-04,1.0780,1.0780,1.0780,1.0780
2020-02-28,1.0625,1.0720,1.0625,1.0625
2020-02-27,1.0527,1.0622,1.0527,1.0622
2020-02-26,1.0476,1.0524,1.0476,1.0524
2020-02-25,1.0475,1.0571,1.0475,1.0571
2020-02-24,1.0477,1.0477,1.0477,1.0477
2020-02-21,1.0476,1.0523,1.0476,1.0476
2020-02-20,1.0476,1.0476,1.0476,1.0476
2020-02-19,1.0482,1.0482,1.0482,1.0482
2020-02-18,1.0537,1.0537,1.0489,1.0489
2020-02-17,1.0539,1.0539,1.0539,1.0539
2020-02-14,1.0539,1.0539,1.0539,1.0539
2020-02-13,1.0588,1.0588,1.0540,1.0540
2020-02-12,1.0592,1.0592,1.0592,1.0592
2020-02-11,1.0587,1.0587,1.0587,1.0587
2020-02-10,1.0633,1.0633,1.0585,1.0585
