timestamp,open,high,low,close
2020-03-13,5.7665,5.8083,5.7535,5.7535
2020-03-12,5.7816,5.7911,5.7610,5.7647
2020-03-11,5.7930,5.8412,5.7816,5.7854
2020-03-10,5.8024,5.8518,5.7911,5.8005
2020-03-09,5.8081,5.8619,5.7967,5.8291
2020-03-08,5.8099,5.8099,5.8062,5.8062
2020-03-06,5.7930,5.8595,5.7930,5.8062
2020-03-05,5.7930,5.8454,5.7930,5.7985
2020-03-04,5.7930,5.8489,5.7891,5.7948
2020-03-03,5.7891,5.8417,5.7854,5.7948
2020-03-02,5.7930,5.8359,5.7779,5.7891
2020-03-01,5.7985,5.7985,5.7985,5.7985
2020-02-28,5.7930,5.8507,5.7911,5.8099
2020-02-27,5.7891,5.8417,5.7854,5.7930
2020-02-26,5.7930,5.8350,5.7834,5.7891
2020-02-25,5.7930,5.8469,5.7834,5.8062
2020-02-24,5.7919,5.8320,5.7797,5.7873
2020-02-23,5.7834,5.7834,5.7834,5.7834
2020-02-21,5.7816,5.8384,5.7816,5.7834
2020-02-20,5.7967,5.8374,5.7779,5.7816
2020-02-19,5.8062,5.8420,5.7873,5.7967
2020-02-18,5.8081,5.8597,5.8005,5.8062
2020-02-17,5.8465,5.8465,5.8062,5.8119
2020-02-16,5.8176,5.8176,5.8176,5.8176
2020-02-15,5.8176,5.8176,5.8176,5.8176
2020-02-14,5.8176,5.8701,5.8099,5.8176
2020-02-13,5.8138,5.8644,5.8119,5.8619
2020-02-12,5.8195,5.8701,5.8138,5.8195
2020-02-11,5.8291,5.8738,5.8138,5.8195
2020-02-10,5.8291,5.8787,5.8158,5.8291
2020-02-09,5.8291,5.8291,5.8291,5.8291
2020-02-08,5.8291,5.8291,5.8291,5.8291
2020-02-07,5.8291,5.8826,5.8233,5.8291
2020-02-06,5.8252,5.8835,5.8233,5.8291
2020-02-05,5.8560,5.8846,5.8233,5.8436
2020-02-04,5.8291,5.8798,5.8215,5.8469
2020-02-03,5.8368,5.8696,5.8291,5.8291
2020-02-02,5.8368,5.8368,5.8368,5.8368
2020-01-31,5.8676,5.8923,5.8348,5.8512
2020-01-30,5.8368,5.8912,5.8309,5.8348
2020-01-29,5.8455,5.8875,5.8329,5.8792
2020-01-28,5.8368,5.8943,5.8329,5.8861
2020-01-27,5.8368,5.8850,5.8329,5.8388
2020-01-26,5.8368,5.8368,5.8368,5.8368
2020-01-24,5.8348,5.8923,5.8348,5.8923
2020-01-23,5.8388,5.8943,5.8329,5.8943
2020-01-22,5.8405,5.8928,5.8388,5.8388
2020-01-21,5.8348,5.8861,5.8329,5.8405
2020-01-20,5.8348,5.8932,5.8329,5.8464
2020-01-17,5.8464,5.8792,5.8405,5.8445
2020-01-16,5.8425,5.8997,5.8405,5.8464
2020-01-15,5.8425,5.9000,5.8425,5.8589
2020-01-14,5.8368,5.8991,5.8368,5.8580
2020-01-13,5.8388,5.8997,5.8368,5.8445
2020-01-12,5.8425,5.8425,5.8425,5.8425
2020-01-11,5.8425,5.8425,5.8425,5.8425
2020-01-10,5.8388,5.8835,5.8309,5.8425
2020-01-09,5.8464,5.8997,5.8348,5.8991
2020-01-08,5.8484,5.8943,5.8425,5.8464
2020-01-07,5.8484,5.9068,5.8445,5.8484
2020-01-06,5.8521,5.9059,5.8445,5.8484
2020-01-05,5.8521,5.8521,5.8521,5.8521
2020-01-03,5.8484,5.9048,5.8464,5.8521
2020-01-02,5.8501,5.9016,5.8484,5.8484
2020-01-01,5.8484,5.8501,5.8484,5.8501
2019-12-31,5.8484,5.8948,5.8484,5.8484
2019-12-30,5.8464,5.9059,5.8348,5.8501
2019-12-27,5.8425,5.8898,5.8348,5.8464
2019-12-26,5.8758,5.8971,5.8348,5.8425
2019-12-25,5.8445,5.8445,5.8348,5.8445
2019-12-24,5.8368,5.8918,5.8368,5.8445
2019-12-23,5.8348,5.8971,5.8329,5.8560
2019-12-22,5.8405,5.8405,5.8405,5.8405
2019-12-21,5.8388,5.8388,5.8388,5.8388
2019-12-20,5.8368,5.8952,5.8348,5.8541
2019-12-19,5.8368,5.8946,5.8368,5.8405
2019-12-18,5.8388,5.8895,5.8388,5.8425
2019-12-17,5.8445,5.8980,5.8388,5.8445
2019-12-16,5.8484,5.8995,5.8388,5.8445
2019-12-13,5.8445,5.9020,5.8405,5.8484
2019-12-12,5.8405,5.8975,5.8388,5.8445
2019-12-11,5.8329,5.8950,5.8329,5.8733
2019-12-10,5.8368,5.8861,5.8368,5.8405
2019-12-09,5.8521,5.8944,5.8348,5.8533
2019-12-08,5.8521,5.8521,5.8521,5.8521
2019-12-07,5.8425,5.8425,5.8425,5.8425
2019-12-06,5.8368,5.8971,5.8368,5.8425
2019-12-05,5.8889,5.8889,5.8388,5.8716
2019-12-04,5.8348,5.8971,5.8348,5.8971
2019-12-03,5.8291,5.8861,5.8291,5.8368
2019-12-02,5.8291,5.8971,5.8252,5.8368
2019-12-01,5.8309,5.8309,5.8309,5.8309
2019-11-29,5.8272,5.8825,5.8272,5.8329
2019-11-28,5.8309,5.8656,5.8309,5.8329
2019-11-27,5.8291,5.8800,5.8291,5.8329
2019-11-26,5.8309,5.8884,5.8291,5.8348
2019-11-25,5.8348,5.8894,5.8309,5.8348
2019-11-22,5.8348,5.8921,5.8348,5.8388
2019-11-21,5.8716,5.8875,5.8368,5.8388
2019-11-20,5.8676,5.8880,5.8676,5.8733
