timestamp,open,high,low,close
2020-03-07,1.0781,1.0781,1.0781,1.0781
2020-03-06,1.0832,1.0849,1.0718,1.0780
2020-03-05,1.0927,1.0935,1.0824,1.0829
2020-03-04,1.0889,1.0954,1.0883,1.0928
2020-03-03,1.0919,1.0960,1.0858,1.0888
2020-03-02,1.1002,1.1022,1.0880,1.0923
2020-03-01,1.1046,1.1046,1.1011,1.1020
2020-02-29,1.1031,1.1031,1.1031,1.1031
2020-02-28,1.1059,1.1105,1.1015,1.1031
2020-02-27,1.1181,1.1184,1.1057,1.1059
2020-02-26,1.1184,1.1203,1.1162,1.1180
2020-02-25,1.1212,1.1234,1.1178,1.1181
2020-02-24,1.1231,1.1258,1.1193,1.1210
2020-02-23,1.1216,1.1242,1.1216,1.1234
2020-02-22,1.1217,1.1217,1.1217,1.1217
2020-02-21,1.1281,1.1281,1.1203,1.1217
2020-02-20,1.1258,1.1285,1.1246,1.1282
2020-02-19,1.1274,1.1281,1.1255,1.1259
2020-02-18,1.1229,1.1278,1.1227,1.1273
2020-02-17,1.1227,1.1235,1.1215,1.1228
2020-02-16,1.1243,1.1243,1.1221,1.1228
2020-02-15,1.1235,1.1235,1.1234,1.1234
2020-02-14,1.1225,1.1235,1.1207,1.1235
2020-02-13,1.1192,1.1228,1.1175,1.1225
2020-02-12,1.1145,1.1196,1.1141,1.1190
2020-02-11,1.1151,1.1163,1.1139,1.1143
2020-02-10,1.1119,1.1153,1.1104,1.1152
2020-02-09,1.1111,1.1119,1.1111,1.1118
2020-02-07,1.1082,1.1118,1.1077,1.1116
2020-02-06,1.1062,1.1090,1.1053,1.1081
2020-02-05,1.1016,1.1066,1.1015,1.1061
2020-02-04,1.0999,1.1028,1.0998,1.1018
2020-02-03,1.0974,1.1017,1.0974,1.1001
2020-01-31,1.1028,1.1043,1.0968,1.0970
2020-01-30,1.1051,1.1053,1.1024,1.1027
2020-01-29,1.1040,1.1069,1.1037,1.1052
2020-01-28,1.1041,1.1061,1.1037,1.1037
2020-01-27,1.1034,1.1050,1.1024,1.1041
2020-01-24,1.1006,1.1039,1.1005,1.1036
2020-01-23,1.0967,1.1024,1.0965,1.1007
2020-01-22,1.0978,1.0989,1.0966,1.0968
2020-01-21,1.0968,1.0979,1.0945,1.0979
2020-01-20,1.0967,1.0981,1.0960,1.0965
2020-01-17,1.0925,1.0972,1.0920,1.0971
2020-01-16,1.0911,1.0931,1.0894,1.0925
2020-01-15,1.0935,1.0940,1.0902,1.0908
2020-01-14,1.0926,1.0955,1.0918,1.0935
2020-01-13,1.0945,1.0946,1.0918,1.0923
2020-01-10,1.0955,1.0974,1.0934,1.0939
2020-01-09,1.0954,1.0965,1.0943,1.0956
2020-01-08,1.0912,1.0956,1.0895,1.0951
2020-01-07,1.0865,1.0928,1.0865,1.0914
2020-01-06,1.0899,1.0905,1.0860,1.0867
2020-01-03,1.0890,1.0933,1.0885,1.0903
2020-01-02,1.0845,1.0899,1.0840,1.0891
2020-01-01,1.0852,1.0852,1.0846,1.0849
2019-12-31,1.0862,1.0862,1.0828,1.0851
2019-12-30,1.0881,1.0881,1.0846,1.0864
2019-12-27,1.0962,1.0963,1.0877,1.0886
2019-12-26,1.0971,1.0978,1.0956,1.0965
2019-12-25,1.0973,1.0984,1.0958,1.0970
2019-12-24,1.0970,1.0991,1.0968,1.0972
2019-12-23,1.0984,1.0990,1.0967,1.0972
2019-12-20,1.0940,1.0994,1.0938,1.0982
2019-12-19,1.0946,1.0953,1.0923,1.0937
2019-12-18,1.0911,1.0950,1.0908,1.0947
2019-12-17,1.0924,1.0929,1.0896,1.0911
2019-12-16,1.0938,1.0938,1.0907,1.0918
2019-12-13,1.0880,1.0948,1.0873,1.0939
2019-12-12,1.0929,1.0957,1.0871,1.0871
2019-12-11,1.0969,1.0987,1.0920,1.0930
2019-12-10,1.0997,1.0998,1.0965,1.0972
2019-12-09,1.1006,1.1008,1.0986,1.0997
2019-12-06,1.0956,1.1013,1.0953,1.1005
2019-12-05,1.0982,1.0982,1.0954,1.0957
2019-12-04,1.0979,1.0992,1.0955,1.0982
2019-12-03,1.0985,1.0994,1.0971,1.0979
2019-12-02,1.1045,1.1058,1.0973,1.0981
2019-11-29,1.1052,1.1079,1.1038,1.1044
2019-11-28,1.1056,1.1060,1.1044,1.1051
2019-11-27,1.1039,1.1067,1.1038,1.1056
2019-11-26,1.1048,1.1054,1.1035,1.1039
2019-11-25,1.1041,1.1055,1.1029,1.1049
2019-11-23,1.1037,1.1037,1.1037,1.1037
2019-11-22,1.0999,1.1042,1.0988,1.1039
2019-11-21,1.0984,1.1006,1.0965,1.1002
2019-11-20,1.0983,1.1007,1.0981,1.0986
2019-11-19,1.0989,1.0997,1.0979,1.0983
2019-11-18,1.1006,1.1006,1.0973,1.0988
2019-11-15,1.1039,1.1046,1.1006,1.1010
2019-11-14,1.1052,1.1070,1.1035,1.1039
2019-11-13,1.1050,1.1065,1.1043,1.1054
2019-11-12,1.1029,1.1056,1.1024,1.1051
2019-11-11,1.1037,1.1044,1.1019,1.1029
2019-11-08,1.1011,1.1044,1.1008,1.1042
2019-11-07,1.0992,1.1021,1.0972,1.1011
2019-11-06,1.0987,1.0996,1.0971,1.0991
2019-11-05,1.0936,1.0996,1.0924,1.0987
2019-11-04,1.0896,1.0936,1.0889,1.0935
2019-11-01,1.0911,1.0928,1.0891,1.0897
