timestamp,open,high,low,close
2020-03-13,1.2184,1.2184,1.1989,1.1989
2020-03-11,1.2208,1.2208,1.2160,1.2160
2020-03-10,1.2486,1.2486,1.2148,1.2196
2020-03-09,1.2527,1.2527,1.2431,1.2431
2020-03-06,1.2558,1.2558,1.2462,1.2510
2020-03-05,1.2600,1.2600,1.2552,1.2552
2020-03-04,1.2600,1.2649,1.2600,1.2600
2020-02-28,1.2587,1.2587,1.2491,1.2491
2020-02-27,1.2632,1.2632,1.2584,1.2584
2020-02-26,1.2629,1.2677,1.2629,1.2629
2020-02-25,1.2675,1.2675,1.2628,1.2628
2020-02-24,1.2678,1.2726,1.2678,1.2678
2020-02-21,1.2724,1.2724,1.2676,1.2676
2020-02-20,1.2676,1.2724,1.2676,1.2724
2020-02-19,1.2635,1.2731,1.2635,1.2683
2020-02-18,1.2692,1.2692,1.2644,1.2644
2020-02-17,1.2694,1.2694,1.2694,1.2694
2020-02-14,1.2694,1.2742,1.2647,1.2694
2020-02-13,1.2696,1.2744,1.2696,1.2696
2020-02-12,1.2701,1.2749,1.2701,1.2701
2020-02-11,1.2647,1.2694,1.2647,1.2694
2020-02-10,1.2645,1.2645,1.2597,1.2645
