timestamp,open,high,low,close
2020-03-13,2.6512,2.6512,2.6317,2.6366
2020-03-11,2.6394,2.6443,2.6394,2.6394
2020-03-09,2.6399,2.6399,2.6399,2.6399
2020-03-06,2.6363,2.6363,2.6363,2.6363
2020-03-05,2.6303,2.6351,2.6303,2.6351
2020-03-04,2.6351,2.6351,2.6303,2.6303
2020-02-28,2.6322,2.6322,2.6275,2.6275
2020-02-27,2.6316,2.6316,2.6316,2.6316
2020-02-26,2.6311,2.6359,2.6311,2.6311
2020-02-25,2.6355,2.6355,2.6308,2.6308
2020-02-24,2.6360,2.6360,2.6265,2.6313
2020-02-20,2.6310,2.6358,2.6262,2.6358
2020-02-19,2.6372,2.6372,2.6372,2.6372
2020-02-18,2.6342,2.6389,2.6342,2.6342
2020-02-17,2.6395,2.6395,2.6347,2.6347
2020-02-14,2.6347,2.6395,2.6347,2.6395
2020-02-13,2.6351,2.6398,2.6351,2.6351
2020-02-12,2.6360,2.6408,2.6360,2.6360
2020-02-11,2.6347,2.6395,2.6347,2.6347
2020-02-10,2.6343,2.6391,2.6248,2.6343
2020-02-07,2.6288,2.6336,2.6288,2.6288
2020-02-06,2.6309,2.6357,2.6309,2.6309
2020-02-05,2.6302,2.6350,2.6302,2.6350
2020-02-04,2.6307,2.6354,2.6307,2.6307
2020-02-03,2.6309,2.6357,2.6309,2.6309
2020-01-31,2.6296,2.6343,2.6296,2.6296
2020-01-30,2.6300,2.6300,2.6253,2.6300
2020-01-29,2.6294,2.6294,2.6294,2.6294
2020-01-24,2.6310,2.6358,2.6310,2.6310
2020-01-23,2.6350,2.6350,2.6303,2.6303
2020-01-22,2.6312,2.6360,2.6312,2.6312
2020-01-21,2.6383,2.6383,2.6336,2.6336
2020-01-20,2.6384,2.6384,2.6384,2.6384
2020-01-17,2.6399,2.6447,2.6399,2.6399
2020-01-16,2.6407,2.6407,2.6359,2.6407
2020-01-15,2.6400,2.6400,2.6352,2.6400
2020-01-14,2.6339,2.6387,2.6339,2.6387
2020-01-13,2.6385,2.6433,2.6337,2.6337
2020-01-10,2.6380,2.6380,2.6380,2.6380
2020-01-09,2.6352,2.6399,2.6352,2.6399
2020-01-08,2.6407,2.6407,2.6359,2.6359
2019-12-30,2.6356,2.6356,2.6308,2.6356
2019-12-27,2.6393,2.6393,2.6297,2.6345
2019-12-26,2.6380,2.6380,2.6332,2.6380
2019-12-24,2.6421,2.6421,2.6374,2.6374
2019-12-23,2.6376,2.6376,2.6280,2.6328
2019-12-20,2.6377,2.6377,2.6282,2.6377
2019-12-19,2.6352,2.6352,2.6304,2.6304
2019-12-18,2.6333,2.6333,2.6285,2.6333
2019-12-17,2.6279,2.6327,2.6279,2.6327
2019-12-16,2.6326,2.6326,2.6279,2.6279
2019-12-13,2.6379,2.6379,2.6283,2.6331
2019-12-12,2.6390,2.6390,2.6342,2.6342
2019-12-11,2.6359,2.6359,2.6311,2.6359
2019-12-10,2.6311,2.6359,2.6311,2.6359
2019-12-09,2.6309,2.6356,2.6309,2.6309
2019-12-06,2.6312,2.6360,2.6264,2.6312
2019-12-05,2.6307,2.6355,2.6307,2.6307
2019-12-04,2.6253,2.6349,2.6253,2.6301
2019-12-03,2.6311,2.6311,2.6264,2.6264
2019-12-02,2.6361,2.6408,2.6313,2.6313
2019-11-29,2.6399,2.6399,2.6351,2.6351
2019-11-28,2.6317,2.6412,2.6317,2.6364
2019-11-27,2.6210,2.6305,2.6210,2.6305
2019-11-26,2.6293,2.6293,2.6198,2.6198
2019-11-25,2.6376,2.6423,2.6281,2.6281
2019-11-22,2.6538,2.6538,2.6443,2.6443
2019-11-21,2.6524,2.6524,2.6476,2.6476
2019-11-20,2.6587,2.6587,2.6540,2.6540
2019-11-19,2.6540,2.6587,2.6492,2.6540
2019-11-18,2.6463,2.6558,2.6463,2.6511
2019-11-15,2.6477,2.6477,2.6430,2.6430
2019-11-14,2.6426,2.6474,2.6426,2.6426
2019-11-13,2.6376,2.6519,2.6376,2.6423
2019-11-12,2.6372,2.6372,2.6372,2.6372
2019-11-11,2.6315,2.6363,2.6315,2.6363
2019-11-08,2.6312,2.6360,2.6312,2.6360
2019-11-07,2.6322,2.6369,2.6274,2.6322
2019-11-06,2.6246,2.6342,2.6246,2.6294
2019-11-05,2.6374,2.6422,2.6327,2.6327
2019-11-04,2.6233,2.6328,2.6233,2.6328
2019-11-01,2.6225,2.6225,2.6178,2.6225
2019-10-31,2.6158,2.6206,2.6158,2.6206
2019-10-30,2.6164,2.6164,2.6164,2.6164
2019-10-29,2.6161,2.6161,2.6161,2.6161
2019-10-25,2.6193,2.6193,2.6193,2.6193
2019-10-24,2.6145,2.6240,2.6097,2.6192
2019-10-23,2.6152,2.6199,2.6057,2.6199
2019-10-22,2.6150,2.6150,2.6103,2.6103
2019-10-18,2.6124,2.6124,2.6076,2.6124
2019-10-17,2.6128,2.6128,2.6033,2.6128
2019-10-16,2.6147,2.6147,2.6147,2.6147
2019-10-15,2.6279,2.6279,2.6136,2.6184
2019-10-14,2.6272,2.6319,2.6177,2.6224
2019-10-11,2.6336,2.6336,2.6336,2.6336
2019-10-10,2.6334,2.6334,2.6286,2.6334
2019-10-09,2.6333,2.6380,2.6333,2.6333
2019-10-07,2.6181,2.6276,2.6181,2.6276
2019-10-04,2.6191,2.6191,2.6191,2.6191
2019-10-03,2.6166,2.6166,2.6118,2.6166
