timestamp,open,high,low,close
2020-03-13,4.3607,4.3394,4.3609,4.3614
2020-03-12,4.3829,4.3478,4.3825,4.3607
2020-03-11,4.4025,4.3706,4.3836,4.3829
2020-03-10,4.3843,4.4031,4.4032,4.4025
2020-03-09,4.4019,4.3926,4.4149,4.4219
2020-03-08,4.4019,4.4019,4.4019,4.4019
2020-03-07,4.4019,4.4019,4.4019,4.4019
2020-03-06,4.4118,4.3850,4.3950,4.4019
2020-03-05,4.4075,4.3472,4.3921,4.4118
2020-03-04,4.4182,4.4128,4.3942,4.4075
2020-03-03,4.3366,4.3670,4.3615,4.4182
2020-03-02,4.3323,4.3195,4.3303,4.3366
2020-03-01,4.3323,4.3323,4.3323,4.3323
2020-02-28,4.3286,4.3627,4.3243,4.3323
2020-02-27,4.3170,4.3374,4.3030,4.3286
2020-02-26,4.3100,4.3213,4.3039,4.3170
2020-02-25,4.3108,4.3108,4.3215,4.3100
2020-02-24,4.3715,4.3326,4.3636,4.3108
2020-02-23,4.3680,4.3680,4.3680,4.3680
2020-02-21,4.3680,4.3534,4.3715,4.3680
2020-02-20,4.3729,4.3395,4.3655,4.3680
2020-02-19,4.4010,4.3633,4.3844,4.3655
2020-02-18,4.3742,4.3779,4.3787,4.3844
2020-02-17,4.3312,4.3595,4.3779,4.3633
2020-02-16,4.3942,4.3942,4.3942,4.3942
2020-02-15,4.3942,4.3942,4.3942,4.3942
2020-02-14,4.3826,4.3818,4.3838,4.3942
2020-02-13,4.4003,4.3640,4.3826,4.3826
2020-02-12,4.3975,4.3833,4.3970,4.3871
2020-02-11,4.4120,4.3870,4.4091,4.3987
2020-02-10,4.4185,4.4052,4.4212,4.4126
2020-02-09,4.4185,4.4185,4.4185,4.4185
2020-02-08,4.4185,4.4185,4.4185,4.4185
2020-02-07,4.4185,4.3763,4.3868,4.4185
2020-02-06,4.4701,4.4108,4.4573,4.4185
2020-02-05,4.4361,4.4267,4.4613,4.4701
2020-02-04,4.4525,4.4496,4.4356,4.4589
2020-02-03,4.4243,4.3883,4.4231,4.4525
2020-02-02,4.4243,4.4243,4.4243,4.4243
2020-01-31,4.4382,4.4382,4.4173,4.4243
2020-01-30,4.3983,4.3928,4.3887,4.3845
2020-01-29,4.3986,4.3763,4.3932,4.3983
2020-01-28,4.3840,4.3464,4.3854,4.3986
2020-01-27,4.3689,4.3643,4.3811,4.3840
2020-01-26,4.3769,4.3689,4.3769,4.3689
2020-01-24,4.3695,4.3671,4.3723,4.3689
2020-01-23,4.4043,4.3595,4.3968,4.3695
2020-01-22,4.4181,4.3734,4.3945,4.3986
2020-01-21,4.4066,4.3834,4.3974,4.3974
2020-01-20,4.4060,4.3789,4.3986,4.3986
2020-01-19,4.4014,4.4014,4.4014,4.4014
2020-01-18,4.4014,4.4014,4.4014,4.4014
2020-01-17,4.4467,4.3937,4.4467,4.4014
2020-01-16,4.4521,4.4257,4.4388,4.4467
2020-01-15,4.4701,4.4479,4.5009,4.4367
2020-01-14,4.4803,4.4498,4.4733,4.4625
2020-01-13,4.4576,4.4662,4.4576,4.4803
2020-01-12,4.4901,4.4901,4.4576,4.4576
2020-01-10,4.4803,4.4693,4.4653,4.4901
2020-01-09,4.5361,4.4901,4.5156,4.4803
2020-01-08,4.5156,4.5420,4.5156,4.5156
2020-01-07,4.5214,4.5186,4.5156,4.5156
2020-01-06,4.4934,4.4934,4.4956,4.5214
2020-01-05,4.4934,4.4934,4.4934,4.4934
2020-01-04,4.4934,4.4934,4.4934,4.4934
2020-01-03,4.5273,4.4934,4.4956,4.4934
2020-01-02,4.5053,4.5132,4.4956,4.4956
2020-01-01,4.5053,4.5263,4.5053,4.5053
2019-12-31,4.5170,4.5550,4.5053,4.5053
2019-12-30,4.5679,4.5595,4.5190,4.5170
2019-12-29,4.5679,4.5679,4.5679,4.5679
2019-12-27,4.5610,4.5595,4.5376,4.5679
2019-12-26,4.5346,4.5497,4.5575,4.5610
2019-12-25,4.5329,4.5376,4.5329,4.5329
2019-12-24,4.5595,4.5451,4.5461,4.5329
2019-12-23,4.5254,4.5486,4.5332,4.5595
2019-12-22,4.5674,4.5674,4.5674,4.5674
2019-12-21,4.5674,4.5674,4.5674,4.5674
2019-12-20,4.5752,4.5486,4.5332,4.5674
2019-12-19,4.5904,4.5776,4.5536,4.5565
2019-12-18,4.5825,4.5831,4.5457,4.5536
2019-12-17,4.5770,4.5837,4.5786,4.5825
2019-12-16,4.5910,4.5643,4.5630,4.5770
2019-12-15,4.5910,4.5910,4.5910,4.5910
2019-12-14,4.5910,4.5910,4.5910,4.5910
2019-12-13,4.5583,4.5643,4.5583,4.5910
2019-12-12,4.5445,4.5176,4.5583,4.5583
2019-12-11,4.5561,4.5506,4.5578,4.5445
2019-12-10,4.5607,4.4957,4.5491,4.5445
2019-12-09,4.5268,4.5003,4.5346,4.5607
2019-12-08,4.5593,4.5663,4.5593,4.5663
2019-12-07,4.5268,4.5663,4.5268,4.5663
2019-12-06,4.5486,4.5329,4.5268,4.5268
2019-12-05,4.5218,4.5218,4.5081,4.5081
2019-12-04,4.5094,4.5281,4.5127,4.5140
2019-12-03,4.5169,4.5207,4.4881,4.5094
2019-12-02,4.4806,4.5123,4.5064,4.5169
2019-12-01,4.4806,4.5202,4.4806,4.5202
2019-11-29,4.4986,4.5155,4.4986,4.4806
2019-11-28,4.5130,4.5035,4.4986,4.4986
