timestamp,open,high,low,close
2020-03-07,2.0330,2.0330,2.0330,2.0330
2020-03-06,2.0330,2.0333,2.0252,2.0330
2020-03-05,2.0314,2.0330,2.0239,2.0330
2020-03-04,2.0426,2.0426,2.0252,2.0314
2020-03-03,2.0164,2.0426,2.0164,2.0426
2020-03-02,2.0271,2.0271,2.0135,2.0164
2020-03-01,2.0271,2.0271,2.0271,2.0271
2020-02-28,2.0341,2.0517,2.0208,2.0271
2020-02-27,2.0344,2.0502,2.0221,2.0341
2020-02-26,2.0448,2.0502,2.0283,2.0344
2020-02-25,2.0448,2.0518,2.0448,2.0448
2020-02-24,2.0486,2.0585,2.0448,2.0448
2020-02-23,2.0585,2.0585,2.0585,2.0585
2020-02-21,2.0585,2.0654,2.0486,2.0585
2020-02-20,2.0550,2.0585,2.0515,2.0585
2020-02-19,2.0566,2.0566,2.0488,2.0515
2020-02-18,2.0513,2.0566,2.0462,2.0488
2020-02-17,2.0462,2.0595,2.0462,2.0462
2020-02-16,2.0595,2.0595,2.0595,2.0595
2020-02-15,2.0595,2.0595,2.0595,2.0595
2020-02-14,2.0595,2.0595,2.0486,2.0595
2020-02-13,2.0617,2.0617,2.0534,2.0595
2020-02-12,2.0550,2.0617,2.0547,2.0555
2020-02-11,2.0453,2.0609,2.0440,2.0555
2020-02-10,2.0459,2.0544,2.0453,2.0456
2020-02-09,2.0459,2.0459,2.0459,2.0459
2020-02-08,2.0459,2.0459,2.0459,2.0459
2020-02-07,2.0459,2.0459,2.0312,2.0459
2020-02-06,2.0456,2.0459,2.0397,2.0459
2020-02-05,2.0469,2.0472,2.0416,2.0456
2020-02-04,2.0501,2.0517,2.0315,2.0429
2020-02-03,2.0347,2.0507,2.0341,2.0501
2020-02-02,2.0347,2.0347,2.0347,2.0347
2020-01-31,2.0411,2.0411,2.0315,2.0347
2020-01-30,2.0379,2.0413,2.0288,2.0315
2020-01-29,2.0440,2.0440,2.0355,2.0379
2020-01-28,2.0462,2.0494,2.0379,2.0440
2020-01-27,2.0542,2.0542,2.0448,2.0462
2020-01-26,2.0507,2.0542,2.0507,2.0542
2020-01-24,2.0545,2.0555,2.0486,2.0542
2020-01-23,2.0521,2.0555,2.0486,2.0545
2020-01-22,2.0585,2.0585,2.0475,2.0494
2020-01-21,2.0547,2.0600,2.0488,2.0488
2020-01-20,2.0544,2.0557,2.0509,2.0509
2020-01-18,2.0536,2.0536,2.0536,2.0536
2020-01-17,2.0536,2.0536,2.0536,2.0536
2020-01-16,2.0544,2.0611,2.0475,2.0536
2020-01-15,2.0565,2.0656,2.0442,2.0544
2020-01-14,2.0570,2.0597,2.0530,2.0530
2020-01-13,2.0466,2.0616,2.0466,2.0570
2020-01-12,2.0616,2.0616,2.0466,2.0466
2020-01-10,2.0570,2.0616,2.0466,2.0616
2020-01-09,2.0610,2.0616,2.0517,2.0570
2020-01-08,2.0517,2.0637,2.0517,2.0517
2020-01-07,2.0544,2.0650,2.0517,2.0517
2020-01-06,2.0570,2.0570,2.0426,2.0544
2020-01-05,2.0570,2.0570,2.0570,2.0570
2020-01-03,2.0601,2.0601,2.0426,2.0570
2020-01-02,2.0574,2.0671,2.0457,2.0457
2020-01-01,2.0574,2.0671,2.0574,2.0574
2019-12-31,2.0628,2.0802,2.0574,2.0574
2019-12-30,2.0860,2.0868,2.0588,2.0628
2019-12-29,2.0860,2.0860,2.0860,2.0860
2019-12-27,2.0815,2.0868,2.0708,2.0860
2019-12-26,2.0815,2.0884,2.0799,2.0815
2019-12-25,2.0868,2.0890,2.0868,2.0868
2019-12-24,2.0868,2.0924,2.0807,2.0868
2019-12-23,2.0748,2.0940,2.0748,2.0868
2019-12-22,2.0940,2.0940,2.0940,2.0940
2019-12-21,2.0964,2.0964,2.0964,2.0964
2019-12-20,2.0964,2.0964,2.0771,2.0964
2019-12-19,2.1010,2.1036,2.0842,2.0878
2019-12-18,2.0972,2.1036,2.0780,2.0842
2019-12-17,2.0972,2.1039,2.0908,2.0972
2019-12-16,2.1036,2.1036,2.0908,2.0972
2019-12-15,2.1036,2.1036,2.1036,2.1036
2019-12-13,2.0886,2.1036,2.0886,2.1036
2019-12-12,2.0945,2.1039,2.0886,2.0886
2019-12-11,2.0999,2.0999,2.0945,2.0945
2019-12-10,2.0943,2.0999,2.0889,2.0945
2019-12-09,2.0830,2.1012,2.0823,2.0943
2019-12-08,2.0980,2.1012,2.0980,2.1012
2019-12-07,2.0830,2.1012,2.0830,2.1012
2019-12-06,2.1018,2.1018,2.0830,2.0830
2019-12-05,2.1028,2.1028,2.0830,2.0830
2019-12-04,2.0956,2.1058,2.0913,2.0978
2019-12-03,2.1007,2.1087,2.0857,2.0956
2019-12-02,2.0899,2.1084,2.0899,2.1007
2019-12-01,2.0899,2.1084,2.0899,2.1084
2019-11-29,2.0907,2.1092,2.0899,2.0899
2019-11-28,2.0974,2.1014,2.0907,2.0907
2019-11-27,2.0988,2.1076,2.0894,2.0974
2019-11-26,2.0979,2.1084,2.0881,2.0988
2019-11-25,2.0835,2.1054,2.0835,2.1036
2019-11-24,2.0979,2.0979,2.0979,2.0979
2019-11-22,2.0874,2.1019,2.0835,2.0979
2019-11-21,2.0981,2.1019,2.0874,2.0874
2019-11-20,2.0981,2.1008,2.0919,2.0981
2019-11-19,2.0954,2.1010,2.0927,2.0981
2019-11-18,2.1002,2.1005,2.0833,2.0954
