time,ADX

2019-11-04,52.2779

2019-11-01,49.6008

2019-10-31,47.6969

2019-10-30,45.1046

2019-10-29,41.8641

2019-10-28,38.5927

2019-10-25,30.0909

2019-10-24,25.7867

2019-10-23,22.1582

2019-10-22,26.1016

2019-10-21,30.5105

2019-10-18,30.6877

2019-10-17,30.9091

2019-10-16,32.5254

2019-10-15,29.9724

2019-10-14,24.3181

2019-10-11,22.2292

2019-10-10,19.6181

2019-10-09,21.7795

2019-10-08,24.9516

2019-10-07,23.1429

2019-10-04,26.6012

2019-10-03,30.9239

2019-10-02,28.1040

2019-10-01,22.2701

2019-09-30,25.6411

2019-09-27,22.5544

2019-09-26,18.6959

2019-09-25,20.4717

2019-09-24,21.4729

2019-09-23,25.9839

2019-09-20,26.1597

2019-09-19,26.3794

2019-09-18,17.7181

2019-09-17,15.3270

2019-09-16,17.3250

2019-09-13,19.1925

2019-09-12,22.0110

2019-09-11,24.0543

2019-09-10,23.6455

2019-09-09,23.1344

2019-09-06,28.5978

2019-09-05,26.5731

2019-09-04,20.6610

2019-09-03,20.9053

2019-08-30,23.1819

2019-08-29,23.2173

2019-08-28,25.5050

2019-08-27,24.4367

2019-08-26,26.6730

2019-08-23,23.5507

2019-08-22,19.6480

2019-08-21,24.4352

2019-08-20,21.7954

2019-08-19,20.8226

2019-08-16,20.0536

2019-08-15,24.6504

2019-08-14,22.2931

2019-08-13,23.2790

2019-08-12,28.9554

2019-08-09,32.5213

2019-08-08,40.6176

2019-08-07,49.5958

2019-08-06,48.9147

2019-08-05,50.1755

2019-08-02,43.8820

2019-08-01,41.0185

2019-07-31,41.0064

2019-07-30,38.3829

2019-07-29,41.0185

2019-07-26,44.3129

2019-07-25,40.1242

2019-07-24,37.9488

2019-07-23,35.2297

2019-07-22,33.9319

2019-07-19,34.7373

2019-07-18,35.7440

2019-07-17,32.9743

2019-07-16,36.4404

2019-07-15,42.5481

2019-07-12,37.8897

2019-07-11,33.6548

2019-07-10,28.3612

2019-07-09,23.9513

2019-07-08,27.1917

2019-07-05,31.2422

2019-07-03,33.5542

2019-07-02,31.8743

2019-07-01,34.4830

2019-06-28,37.7438

2019-06-27,41.0772

2019-06-26,46.8584

2019-06-25,54.4476

2019-06-24,63.9341

2019-06-21,59.8391

2019-06-20,55.5588

2019-06-19,50.2915

2019-06-18,46.0428

2019-06-17,41.9274

2019-06-14,40.0071

2019-06-13,37.6067

2019-06-12,37.0644

2019-06-11,38.0140

2019-06-10,36.6961

2019-06-07,32.0629

2019-06-06,28.5404

2019-06-05,32.3631

2019-06-04,36.9231

2019-06-03,29.7249

2019-05-31,20.7272

2019-05-30,17.4386

2019-05-29,18.8854

2019-05-28,18.6521

2019-05-24,18.9265

2019-05-23,21.7788

2019-05-22,23.7746

2019-05-21,24.2257

2019-05-20,27.7627

2019-05-17,32.1840

2019-05-16,26.1747

2019-05-15,20.8692

2019-05-14,22.9475

2019-05-13,27.5002

2019-05-10,31.4369

2019-05-09,39.0344

2019-05-08,37.5000

2019-05-07,39.1391

2019-05-06,41.1881

2019-05-03,49.9990

2019-05-02,58.9941

2019-05-01,71.4405

2019-04-30,80.4505

2019-04-29,76.8146

2019-04-26,72.4212

2019-04-25,66.9296

2019-04-24,60.0650

2019-04-23,54.1860

2019-04-22,47.1717

2019-04-18,41.1422

2019-04-17,34.8710

2019-04-16,35.1715

2019-04-15,37.2996

2019-04-12,32.4360

2019-04-11,29.8207

2019-04-10,27.3806

2019-04-09,27.6768

2019-04-08,33.7451

2019-04-05,41.9451

2019-04-04,44.9669

2019-04-03,48.7442

2019-04-02,44.8398

2019-04-01,43.1265

2019-03-29,42.4937

2019-03-28,45.3700

2019-03-27,53.3472

2019-03-26,63.3186

2019-03-25,64.1405

2019-03-22,67.2472

2019-03-21,63.2520

2019-03-20,57.7218

2019-03-19,53.1251

2019-03-18,47.8695

2019-03-15,42.6793

2019-03-14,36.8105

2019-03-13,34.3325

