time,MFI
2019-11-15,100.0000
2019-11-14,100.0000
2019-11-13,100.0000
2019-11-12,80.4682
2019-11-11,58.5371
2019-11-08,59.7066
2019-11-07,33.8751
2019-11-06,15.5087
2019-11-05,31.8530
2019-11-04,31.2406
2019-11-01,40.8303
2019-10-31,63.7409
2019-10-30,84.8892
2019-10-29,66.4226
2019-10-28,63.9142
2019-10-25,45.3463
2019-10-24,25.5405
2019-10-23,-0.0000
2019-10-22,-0.0000
2019-10-21,17.4521
2019-10-18,18.5110
2019-10-17,44.9204
2019-10-16,64.8332
2019-10-15,86.1017
2019-10-14,62.0668
2019-10-11,61.0118
2019-10-10,59.8532
2019-10-09,62.0714
2019-10-08,39.8126
2019-10-07,41.1372
2019-10-04,55.4543
2019-10-03,35.7312
2019-10-02,32.1589
2019-10-01,56.1962
2019-09-30,51.8794
2019-09-27,35.9505
2019-09-26,31.0509
2019-09-25,40.0779
2019-09-24,41.1004
2019-09-23,57.8824
2019-09-20,58.2076
2019-09-19,66.3083
2019-09-18,63.3043
2019-09-17,41.0474
2019-09-16,22.5410
2019-09-13,20.9229
2019-09-12,21.2948
2019-09-11,20.9803
2019-09-10,37.0850
2019-09-09,40.4005
2019-09-06,41.0960
2019-09-05,60.2481
2019-09-04,38.9819
2019-09-03,41.8526
2019-08-30,60.5260
2019-08-29,53.4462
2019-08-28,36.7468
2019-08-27,50.5902
2019-08-26,31.0830
2019-08-23,33.7260
2019-08-22,61.4575
2019-08-21,56.7850
2019-08-20,37.6727
2019-08-19,55.4803
2019-08-16,38.2819
2019-08-15,19.6258
2019-08-14,41.0478
2019-08-13,40.8179
2019-08-12,43.7943
2019-08-09,37.9787
2019-08-08,36.3309
2019-08-07,41.1113
2019-08-06,39.7847
2019-08-05,24.2819
2019-08-02,28.3468
2019-08-01,45.3820
2019-07-31,17.6067
2019-07-30,43.4684
2019-07-29,62.2800
2019-07-26,81.8190
2019-07-25,85.8829
2019-07-24,79.1129
2019-07-23,64.8761
2019-07-22,50.5063
2019-07-19,47.5138
2019-07-18,33.0222
2019-07-17,57.6903
2019-07-16,78.4330
2019-07-15,80.6828
2019-07-12,64.3694
2019-07-11,46.1793
2019-07-10,40.9957
2019-07-09,34.4902
2019-07-08,59.5245
2019-07-05,51.8938
2019-07-03,52.9084
2019-07-02,35.3171
2019-07-01,18.0837
2019-06-28,16.9618
2019-06-27,44.3378
2019-06-26,61.7870
2019-06-25,77.6722
2019-06-24,100.0000
2019-06-21,100.0000
2019-06-20,100.0000
2019-06-19,100.0000
2019-06-18,81.7516
2019-06-17,54.8123
2019-06-14,60.0973
2019-06-13,65.3628
2019-06-12,66.3411
2019-06-11,81.3188
2019-06-10,100.0000
2019-06-07,75.1043
2019-06-06,54.4597
2019-06-05,52.7794
2019-06-04,34.6957
2019-06-03,31.9476
2019-05-31,52.6516
2019-05-30,54.0386
2019-05-29,53.4936
2019-05-28,74.3958
2019-05-24,48.8202
2019-05-23,54.7656
2019-05-22,78.7064
2019-05-21,80.2999
2019-05-20,81.7504
2019-05-17,76.1489
2019-05-16,76.9139
2019-05-15,57.1671
2019-05-14,38.6966
2019-05-13,19.9110
2019-05-10,21.1118
2019-05-09,17.9962
2019-05-08,17.9371
2019-05-07,18.0531
2019-05-06,38.8147
2019-05-03,41.2745
2019-05-02,40.7696
2019-05-01,66.6888
2019-04-30,87.6722
2019-04-29,87.5671
2019-04-26,100.0000
2019-04-25,100.0000
2019-04-24,100.0000
2019-04-23,86.3008
2019-04-22,84.9819
2019-04-18,85.5594
2019-04-17,83.0808
2019-04-16,82.4428
2019-04-15,79.1904
2019-04-12,60.8622
2019-04-11,58.8491
2019-04-10,38.0600
2019-04-09,42.3746
2019-04-08,61.7676
2019-04-05,79.8366
2019-04-04,81.5340
2019-04-03,100.0000
2019-04-02,79.0132
2019-04-01,80.4278
2019-03-29,58.4634
2019-03-28,34.7536
2019-03-27,40.3948
2019-03-26,38.8539
2019-03-25,43.3285
2019-03-22,61.5516
2019-03-21,84.4615
2019-03-20,84.4358
2019-03-19,100.0000
2019-03-18,100.0000
2019-03-15,100.0000
2019-03-14,84.3509
2019-03-13,65.3085
2019-03-12,59.8447
2019-03-11,39.7879
2019-03-08,15.8916
2019-03-07,36.7064
2019-03-06,60.4143
2019-03-05,43.8261
2019-03-04,60.7153
2019-03-01,82.0422
2019-02-28,82.6023
2019-02-27,82.4655
2019-02-26,82.9960
2019-02-25,82.3935
2019-02-22,82.6834
2019-02-21,63.2467
2019-02-20,59.4344
2019-02-19,80.2929
2019-02-15,80.3686
2019-02-14,79.2940
2019-02-13,73.9922
2019-02-12,56.5754
2019-02-11,57.4453
2019-02-08,61.4113
2019-02-07,40.8480
2019-02-06,34.7270
2019-02-05,54.7007
2019-02-04,40.0860
2019-02-01,24.8348
2019-01-31,41.3536
2019-01-30,49.2968
2019-01-29,40.8799
2019-01-28,40.4124
2019-01-25,63.2015
2019-01-24,62.3957
2019-01-23,79.0321
2019-01-22,79.6935
2019-01-18,82.2527
2019-01-17,61.9093
2019-01-16,41.9290
2019-01-15,42.7163
2019-01-14,42.5541
2019-01-11,63.0210
2019-01-10,82.5626
2019-01-09,77.8419
2019-01-08,59.4327
2019-01-07,59.6981
2019-01-04,60.1312
2019-01-03,61.0817
2019-01-02,82.8960
2018-12-31,80.4364
2018-12-28,47.5871
2018-12-27,30.8805
2018-12-26,35.2006
2018-12-24,35.2600
2018-12-21,33.6059
2018-12-20,40.3178
2018-12-19,45.9422
2018-12-18,38.7530
2018-12-17,37.4363
2018-12-14,60.4446
2018-12-13,61.1503
2018-12-12,56.2120
2018-12-11,37.3446
2018-12-10,35.3896
2018-12-07,33.5985
2018-12-06,51.0738
2018-12-04,76.1668
2018-12-03,100.0000
2018-11-30,100.0000
2018-11-29,91.2150
2018-11-28,91.1097
2018-11-27,54.3790
2018-11-26,33.3620
2018-11-23,34.0354
2018-11-21,48.6226
2018-11-20,33.3669
2018-11-19,37.7630
2018-11-16,39.9292
2018-11-15,21.3037
2018-11-14,15.9144
2018-11-13,39.2762
2018-11-12,57.5882
2018-11-09,78.2695
2018-11-08,76.0280
2018-11-07,56.5513
2018-11-06,59.4414
2018-11-05,37.1827
2018-11-02,21.3900
2018-11-01,19.8835
2018-10-31,39.6522
2018-10-30,20.9659
2018-10-29,22.3865
2018-10-26,35.6062
2018-10-25,53.6439
2018-10-24,30.3387
2018-10-23,53.3501
2018-10-22,78.4823
2018-10-19,58.8334
2018-10-18,62.4462
2018-10-17,53.1702
2018-10-16,34.0410
2018-10-15,32.5760
2018-10-12,32.8136
2018-10-11,12.8262
2018-10-10,14.6573
2018-10-09,31.6803
2018-10-08,12.9931
2018-10-05,29.9565
2018-10-04,31.7741
2018-10-03,56.3664
2018-10-02,38.1441
2018-10-01,59.7691
2018-09-28,38.0038
2018-09-27,70.8211
2018-09-26,71.5934
2018-09-25,70.7523
2018-09-24,70.6108
2018-09-21,73.6538
2018-09-20,60.6493
2018-09-19,61.4757
2018-09-18,80.6237
2018-09-17,80.9161
2018-09-14,100.0000
2018-09-13,80.4354
2018-09-12,58.6305
2018-09-11,36.6066
2018-09-10,16.9413
