time,SlowD,SlowK
2019-11-18,94.0990,95.8052
2019-11-15,92.3980,95.0894
2019-11-14,91.5744,91.4023
2019-11-13,89.1318,90.7022
2019-11-12,82.7891,92.6186
2019-11-11,73.1367,84.0746
2019-11-08,68.3241,71.6739
2019-11-07,65.6739,63.6617
2019-11-06,64.5348,69.6366
2019-11-05,61.8491,63.7233
2019-11-04,65.1722,60.2444
2019-11-01,71.9702,61.5797
2019-10-31,79.1818,73.6926
2019-10-30,84.3837,80.6383
2019-10-29,80.9112,83.2145
2019-10-28,66.5294,89.2983
2019-10-25,44.0902,70.2206
2019-10-24,26.6988,40.0693
2019-10-23,21.8086,21.9807
2019-10-22,25.7547,18.0465
2019-10-21,39.8104,25.3985
2019-10-18,56.7994,33.8191
2019-10-17,72.5403,60.2136
2019-10-16,78.4264,76.3655
2019-10-15,81.0355,81.0418
2019-10-14,79.1593,77.8719
2019-10-11,74.9565,84.1927
2019-10-10,66.2128,75.4133
2019-10-09,59.7456,65.2634
2019-10-08,52.2511,57.9618
2019-10-07,42.1147,56.0116
2019-10-04,35.0195,42.7800
2019-10-03,34.6347,27.5525
2019-10-02,43.5965,34.7260
2019-10-01,48.8500,41.6256
2019-09-30,49.3675,54.4379
2019-09-27,43.7439,50.4866
2019-09-26,39.8608,43.1780
2019-09-25,45.7552,37.5672
2019-09-24,59.0079,38.8373
2019-09-23,73.2524,60.8610
2019-09-20,76.3691,77.3256
2019-09-19,69.3987,81.5707
2019-09-18,59.2374,70.2111
2019-09-17,50.7381,56.4142
2019-09-16,43.8512,51.0867
2019-09-13,37.1626,44.7134
2019-09-12,37.6231,35.7535
2019-09-11,48.4261,31.0209
2019-09-10,64.5377,46.0950
2019-09-09,72.4666,68.1624
2019-09-06,71.2181,79.3558
2019-09-05,68.6670,69.8817
2019-09-04,69.1515,64.4169
2019-09-03,67.8345,71.7025
2019-08-30,58.0094,71.3351
2019-08-29,44.4951,60.4658
2019-08-28,36.8489,42.2275
2019-08-27,40.9177,30.7922
2019-08-26,56.4354,37.5271
2019-08-23,73.0298,54.4337
2019-08-22,80.5338,77.3454
2019-08-21,74.0118,87.3104
2019-08-20,54.3219,76.9455
2019-08-19,41.4686,57.7795
2019-08-16,38.6047,28.2406
2019-08-15,53.9374,38.3856
2019-08-14,66.9006,49.1879
2019-08-13,75.3552,74.2386
2019-08-12,70.7821,77.2754
2019-08-09,55.7428,74.5516
2019-08-08,39.8352,60.5192
2019-08-07,29.3459,32.1576
2019-08-06,28.7919,26.8288
2019-08-05,32.7584,29.0512
2019-08-02,40.0997,30.4955
2019-08-01,55.1989,38.7285
2019-07-31,71.3511,51.0752
2019-07-30,85.3298,75.7931
2019-07-29,89.3821,87.1851
2019-07-26,86.9135,93.0113
2019-07-25,75.0393,87.9500
2019-07-24,60.2894,79.7791
2019-07-23,41.4675,57.3889
2019-07-22,28.5583,43.7003
2019-07-19,25.4289,23.3134
2019-07-18,39.1155,18.6611
2019-07-17,61.0370,34.3123
2019-07-16,77.1161,64.3730
2019-07-15,78.1993,84.4258
2019-07-12,71.8360,82.5494
2019-07-11,66.9768,67.6227
2019-07-10,72.3135,65.3360
2019-07-09,81.1651,67.9717
2019-07-08,86.4195,83.6329
2019-07-05,78.4315,91.8905
2019-07-03,59.7388,83.7351
2019-07-02,39.3716,59.6689
2019-07-01,25.9880,35.8123
2019-06-28,27.4587,22.6337
2019-06-27,40.4579,19.5179
2019-06-26,62.9246,40.2244
2019-06-25,79.3052,61.6313
2019-06-24,89.9779,86.9181
2019-06-21,89.1569,89.3662
2019-06-20,82.4958,93.6493
2019-06-19,71.0358,84.4551
2019-06-18,63.4792,69.3830
2019-06-17,64.2103,59.2693
2019-06-14,70.6553,61.7854
2019-06-13,79.0849,71.5761
