time,TRIX
2019-11-15,0.3741
2019-11-14,0.3239
2019-11-13,0.3061
2019-11-12,0.2898
2019-11-11,0.2673
2019-11-08,0.2599
2019-11-07,0.2603
2019-11-06,0.3073
2019-11-05,0.3543
2019-11-04,0.3805
2019-11-01,0.3936
2019-10-31,0.4074
2019-10-30,0.3876
2019-10-29,0.2920
2019-10-28,0.1861
2019-10-25,0.0170
2019-10-24,-0.0698
2019-10-23,-0.1127
2019-10-22,-0.0504
2019-10-21,0.0555
2019-10-18,0.1318
2019-10-17,0.2337
2019-10-16,0.2564
2019-10-15,0.2262
2019-10-14,0.1417
2019-10-11,0.0822
2019-10-10,-0.0056
2019-10-09,-0.0897
2019-10-08,-0.1411
2019-10-07,-0.1271
2019-10-04,-0.1555
2019-10-03,-0.1864
2019-10-02,-0.1283
2019-10-01,-0.0095
2019-09-30,0.0477
2019-09-27,0.0640
2019-09-26,0.1108
2019-09-25,0.1104
2019-09-24,0.1281
2019-09-23,0.1894
2019-09-20,0.1802
2019-09-19,0.1244
2019-09-18,0.0104
2019-09-17,-0.0355
2019-09-16,-0.0421
2019-09-13,-0.0182
2019-09-12,-0.0135
2019-09-11,0.0099
2019-09-10,0.0926
2019-09-09,0.1768
2019-09-06,0.1998
2019-09-05,0.1491
2019-09-04,0.0636
2019-09-03,0.0420
2019-08-30,0.0414
2019-08-29,-0.0281
2019-08-28,-0.0972
2019-08-27,-0.0846
2019-08-26,-0.0539
2019-08-23,0.0170
2019-08-22,0.1284
2019-08-21,0.0925
2019-08-20,0.0085
2019-08-19,-0.0596
2019-08-16,-0.1538
2019-08-15,-0.1561
2019-08-14,-0.0745
2019-08-13,-0.0241
2019-08-12,-0.1044
2019-08-09,-0.1373
2019-08-08,-0.2501
2019-08-07,-0.3765
2019-08-06,-0.3645
2019-08-05,-0.2711
2019-08-02,-0.0813
2019-08-01,0.0136
2019-07-31,0.1172
2019-07-30,0.2660
2019-07-29,0.2890
2019-07-26,0.2675
2019-07-25,0.2123
2019-07-24,0.1546
2019-07-23,0.0620
2019-07-22,0.0011
2019-07-19,-0.0220
2019-07-18,0.0250
2019-07-17,0.0997
2019-07-16,0.1877
2019-07-15,0.2416
2019-07-12,0.2302
2019-07-11,0.2049
2019-07-10,0.1846
2019-07-09,0.1791
2019-07-08,0.2013
2019-07-05,0.1921
2019-07-03,0.1560
2019-07-02,0.0946
2019-07-01,0.0591
2019-06-28,0.0724
2019-06-27,0.1627
2019-06-26,0.2833
2019-06-25,0.4387
2019-06-24,0.5894
2019-06-21,0.5959
2019-06-20,0.5941
2019-06-19,0.5659
2019-06-18,0.5494
2019-06-17,0.5402
2019-06-14,0.5853
2019-06-13,0.6194
2019-06-12,0.6217
2019-06-11,0.5813
2019-06-10,0.4301
2019-06-07,0.1755
2019-06-06,-0.0949
2019-06-05,-0.2765
2019-06-04,-0.3712
2019-06-03,-0.3255
2019-05-31,-0.1582
2019-05-30,-0.0931
2019-05-29,-0.0685
2019-05-28,-0.0111
2019-05-24,0.0205
2019-05-23,0.0563
2019-05-22,0.0855
2019-05-21,0.0679
2019-05-20,0.0656
2019-05-17,0.0491
2019-05-16,-0.0597
2019-05-15,-0.1949
2019-05-14,-0.2245
2019-05-13,-0.1843
2019-05-10,-0.0988
2019-05-09,-0.0928
2019-05-08,-0.0014
2019-05-07,0.1275
2019-05-06,0.2712
2019-05-03,0.3550
2019-05-02,0.4554
2019-05-01,0.6436
2019-04-30,0.7504
2019-04-29,0.7320
2019-04-26,0.6767
2019-04-25,0.5574
2019-04-24,0.4305
2019-04-23,0.3902
2019-04-22,0.3072
2019-04-18,0.2492
2019-04-17,0.1922
2019-04-16,0.1806
2019-04-15,0.1902
2019-04-12,0.1813
2019-04-11,0.1709
2019-04-10,0.1775
2019-04-09,0.1920
2019-04-08,0.2284
2019-04-05,0.2347
2019-04-04,0.2314
2019-04-03,0.2238
2019-04-02,0.1816
2019-04-01,0.1528
2019-03-29,0.1353
2019-03-28,0.1722
2019-03-27,0.2626
2019-03-26,0.3679
2019-03-25,0.4457
2019-03-22,0.5314
2019-03-21,0.5968
2019-03-20,0.5344
2019-03-19,0.5206
2019-03-18,0.4554
2019-03-15,0.3563
2019-03-14,0.2816
2019-03-13,0.2169
2019-03-12,0.1316
2019-03-11,0.0701
2019-03-08,0.0609
2019-03-07,0.1568
2019-03-06,0.2706
2019-03-05,0.3504
2019-03-04,0.4322
2019-03-01,0.4869
2019-02-28,0.5195
2019-02-27,0.5415
2019-02-26,0.5169
2019-02-25,0.4418
2019-02-22,0.3524
2019-02-21,0.2621
2019-02-20,0.2225
2019-02-19,0.2400
2019-02-15,0.1972
2019-02-14,0.1392
2019-02-13,0.1121
2019-02-12,0.0748
2019-02-11,0.0391
2019-02-08,0.0595
2019-02-07,0.0616
2019-02-06,0.0572
2019-02-05,-0.0049
2019-02-04,-0.1098
2019-02-01,-0.1268
2019-01-31,-0.0223
2019-01-30,0.0345
2019-01-29,0.0734
2019-01-28,0.2541
2019-01-25,0.3556
2019-01-24,0.3853
2019-01-23,0.4402
2019-01-22,0.4644
2019-01-18,0.4808
2019-01-17,0.3898
2019-01-16,0.3262
2019-01-15,0.2680
2019-01-14,0.2319
2019-01-11,0.2917
2019-01-10,0.2882
2019-01-09,0.2021
2019-01-08,0.0492
2019-01-07,-0.0855
2019-01-04,-0.2162
2019-01-03,-0.3223
2019-01-02,-0.2974
2018-12-31,-0.4493
2018-12-28,-0.6436
2018-12-27,-0.8148
2018-12-26,-0.9839
2018-12-24,-1.0108
2018-12-21,-0.7375
2018-12-20,-0.5601
2018-12-19,-0.4568
2018-12-18,-0.3744
2018-12-17,-0.2344
2018-12-14,-0.0341
2018-12-13,0.0440
2018-12-12,-0.0009
2018-12-11,-0.0215
2018-12-10,0.0153
2018-12-07,0.1545
2018-12-06,0.4051
