timestamp,open,high,low,close
2020-03-13,0.0262,0.0265,0.0261,0.0264
2020-03-12,0.0260,0.0265,0.0258,0.0262
2020-03-11,0.0259,0.0261,0.0258,0.0260
2020-03-10,0.0256,0.0260,0.0256,0.0259
2020-03-09,0.0257,0.0257,0.0255,0.0256
2020-03-06,0.0260,0.0260,0.0257,0.0258
2020-03-05,0.0262,0.0263,0.0260,0.0260
2020-03-04,0.0261,0.0263,0.0261,0.0263
2020-03-03,0.0263,0.0264,0.0261,0.0262
2020-03-02,0.0264,0.0265,0.0261,0.0262
2020-02-28,0.0266,0.0267,0.0265,0.0265
2020-02-27,0.0269,0.0269,0.0266,0.0266
2020-02-26,0.0269,0.0270,0.0268,0.0269
2020-02-25,0.0269,0.0270,0.0268,0.0269
2020-02-24,0.0270,0.0270,0.0269,0.0269
2020-02-21,0.0271,0.0271,0.0269,0.0269
2020-02-20,0.0270,0.0271,0.0270,0.0271
2020-02-19,0.0271,0.0271,0.0270,0.0270
2020-02-18,0.0270,0.0271,0.0270,0.0271
2020-02-17,0.0270,0.0270,0.0269,0.0270
2020-02-14,0.0270,0.0270,0.0269,0.0270
2020-02-13,0.0269,0.0270,0.0268,0.0270
2020-02-11,0.0268,0.0269,0.0268,0.0268
2020-02-10,0.0267,0.0268,0.0267,0.0268
