timestamp,open,high,low,close
2020-03-13,6.1587,6.3608,6.0808,6.2626
2020-03-12,6.4528,6.4796,6.0479,6.1568
2020-03-11,6.5090,6.5628,6.3653,6.4510
2020-03-10,6.5300,6.6132,6.2124,6.5097
2020-03-09,6.4958,6.6432,6.4645,6.5079
2020-03-08,6.7319,6.7319,6.4223,6.4946
2020-03-06,6.7001,6.7726,6.6451,6.7487
2020-03-05,6.7238,6.7517,6.6594,6.7007
2020-03-04,6.6940,6.7508,6.6723,6.7294
2020-03-03,6.6866,6.7828,6.6527,6.6890
2020-03-02,6.5773,6.7002,6.5663,6.6858
2020-03-01,6.5945,6.6089,6.5703,6.5748
2020-02-28,6.6039,6.6263,6.5212,6.6076
2020-02-27,6.5809,6.6297,6.4913,6.6025
2020-02-26,6.5923,6.6340,6.5494,6.5827
2020-02-25,6.5928,6.6251,6.5537,6.5928
2020-02-24,6.6055,6.6272,6.3742,6.5915
2020-02-23,6.6351,6.6437,6.5919,6.6048
2020-02-21,6.6021,6.6662,6.4261,6.6338
2020-02-20,6.6318,6.6681,6.5888,6.6014
2020-02-19,6.5862,6.6583,6.4472,6.6318
2020-02-18,6.6492,6.6644,6.4101,6.5862
2020-02-17,6.6316,6.6682,6.6169,6.6467
2020-02-16,6.6359,6.6457,6.6033,6.6358
2020-02-15,6.6361,6.6372,6.6311,6.6322
2020-02-14,6.6191,6.6589,6.5916,6.6360
2020-02-13,6.6103,6.6489,6.5768,6.6173
2020-02-12,6.6001,6.6536,6.5854,6.6122
2020-02-11,6.5402,6.6166,6.4418,6.6012
2020-02-10,6.5230,6.6033,6.5075,6.5420
2020-02-09,6.5309,6.5345,6.4967,6.5210
2020-02-07,6.5578,6.5920,6.4233,6.5222
2020-02-06,6.5548,6.6062,6.5228,6.5572
2020-02-05,6.5636,6.5997,6.4712,6.5554
2020-02-04,6.4869,6.5816,6.4738,6.5636
2020-02-03,6.5509,6.5798,6.4328,6.4869
2020-02-02,6.5435,6.5521,6.5345,6.5411
2020-01-31,6.5461,6.5806,6.5032,6.5387
2020-01-30,6.5478,6.5745,6.4986,6.5466
2020-01-29,6.5900,6.6101,6.5204,6.5478
2020-01-28,6.5585,6.6017,6.5216,6.5899
2020-01-27,6.6177,6.6458,6.5355,6.5579
2020-01-26,6.6177,6.6248,6.6111,6.6165
2020-01-24,6.6561,6.6950,6.6089,6.6270
2020-01-23,6.6646,6.6988,6.6323,6.6555
2020-01-22,6.6795,6.7052,6.6508,6.6628
2020-01-21,6.7126,6.7294,6.6576,6.6788
2020-01-20,6.7302,6.7525,6.7041,6.7132
2020-01-19,6.7308,6.7398,6.7211,6.7307
2020-01-17,6.7341,6.7546,6.7106,6.7313
2020-01-16,6.7378,6.7805,6.7172,6.7340
2020-01-15,6.7549,6.7797,6.7000,6.7360
2020-01-14,6.7355,6.7723,6.7142,6.7542
2020-01-13,6.7071,6.7627,6.6844,6.7354
2020-01-12,6.7053,6.7130,6.6951,6.7023
2020-01-10,6.7214,6.7506,6.6796,6.7088
2020-01-09,6.7418,6.7519,6.6947,6.7196
2020-01-08,6.7265,6.7687,6.6951,6.7363
2020-01-07,6.7775,6.8147,6.7152,6.7241
2020-01-06,6.7572,6.8063,6.7316,6.7775
2020-01-05,6.7555,6.7692,6.7452,6.7494
2020-01-03,6.7957,6.8043,6.7222,6.7547
2020-01-02,6.8139,6.8347,6.7494,6.7956
2020-01-01,6.8186,6.8270,6.7970,6.8078
2019-12-31,6.7875,6.8294,6.7838,6.8179
2019-12-30,6.7777,6.8300,6.7740,6.7832
2019-12-29,6.7771,6.7854,6.7710,6.7746
2019-12-27,6.7109,6.8020,6.7073,6.7787
2019-12-26,6.6949,6.7609,6.6704,6.7085
2019-12-25,6.6901,6.7009,6.6632,6.6877
2019-12-24,6.6723,6.7306,6.6346,6.6900
2019-12-23,6.6418,6.7081,6.6329,6.6711
2019-12-22,6.6436,6.6508,6.6394,6.6418
2019-12-20,6.6610,6.6824,6.6345,6.6400
2019-12-19,6.6175,6.6949,6.6145,6.6593
2019-12-18,6.6077,6.6523,6.5919,6.6151
2019-12-17,6.6235,6.6481,6.5808,6.6059
2019-12-16,6.6039,6.6602,6.5946,6.6216
2019-12-15,6.6003,6.6104,6.6003,6.6039
2019-12-14,6.6051,6.6051,6.6051,6.6051
2019-12-13,6.5999,6.6583,6.5742,6.6051
2019-12-12,6.5433,6.6299,6.5409,6.6023
2019-12-11,6.5039,6.5675,6.4890,6.5433
2019-12-10,6.5482,6.5617,6.4605,6.5056
2019-12-09,6.5446,6.5680,6.4944,6.5464
2019-12-08,6.5440,6.5470,6.5261,6.5440
2019-12-06,6.5602,6.5751,6.5237,6.5482
2019-12-05,6.5169,6.5690,6.4962,6.5578
2019-12-04,6.5015,6.5421,6.4747,6.5103
2019-12-03,6.5299,6.5591,6.4923,6.4973
2019-12-02,6.5062,6.5540,6.4758,6.5281
2019-12-01,6.5014,6.5152,6.4917,6.5061
2019-11-29,6.5155,6.5344,6.4658,6.4942
2019-11-28,6.5333,6.5375,6.4831,6.5143
2019-11-27,6.5221,6.5435,6.4664,6.5296
2019-11-26,6.4805,6.5429,6.4700,6.5221
2019-11-25,6.5232,6.5459,6.4674,6.4805
2019-11-24,6.5190,6.5238,6.5147,6.5231
2019-11-22,6.5273,6.5589,6.4871,6.5237
2019-11-21,6.5141,6.5735,6.4896,6.5261
