timestamp,open,high,low,close
2020-03-13,2.6987,2.6987,2.6684,2.6987
2020-03-12,2.6987,2.6987,2.6598,2.6987
2020-03-11,2.6987,2.6987,2.6722,2.6987
2020-03-10,2.6987,2.6987,2.6754,2.6987
2020-03-09,2.6725,2.6987,2.6692,2.6987
2020-03-08,2.6987,2.6987,2.6676,2.6987
2020-03-07,2.6987,2.6987,2.6987,2.6987
2020-03-06,2.6987,2.6987,2.6662,2.6987
2020-03-05,2.6987,2.6987,2.6700,2.6987
2020-03-04,2.6987,2.6987,2.6744,2.6987
2020-03-03,2.6987,2.6987,2.6676,2.6987
2020-03-02,2.6987,2.6987,2.6676,2.6987
2020-03-01,2.6987,2.6987,2.6987,2.6987
2020-02-29,2.6987,2.6987,2.6987,2.6987
2020-02-28,2.6987,2.6987,2.6987,2.6987
2020-02-27,2.6987,2.6987,2.6987,2.6987
2020-02-26,2.6987,2.6987,2.6987,2.6987
2020-02-25,2.6987,2.6987,2.6987,2.6987
2020-02-24,2.6987,2.6987,2.6987,2.6987
2020-02-23,2.6987,2.6987,2.6987,2.6987
2020-02-22,2.6987,2.6987,2.6987,2.6987
2020-02-21,2.6987,2.6987,2.6987,2.6987
2020-02-20,2.6987,2.6987,2.6987,2.6987
2020-02-19,2.6987,2.6987,2.6987,2.6987
2020-02-18,2.6987,2.6987,2.6987,2.6987
2020-02-17,2.6987,2.6987,2.6987,2.6987
2020-02-16,2.6987,2.6987,2.6987,2.6987
2020-02-15,2.6987,2.6987,2.6987,2.6987
2020-02-14,2.6987,2.6987,2.6987,2.6987
2020-02-13,2.6987,2.6987,2.6987,2.6987
2020-02-12,2.6987,2.6987,2.6987,2.6987
2020-02-11,2.6987,2.6987,2.6987,2.6987
2020-02-10,2.6987,2.6987,2.6987,2.6987
2020-02-09,2.6987,2.6987,2.6987,2.6987
2020-02-08,2.6987,2.6987,2.6987,2.6987
