timestamp,open,high,low,close
2020-03-13,9.4789,9.5521,9.4741,9.5228
2020-03-11,9.5300,9.5348,9.4962,9.4962
2020-03-10,9.5064,9.5353,9.5016,9.5161
2020-03-09,9.4700,9.4796,9.4460,9.4604
2020-03-06,9.4474,9.4618,9.4042,9.4570
2020-03-05,9.4335,9.4479,9.3951,9.3951
2020-03-04,9.4001,9.4528,9.4001,9.4433
2020-02-28,9.3660,9.3995,9.3229,9.3612
2020-02-27,9.3591,9.3926,9.3351,9.3638
2020-02-26,9.3428,9.3571,9.3284,9.3475
2020-02-25,9.3416,9.3751,9.3320,9.3416
2020-02-24,9.3720,9.3768,9.3242,9.3433
2020-02-21,9.4089,9.4137,9.3515,9.3707
2020-02-20,9.4237,9.4332,9.3806,9.4093
2020-02-19,9.4240,9.4527,9.4240,9.4288
2020-02-18,9.4447,9.4447,9.4207,9.4207
2020-02-17,9.4467,9.4610,9.4419,9.4419
2020-02-14,9.4706,9.4754,9.4419,9.4514
2020-02-13,9.4526,9.4766,9.4431,9.4622
2020-02-12,9.4514,9.4658,9.4466,9.4514
2020-02-11,9.4083,9.4610,9.4083,9.4419
2020-02-10,9.3830,9.4118,9.3830,9.3926
2020-02-07,9.3873,9.3969,9.3491,9.3539
2020-02-06,9.3996,9.4091,9.3804,9.3852
2020-02-05,9.3922,9.4018,9.3635,9.3874
2020-02-04,9.3699,9.4034,9.3699,9.3938
2020-02-03,9.3517,9.3900,9.3469,9.3709
2020-01-31,9.3564,9.3803,9.3373,9.3468
2020-01-30,9.3821,9.3821,9.3247,9.3582
2020-01-29,9.3991,9.4038,9.3656,9.3751
2020-01-24,9.3569,9.3952,9.3521,9.3856
2020-01-23,9.3685,9.3685,9.3398,9.3542
2020-01-22,9.3575,9.3814,9.3431,9.3719
2020-01-21,9.3707,9.3707,9.3468,9.3659
2020-01-20,9.3757,9.3948,9.3565,9.3661
2020-01-17,9.3953,9.4001,9.3714,9.3810
2020-01-16,9.4175,9.4366,9.3935,9.3983
2020-01-15,9.4436,9.4436,9.4053,9.4149
2020-01-14,9.4677,9.4820,9.4198,9.4389
2020-01-13,9.4479,9.4862,9.4431,9.4623
2020-01-10,9.4220,9.4651,9.4028,9.4459
2020-01-09,9.4435,9.4578,9.4195,9.4195
2020-01-08,9.3839,9.4558,9.3408,9.4462
2019-12-30,9.4019,9.4354,9.4019,9.4115
2019-12-27,9.4171,9.4363,9.3788,9.3980
2019-12-26,9.3983,9.4270,9.3887,9.4126
2019-12-25,9.3950,9.3950,9.3950,9.3950
2019-12-24,9.3767,9.4007,9.3767,9.3911
2019-12-23,9.3892,9.3939,9.3414,9.3605
2019-12-20,9.4089,9.4184,9.3659,9.3850
2019-12-19,9.4046,9.4093,9.3950,9.3998
2019-12-18,9.4024,9.4072,9.3881,9.3929
2019-12-17,9.4100,9.4100,9.3957,9.4005
2019-12-16,9.4003,9.4098,9.3860,9.4098
2019-12-13,9.4019,9.4305,9.3875,9.3971
2019-12-12,9.3581,9.4249,9.3581,9.4058
2019-12-11,9.3833,9.3928,9.3642,9.3642
2019-12-10,9.3737,9.3928,9.3737,9.3833
2019-12-09,9.3727,9.3775,9.3584,9.3632
2019-12-06,9.3787,9.3882,9.3644,9.3739
2019-12-05,9.3483,9.3817,9.3435,9.3769
2019-12-04,9.3127,9.3461,9.3079,9.3461
2019-12-03,9.3212,9.3451,9.3116,9.3260
2019-12-02,9.3648,9.3743,9.3122,9.3218
2019-11-29,9.3757,9.3948,9.3519,9.3614
2019-11-28,9.3491,9.3777,9.3491,9.3634
2019-11-27,9.3402,9.3545,9.3307,9.3545
2019-11-26,9.3644,9.3740,9.3263,9.3359
2019-11-25,9.3268,9.3554,9.3268,9.3458
2019-11-22,9.3384,9.3670,9.3289,9.3289
2019-11-21,9.3238,9.3524,9.3048,9.3333
2019-11-20,9.3152,9.3438,9.3152,9.3295
2019-11-19,9.3485,9.3628,9.3152,9.3152
2019-11-18,9.4027,9.4027,9.3550,9.3550
2019-11-15,9.3887,9.4126,9.3792,9.4078
2019-11-14,9.3494,9.3875,9.3399,9.3875
2019-11-13,9.3627,9.3627,9.3293,9.3484
2019-11-12,9.3520,9.3806,9.3425,9.3615
2019-11-11,9.4009,9.4009,9.3389,9.3485
2019-11-08,9.4047,9.4238,9.3952,9.3952
2019-11-07,9.3937,9.4367,9.3890,9.4080
2019-11-06,9.4220,9.4220,9.3648,9.3839
2019-11-05,9.4024,9.4262,9.3786,9.4167
2019-11-04,9.3980,9.4171,9.3837,9.4028
2019-11-01,9.3526,9.4097,9.3431,9.4002
2019-10-31,9.3265,9.3503,9.3170,9.3455
2019-10-30,9.2904,9.3285,9.2904,9.3237
2019-10-29,9.2799,9.3037,9.2799,9.2894
2019-10-25,9.2459,9.2697,9.2317,9.2554
2019-10-24,9.2980,9.3075,9.2315,9.2362
2019-10-23,9.2625,9.3101,9.2435,9.3101
2019-10-22,9.2762,9.2857,9.2524,9.2620
2019-10-21,9.2594,9.3023,9.2594,9.2832
2019-10-18,9.2408,9.2694,9.2361,9.2598
2019-10-17,9.1950,9.2568,9.1950,9.2426
2019-10-16,9.2013,9.2204,9.1775,9.2013
2019-10-15,9.2024,9.2119,9.1882,9.1977
2019-10-14,9.1952,9.2285,9.1904,9.1999
2019-10-11,9.2103,9.2293,9.2008,9.2008
2019-10-10,9.1716,9.2145,9.1669,9.2097
