time,ADX

2019-11-15,38.9796

2019-11-14,34.1220

2019-11-13,31.5889

2019-11-12,33.1261

2019-11-11,40.8235

2019-11-08,44.1971

2019-11-07,38.7499

2019-11-06,31.9409

2019-11-05,39.4208

2019-11-04,47.0237

2019-11-01,57.7566

2019-10-31,60.4117

2019-10-30,63.7307

2019-10-29,58.7062

2019-10-28,52.9403

2019-10-25,46.0721

2019-10-24,45.6580

2019-10-23,48.6271

2019-10-22,50.2547

2019-10-21,52.2891

2019-10-18,56.2329

2019-10-17,61.1626

2019-10-16,56.2197

2019-10-15,51.7016

2019-10-14,46.5363

2019-10-11,46.7115

2019-10-10,41.6147

2019-10-09,36.7018

2019-10-08,33.1756

2019-10-07,39.9440

2019-10-04,49.5932

2019-10-03,58.0899

2019-10-02,68.5915

2019-10-01,70.8804

2019-09-30,74.0601

2019-09-27,71.2098

2019-09-26,67.6470

2019-09-25,63.6263

2019-09-24,58.9293

2019-09-23,53.0579

2019-09-20,46.7871

2019-09-19,38.9486

2019-09-18,35.0052

2019-09-17,30.4135

2019-09-16,36.3616

2019-09-13,43.7967

2019-09-12,51.1572

2019-09-11,63.2403

2019-09-10,75.1012

2019-09-09,89.9273

2019-09-06,87.9673

2019-09-05,85.7530

2019-09-04,83.0657

2019-09-03,79.7065

2019-08-30,76.5051

2019-08-29,73.2583

2019-08-28,70.1320

2019-08-27,67.3332

2019-08-26,63.8346

2019-08-23,60.6682

2019-08-22,57.5368

2019-08-21,56.0547

2019-08-20,54.2020

2019-08-19,53.4861

2019-08-16,54.0766

2019-08-15,57.8674

2019-08-14,60.3100

2019-08-13,62.5530

2019-08-12,56.7226

2019-08-09,50.2893

2019-08-08,44.0513

2019-08-07,37.6771

2019-08-06,40.3875

2019-08-05,43.7756

2019-08-02,37.2960

2019-08-01,33.5281

2019-07-31,28.8182

2019-07-30,26.5595

2019-07-29,26.4617

2019-07-26,26.3395

2019-07-25,24.6831

2019-07-24,28.3939

2019-07-23,32.9196

2019-07-22,38.5767

2019-07-19,42.9014

2019-07-18,44.6461

2019-07-17,46.6495

2019-07-16,42.8303

2019-07-15,38.0562

2019-07-12,44.8821

2019-07-11,44.9532

2019-07-10,46.0666

2019-07-09,45.3545

2019-07-08,46.3912

2019-07-05,48.2459

2019-07-03,60.0767

2019-07-02,61.7488

2019-07-01,57.5334

2019-06-28,54.9903

2019-06-27,51.8115

2019-06-26,50.2020

2019-06-25,48.1902

2019-06-24,46.5565

2019-06-21,53.5262

2019-06-20,58.9134

2019-06-19,56.0180

2019-06-18,54.7947

2019-06-17,56.4394

2019-06-14,59.7068

