time,ATR

2019-11-15,9.1644

2019-11-14,9.0729

2019-11-13,9.1297

2019-11-12,9.0646

2019-11-11,9.6833

2019-11-08,9.7866

2019-11-07,10.9582

2019-11-06,7.5003

2019-11-05,7.5903

2019-11-04,8.0029

2019-11-01,7.1536

2019-10-31,7.6196

2019-10-30,7.5394

2019-10-29,8.2643

2019-10-28,8.8729

2019-10-25,7.4836

2019-10-24,7.6545

2019-10-23,8.2006

2019-10-22,9.0383

2019-10-21,8.8779

2019-10-18,9.3123

2019-10-17,8.0704

2019-10-16,7.7255

2019-10-15,8.0394

2019-10-14,6.5918

2019-10-11,7.1647

2019-10-10,6.9832

2019-10-09,7.1239

2019-10-08,6.3499

2019-10-07,6.6074

2019-10-04,6.7818

2019-10-03,7.2322

2019-10-02,7.1278

2019-10-01,7.6347

2019-09-30,8.2559

2019-09-27,9.2199

2019-09-26,10.1098

2019-09-25,11.0248

2019-09-24,12.5435

2019-09-23,12.7471

2019-09-20,14.4067

2019-09-19,10.4733

2019-09-18,11.1217

2019-09-17,8.2196

2019-09-16,8.7870

2019-09-13,9.2787

2019-09-12,10.1934

2019-09-11,10.9992

2019-09-10,11.6528

2019-09-09,9.1910

2019-09-06,7.3012

2019-09-05,7.5966

2019-09-04,7.2032

2019-09-03,5.7990

2019-08-30,5.4888

2019-08-29,5.6097

2019-08-28,5.9596

2019-08-27,6.4170

2019-08-26,6.3863

2019-08-23,6.1679

2019-08-22,6.1073

2019-08-21,6.7267

2019-08-20,6.8608

2019-08-19,7.3735

2019-08-16,7.3669

2019-08-15,7.9986

2019-08-14,8.5808

2019-08-13,9.0835

2019-08-12,9.3194

2019-08-09,8.8417

2019-08-08,9.3872

2019-08-07,6.1140

2019-08-06,6.3025

2019-08-05,5.6194

2019-08-02,5.3367

2019-08-01,5.7684

2019-07-31,5.5405

2019-07-30,5.3206

2019-07-29,5.5622

2019-07-26,4.5477

2019-07-25,4.5254

2019-07-24,4.8542

2019-07-23,5.0513

2019-07-22,4.4316

2019-07-19,4.6295

2019-07-18,4.8419

2019-07-17,5.0524

2019-07-16,5.2279

2019-07-15,4.1394

2019-07-12,4.1143

2019-07-11,4.3091

2019-07-10,4.5514

2019-07-09,4.7392

2019-07-08,4.9691

2019-07-05,4.5388

2019-07-03,4.1900

2019-07-02,4.5315

2019-07-01,4.1919

2019-06-28,4.2291

2019-06-27,4.1181

2019-06-26,4.5976

2019-06-25,4.7020

2019-06-24,3.9975

2019-06-21,3.7347

2019-06-20,4.0428

2019-06-19,3.9944

2019-06-18,4.0383

2019-06-17,4.1204

2019-06-14,4.3205

2019-06-13,4.3656

2019-06-12,4.7420

2019-06-11,4.4700

2019-06-10,4.6568

2019-06-07,4.6860

2019-06-06,4.8525

