timestamp,open,high,low,close
2020-03-06,1.1287,1.1472,1.1245,1.1316
2020-03-05,1.1246,1.1374,1.1189,1.1289
2020-03-04,1.1278,1.1317,1.1188,1.1245
2020-03-03,1.1266,1.1343,1.1168,1.1278
2020-03-02,1.1195,1.1361,1.1131,1.1243
2020-02-28,1.1155,1.1258,1.1089,1.1136
2020-02-27,1.1079,1.1225,1.1034,1.1160
2020-02-26,1.1069,1.1133,1.1023,1.1084
2020-02-25,1.1061,1.1129,1.1003,1.1085
2020-02-24,1.1049,1.1121,1.0986,1.1062
2020-02-23,1.1040,1.1040,1.1016,1.1040
2020-02-21,1.1019,1.1124,1.0974,1.1052
2020-02-20,1.1014,1.1079,1.0996,1.1012
2020-02-19,1.1016,1.1074,1.0971,1.1015
2020-02-18,1.1050,1.1088,1.0997,1.1041
2020-02-14,1.1041,1.1111,1.1030,1.1060
2020-02-13,1.1067,1.1108,1.1025,1.1041
2020-02-12,1.1098,1.1147,1.1023,1.1083
2020-02-11,1.1087,1.1174,1.1059,1.1113
2020-02-10,1.1125,1.1160,1.1050,1.1115
2020-02-07,1.1146,1.1173,1.1093,1.1137
2020-02-06,1.1146,1.1178,1.1106,1.1147
2020-02-05,1.1180,1.1223,1.1116,1.1156
2020-02-04,1.1188,1.1228,1.1144,1.1180
2020-02-03,1.1231,1.1243,1.1133,1.1188
2020-01-31,1.1170,1.1235,1.1122,1.1231
2020-01-30,1.1172,1.1210,1.1131,1.1169
2020-01-29,1.1192,1.1207,1.1124,1.1172
2020-01-28,1.1162,1.1215,1.1133,1.1192
2020-01-27,1.1147,1.1208,1.1115,1.1185
2020-01-24,1.1188,1.1221,1.1127,1.1164
2020-01-23,1.1223,1.1259,1.1139,1.1197
2020-01-22,1.1194,1.1242,1.1174,1.1211
2020-01-21,1.1210,1.1263,1.1182,1.1194
2020-01-20,1.1192,1.1233,1.1174,1.1209
2020-01-17,1.1236,1.1273,1.1172,1.1199
2020-01-16,1.1248,1.1288,1.1210,1.1227
2020-01-15,1.1227,1.1294,1.1202,1.1247
2020-01-14,1.1212,1.1280,1.1197,1.1233
2020-01-13,1.1236,1.1264,1.1196,1.1240
2020-01-10,1.1197,1.1249,1.1171,1.1212
2020-01-09,1.1212,1.1251,1.1156,1.1215
2020-01-08,1.1227,1.1297,1.1180,1.1211
2020-01-07,1.1266,1.1315,1.1195,1.1268
2020-01-06,1.1240,1.1314,1.1215,1.1272
2020-01-03,1.1227,1.1300,1.1201,1.1234
2020-01-02,1.1272,1.1326,1.1233,1.1251
2020-01-01,1.1273,1.1273,1.1257,1.1272
2019-12-31,1.1268,1.1331,1.1251,1.1273
2019-12-30,1.1256,1.1345,1.1237,1.1274
2019-12-29,1.1256,1.1256,1.1256,1.1256
2019-12-27,1.1221,1.1331,1.1180,1.1256
2019-12-26,1.1205,1.1264,1.1188,1.1222
2019-12-25,1.1209,1.1258,1.1188,1.1217
2019-12-24,1.1208,1.1245,1.1183,1.1209
2019-12-23,1.1201,1.1230,1.1183,1.1209
2019-12-20,1.1236,1.1267,1.1169,1.1204
2019-12-19,1.1228,1.1281,1.1215,1.1235
2019-12-18,1.1249,1.1303,1.1207,1.1227
2019-12-17,1.1244,1.1302,1.1210,1.1243
2019-12-16,1.1256,1.1281,1.1213,1.1250
2019-12-13,1.1266,1.1331,1.1191,1.1232
2019-12-12,1.1228,1.1343,1.1177,1.1284
2019-12-11,1.1206,1.1296,1.1165,1.1234
2019-12-10,1.1182,1.1260,1.1169,1.1207
2019-12-09,1.1199,1.1226,1.1177,1.1181
2019-12-06,1.1214,1.1260,1.1152,1.1183
2019-12-05,1.1221,1.1264,1.1181,1.1214
2019-12-04,1.1229,1.1263,1.1169,1.1228
2019-12-03,1.1194,1.1251,1.1169,1.1229
2019-12-02,1.1179,1.1276,1.1097,1.1201
2019-11-29,1.1148,1.1193,1.1122,1.1177
2019-11-28,1.1149,1.1191,1.1134,1.1154
2019-11-27,1.1155,1.1197,1.1131,1.1149
2019-11-26,1.1158,1.1206,1.1123,1.1160
2019-11-25,1.1177,1.1207,1.1123,1.1164
2019-11-22,1.1203,1.1244,1.1147,1.1177
2019-11-21,1.1198,1.1250,1.1164,1.1203
2019-11-20,1.1202,1.1252,1.1178,1.1222
2019-11-19,1.1205,1.1253,1.1188,1.1202
2019-11-18,1.1212,1.1268,1.1175,1.1205
2019-11-15,1.1173,1.1250,1.1154,1.1200
2019-11-14,1.1160,1.1222,1.1118,1.1171
2019-11-13,1.1158,1.1217,1.1141,1.1160
2019-11-12,1.1186,1.1239,1.1142,1.1158
2019-11-11,1.1171,1.1187,1.1154,1.1163
2019-11-08,1.1207,1.1240,1.1152,1.1172
2019-11-07,1.1206,1.1265,1.1159,1.1202
2019-11-06,1.1207,1.1255,1.1183,1.1221
2019-11-05,1.1230,1.1299,1.1164,1.1214
2019-11-04,1.1295,1.1312,1.1224,1.1253
2019-11-03,1.1267,1.1267,1.1267,1.1267
2019-11-01,1.1249,1.1301,1.1224,1.1267
2019-10-31,1.1250,1.1295,1.1227,1.1243
2019-10-30,1.1230,1.1296,1.1185,1.1245
2019-10-29,1.1222,1.1281,1.1186,1.1231
2019-10-28,1.1199,1.1267,1.1191,1.1230
2019-10-25,1.1198,1.1240,1.1173,1.1187
2019-10-24,1.1229,1.1283,1.1189,1.1198
2019-10-23,1.1231,1.1265,1.1203,1.1217
