timestamp,open,high,low,close
2020-03-07,8.4453,8.4453,8.4453,8.4453
2020-03-06,8.4678,8.5168,8.2710,8.4453
2020-03-05,8.4994,8.7296,8.2920,8.4690
2020-03-04,8.5058,8.5504,8.3754,8.4990
2020-03-03,8.5059,8.5274,8.3410,8.5058
2020-03-02,8.7492,8.7658,8.2918,8.4975
2020-03-01,8.7492,8.7576,8.7492,8.7492
2020-02-28,8.5391,9.4546,8.5253,8.7492
2020-02-27,8.5737,8.7910,8.4030,8.5429
2020-02-26,8.5747,8.6438,8.3924,8.5771
2020-02-25,8.5871,8.8202,8.4046,8.5778
2020-02-24,8.6715,8.8229,8.4006,8.5878
2020-02-23,8.3826,8.6647,8.3826,8.6647
2020-02-21,8.6016,8.9611,8.3598,8.3826
2020-02-20,8.5978,9.1741,8.4457,8.6056
2020-02-19,8.5992,8.6598,8.4268,8.5985
2020-02-18,8.5885,8.8921,8.5845,8.5999
2020-02-17,8.5931,8.8186,8.4144,8.5878
2020-02-16,8.5963,8.6109,8.5812,8.5917
2020-02-14,8.5875,8.6570,8.4646,8.5963
2020-02-13,8.6840,8.7066,8.3671,8.5876
2020-02-12,8.5658,8.6992,8.3759,8.4122
2020-02-11,8.5671,8.5970,8.3650,8.5774
2020-02-10,8.3627,8.7402,8.3339,8.5789
2020-02-09,8.3627,8.5768,8.3558,8.5612
2019-10-28,8.5305,8.7394,8.3356,8.3471
2019-10-27,8.5341,8.5341,8.5305,8.5305
