time,ADX

2019-11-01,24.3048

2019-10-31,26.9448

2019-10-30,27.4256

2019-10-29,28.0265

2019-10-28,28.7777

2019-10-25,33.2938

2019-10-24,38.3522

2019-10-23,44.6753

2019-10-22,39.5650

2019-10-21,34.2324

2019-10-18,33.3675

2019-10-17,32.5257

2019-10-16,37.6431

2019-10-15,44.0399

2019-10-14,39.9766

2019-10-11,36.0568

2019-10-10,34.6269

2019-10-09,37.2217

2019-10-08,41.1364

2019-10-07,46.0296

2019-10-04,52.3921

2019-10-03,61.2238

2019-10-02,75.1362

2019-10-01,76.4437

2019-09-30,81.8801

2019-09-27,80.4613

2019-09-26,78.4826

2019-09-25,76.0846

2019-09-24,72.5329

2019-09-23,68.1910

2019-09-20,65.2658

2019-09-19,61.8411

2019-09-18,59.4493

2019-09-17,56.4597

2019-09-16,53.9508

2019-09-13,51.0317

2019-09-12,50.2768

2019-09-11,53.7207

2019-09-10,47.8570

2019-09-09,40.5273

2019-09-06,33.6631

2019-09-05,38.7401

2019-09-04,40.9959

2019-09-03,45.5291

2019-08-30,51.1957

2019-08-29,58.2790

2019-08-28,61.4235

2019-08-27,65.3542

2019-08-26,60.0736

2019-08-23,55.2117

2019-08-22,49.1343

2019-08-21,43.1143

2019-08-20,35.8740

2019-08-19,30.9862

2019-08-16,30.2943

2019-08-15,33.0940

2019-08-14,37.8258

2019-08-13,43.7405

2019-08-12,44.2991

2019-08-09,38.9603

2019-08-08,32.4337

2019-08-07,27.1077

2019-08-06,25.7222

2019-08-05,28.7062

2019-08-02,35.8375

2019-08-01,38.4252

2019-07-31,37.4476

2019-07-30,35.8022

2019-07-29,33.7455

2019-07-26,32.7778

2019-07-25,32.2175

2019-07-24,31.7049

2019-07-23,37.3838

2019-07-22,37.6792

2019-07-19,32.9718

2019-07-18,27.9702

2019-07-17,24.7251

2019-07-16,20.6688

2019-07-15,23.3882

2019-07-12,27.1944

2019-07-11,28.7492

2019-07-10,30.6354

2019-07-09,27.3822

2019-07-08,24.6889

2019-07-05,21.3223

2019-07-03,26.4430

2019-07-02,26.3381

2019-07-01,28.6937

2019-06-28,35.7165

2019-06-27,40.7931

2019-06-26,45.6642

2019-06-25,46.2775

