time,MFI
2019-11-15,87.1945
2019-11-14,100.0000
2019-11-13,77.0419
2019-11-12,59.6694
2019-11-11,38.0564
2019-11-08,20.2428
2019-11-07,15.1364
2019-11-06,15.8187
2019-11-05,34.1941
2019-11-04,27.4799
2019-11-01,48.1647
2019-10-31,34.7224
2019-10-30,51.8184
2019-10-29,38.2318
2019-10-28,44.6283
2019-10-25,25.2071
2019-10-24,24.3196
2019-10-23,0.0000
2019-10-22,0.0000
2019-10-21,20.0884
2019-10-18,39.0119
2019-10-17,61.2129
2019-10-16,77.7678
2019-10-15,86.3231
2019-10-14,66.8189
2019-10-11,63.8872
2019-10-10,65.6239
2019-10-09,68.6328
2019-10-08,64.4419
2019-10-07,81.4940
2019-10-04,82.3660
2019-10-03,62.7119
2019-10-02,61.7796
2019-10-01,85.1700
2019-09-30,58.9257
2019-09-27,46.0574
2019-09-26,44.3174
2019-09-25,40.9198
2019-09-24,12.2436
2019-09-23,11.6412
2019-09-20,11.2417
2019-09-19,11.1766
2019-09-18,19.3311
2019-09-17,37.3478
2019-09-16,37.4781
2019-09-13,33.5514
2019-09-12,34.9202
2019-09-11,32.4082
2019-09-10,25.1433
2019-09-09,48.0683
2019-09-06,54.4891
2019-09-05,50.7679
2019-09-04,28.7341
2019-09-03,37.3706
2019-08-30,37.6899
2019-08-29,59.8160
2019-08-28,77.9073
2019-08-27,100.0000
2019-08-26,100.0000
2019-08-23,100.0000
2019-08-22,100.0000
2019-08-21,82.3668
2019-08-20,54.2280
2019-08-19,29.9863
2019-08-16,34.6831
2019-08-15,41.7537
2019-08-14,58.3703
2019-08-13,79.8274
2019-08-12,100.0000
2019-08-09,77.9391
2019-08-08,56.4586
2019-08-07,65.8789
2019-08-06,65.7498
2019-08-05,51.9874
2019-08-02,52.5968
2019-08-01,66.3727
2019-07-31,53.2331
2019-07-30,31.5457
2019-07-29,31.6276
2019-07-26,56.1630
2019-07-25,57.9828
2019-07-24,58.7628
2019-07-23,83.9687
2019-07-22,100.0000
2019-07-19,100.0000
2019-07-18,81.6656
2019-07-17,68.7350
2019-07-16,41.4840
2019-07-15,44.5191
2019-07-12,49.1240
2019-07-11,53.2478
2019-07-10,67.2547
2019-07-09,83.6027
2019-07-08,82.5457
2019-07-05,79.2729
2019-07-03,100.0000
2019-07-02,72.7739
2019-07-01,39.7483
2019-06-28,26.0444
2019-06-27,14.1335
2019-06-26,23.8738
2019-06-25,43.1616
2019-06-24,66.6168
2019-06-21,84.2532
2019-06-20,91.7208
2019-06-19,88.8744
2019-06-18,84.2432
2019-06-17,52.7020
2019-06-14,60.1834
