time,PPO
2019-11-15,-2.8504
2019-11-14,-2.8155
2019-11-13,-2.8303
2019-11-12,-2.5100
2019-11-11,-2.4426
2019-11-08,-2.1982
2019-11-07,-2.5426
2019-11-06,-2.4674
2019-11-05,-2.0357
2019-11-04,-1.7348
2019-11-01,-1.0971
2019-10-31,-0.8743
2019-10-30,-0.0380
2019-10-29,0.9069
2019-10-28,1.3361
2019-10-25,1.3989
2019-10-24,1.2122
2019-10-23,0.8599
2019-10-22,1.2361
2019-10-21,1.4863
2019-10-18,1.4122
2019-10-17,0.7998
2019-10-16,0.1406
2019-10-15,-0.3282
2019-10-14,-1.5118
2019-10-11,-2.7259
2019-10-10,-3.8190
2019-10-09,-5.2406
2019-10-08,-6.0196
2019-10-07,-6.6250
2019-10-04,-7.3492
2019-10-03,-8.0864
2019-10-02,-8.8418
2019-10-01,-9.0437
2019-09-30,-9.1410
2019-09-27,-8.8414
2019-09-26,-8.6917
2019-09-25,-8.7370
2019-09-24,-8.1797
2019-09-23,-6.8486
2019-09-20,-5.4073
2019-09-19,-4.2067
2019-09-18,-3.3165
2019-09-17,-2.3864
2019-09-16,-1.3915
2019-09-13,-0.3212
2019-09-12,1.1845
2019-09-11,2.3176
2019-09-10,3.3876
2019-09-09,4.5961
2019-09-06,5.4866
2019-09-05,6.0538
2019-09-04,6.2253
2019-09-03,6.3402
2019-08-30,6.1181
2019-08-29,5.9529
2019-08-28,6.1383
2019-08-27,6.2224
2019-08-26,6.1781
2019-08-23,6.0384
2019-08-22,5.6483
2019-08-21,5.0403
2019-08-20,4.2248
2019-08-19,3.7750
2019-08-16,3.8834
2019-08-15,3.3884
2019-08-14,2.8521
2019-08-13,2.3893
2019-08-12,2.1398
2019-08-09,1.9268
2019-08-08,1.5758
2019-08-07,1.4194
2019-08-06,1.7049
2019-08-05,2.0310
2019-08-02,2.5339
2019-08-01,2.8874
2019-07-31,2.9723
2019-07-30,3.2093
2019-07-29,2.9401
2019-07-26,2.7132
2019-07-25,2.3715
2019-07-24,2.4348
2019-07-23,2.5047
2019-07-22,2.3823
2019-07-19,2.1546
2019-07-18,1.9234
2019-07-17,1.5231
2019-07-16,1.0820
2019-07-15,0.7956
2019-07-12,0.1911
2019-07-11,-0.2916
2019-07-10,0.1342
2019-07-09,1.0300
2019-07-08,1.7987
2019-07-05,2.5355
2019-07-03,2.8108
2019-07-02,3.0110
2019-07-01,3.3000
2019-06-28,3.8084
2019-06-27,4.3761
2019-06-26,4.9229
2019-06-25,5.7257
2019-06-24,6.4694
2019-06-21,6.5222
2019-06-20,6.4211
2019-06-19,5.9196
2019-06-18,5.1921
2019-06-17,4.9769
2019-06-14,4.7721
2019-06-13,4.4324
2019-06-12,4.3939
2019-06-11,4.0060
2019-06-10,3.5605
2019-06-07,3.4603
2019-06-06,3.3474
2019-06-05,3.2120
2019-06-04,3.6146
2019-06-03,4.5278
2019-05-31,5.2113
2019-05-30,5.3725
2019-05-29,5.3664
2019-05-28,5.6835
2019-05-24,5.9575
2019-05-23,6.4383
2019-05-22,6.9325
2019-05-21,7.4967
2019-05-20,8.1818
2019-05-17,8.7494
2019-05-16,8.9343
2019-05-15,9.0316
2019-05-14,8.8098
2019-05-13,8.7197
2019-05-10,8.5849
2019-05-09,8.1400
2019-05-08,7.8558
2019-05-07,7.4955
2019-05-06,7.0364
2019-05-03,6.3553
2019-05-02,5.6884
2019-05-01,5.1984
2019-04-30,4.8400
2019-04-29,4.4087
2019-04-26,4.0394
2019-04-25,3.7090
2019-04-24,3.2819
2019-04-23,2.6197
2019-04-22,1.7959
2019-04-18,1.3256
2019-04-17,0.8327
2019-04-16,0.6608
2019-04-15,0.5871
2019-04-12,0.5274
2019-04-11,0.4527
2019-04-10,0.6322
2019-04-09,0.7891
2019-04-08,0.9112
2019-04-05,1.2798
2019-04-04,1.6227
2019-04-03,2.0393
2019-04-02,2.4645
2019-04-01,2.9335
2019-03-29,3.4772
2019-03-28,4.0025
2019-03-27,4.4585
2019-03-26,4.8607
2019-03-25,4.7769
2019-03-22,4.6704
2019-03-21,4.7373
2019-03-20,4.5941
2019-03-19,4.5380
2019-03-18,4.6286
2019-03-15,4.6189
2019-03-14,4.5674
2019-03-13,4.2742
2019-03-12,4.1543
2019-03-11,3.9928
2019-03-08,3.6877
2019-03-07,3.8053
2019-03-06,4.2103
2019-03-05,4.4106
2019-03-04,4.4538
2019-03-01,4.4099
2019-02-28,4.4510
2019-02-27,4.4446
2019-02-26,4.5216
2019-02-25,4.5196
2019-02-22,4.5300
2019-02-21,4.7331
2019-02-20,5.1968
2019-02-19,5.4907
2019-02-15,5.6556
2019-02-14,5.5872
2019-02-13,5.3678
2019-02-12,5.4122
2019-02-11,5.7001
2019-02-08,6.0383
2019-02-07,6.0073
2019-02-06,6.0501
2019-02-05,6.2932
2019-02-04,6.5301
2019-02-01,6.8634
2019-01-31,7.3752
2019-01-30,7.5719
2019-01-29,7.8152
2019-01-28,7.9921
2019-01-25,8.0890
2019-01-24,8.0399
2019-01-23,7.7494
2019-01-22,6.5265
2019-01-18,4.8574
2019-01-17,3.7374
2019-01-16,2.7770
2019-01-15,1.6289
2019-01-14,0.2613
2019-01-11,-0.8858
2019-01-10,-2.8638
2019-01-09,-4.5043
2019-01-08,-5.7477
2019-01-07,-6.5847
2019-01-04,-7.1754
2019-01-03,-7.8297
2019-01-02,-7.3458
2018-12-31,-5.8417
2018-12-28,-4.4638
2018-12-27,-3.2235
2018-12-26,-2.5924
2018-12-24,-2.1422
2018-12-21,-0.5736
2018-12-20,0.5944
2018-12-19,2.0340
2018-12-18,2.9426
2018-12-17,3.3684
2018-12-14,4.0199
2018-12-13,4.2436
2018-12-12,3.8446
2018-12-11,2.7941
2018-12-10,1.8068
2018-12-07,1.1789
2018-12-06,0.8979
2018-12-04,1.3272
2018-12-03,1.7944
2018-11-30,1.5279
2018-11-29,1.5493
2018-11-28,1.2151
2018-11-27,1.1084
2018-11-26,1.9044
2018-11-23,2.4062
2018-11-21,2.7031
2018-11-20,2.8329
2018-11-19,3.4688
2018-11-16,4.0652
2018-11-15,3.9440
2018-11-14,3.2519
2018-11-13,2.4564
2018-11-12,2.0519
2018-11-09,1.8521
