time,SAR

2019-11-01,341.2712

2019-10-31,342.2959

2019-10-30,343.3415

2019-10-29,344.4085

2019-10-28,345.4972

2019-10-25,346.6082

2019-10-24,347.7418

2019-10-23,348.8986

2019-10-22,349.4400

2019-10-21,303.9703

2019-10-18,301.5771

2019-10-17,299.0580

2019-10-16,296.4064

2019-10-15,293.6151

2019-10-14,291.4312

2019-10-11,290.0116

2019-10-10,289.1635

2019-10-09,288.2980

2019-10-08,287.4149

2019-10-07,286.5138

2019-10-04,286.0700

2019-10-03,328.0919

2019-10-02,332.7610

2019-10-01,337.9488

2019-09-30,343.7132

2019-09-27,350.1180

2019-09-26,357.2344

2019-09-25,365.1415

2019-09-24,372.8135

2019-09-23,378.2134

2019-09-20,383.1972

2019-09-19,387.3875

2019-09-18,391.8452

2019-09-17,395.4460

2019-09-16,398.4016

2019-09-13,400.3597

2019-09-12,402.3784

2019-09-11,404.4595

2019-09-10,406.6049

2019-09-09,407.7535

2019-09-06,408.1174

2019-09-05,408.4849

2019-09-04,408.8562

2019-09-03,409.2312

2019-08-30,409.6100

2019-08-29,369.9182

2019-08-28,364.5057

2019-08-27,358.3551

2019-08-26,353.0641

2019-08-23,347.1192

2019-08-22,342.0403

2019-08-21,337.1536

2019-08-20,333.7495

2019-08-19,330.8434

2019-08-16,327.7185

2019-08-15,324.3583

2019-08-14,320.7453

2019-08-13,316.8603

2019-08-12,312.6830

2019-08-09,308.9204

2019-08-08,306.3067

2019-08-07,304.4532

2019-08-06,302.5225

2019-08-05,300.5114

2019-08-02,298.4165

2019-08-01,296.2342

2019-07-31,294.8548

2019-07-30,293.4327

2019-07-29,291.9666

2019-07-26,290.4552

2019-07-25,288.8970

2019-07-24,287.2906

2019-07-23,285.6346

2019-07-22,283.9273

2019-07-19,282.8034

2019-07-18,282.2565

2019-07-17,281.7040

2019-07-16,326.0662

2019-07-15,326.9716

2019-07-12,327.8954

2019-07-11,328.8381

2019-07-10,329.8000

2019-07-09,329.9117

2019-07-08,330.8956

2019-07-05,331.8995

2019-07-03,332.9239

2019-07-02,333.9692

2019-07-01,335.0358

2019-06-28,336.1242

2019-06-27,337.2348

2019-06-26,338.3681

2019-06-25,338.9400

2019-06-24,294.7564

