time,ADX
2019-11-15,52.2241
2019-11-14,48.3206
2019-11-13,49.4326
2019-11-12,51.2134
2019-11-11,49.0793
2019-11-08,50.5243
2019-11-07,52.3306
2019-11-06,49.9947
2019-11-05,52.6148
2019-11-04,50.5105
2019-11-01,45.8745
2019-10-31,43.2173
2019-10-30,46.2628
2019-10-29,48.0115
2019-10-28,43.1568
2019-10-25,37.7075
2019-10-24,34.0405
2019-10-23,32.3708
2019-10-22,33.8923
2019-10-21,33.3931
2019-10-18,34.5974
2019-10-17,38.2452
2019-10-16,36.3719
2019-10-15,35.9564
2019-10-14,35.4371
2019-10-11,40.0891
2019-10-10,44.3183
2019-10-09,51.0651
2019-10-08,53.1544
2019-10-07,54.2498
2019-10-04,61.7395
2019-10-03,69.2487
2019-10-02,63.3865
2019-10-01,56.4100
2019-09-30,50.2215
2019-09-27,45.9986
2019-09-26,40.7198
2019-09-25,37.4430
2019-09-24,33.3470
2019-09-23,29.1027
2019-09-20,29.4044
2019-09-19,30.1598
2019-09-18,32.2414
2019-09-17,40.1232
2019-09-16,42.1848
2019-09-13,44.7620
2019-09-12,41.1768
2019-09-11,36.6955
2019-09-10,34.1089
2019-09-09,35.0140
2019-09-06,30.8764
2019-09-05,26.3703
2019-09-04,20.7377
2019-09-03,20.5665
2019-08-30,25.4040
2019-08-29,25.8921
2019-08-28,28.6368
2019-08-27,28.6665
2019-08-26,30.2129
2019-08-23,25.9230
2019-08-22,20.5605
2019-08-21,25.1664
2019-08-20,28.3047
2019-08-19,33.2730
2019-08-16,35.9923
2019-08-15,43.7972
2019-08-14,43.5885
2019-08-13,45.0910
2019-08-12,52.6768
2019-08-09,54.7191
2019-08-08,61.0797
2019-08-07,69.0306
2019-08-06,63.7179
2019-08-05,57.5966
2019-08-02,49.9450
2019-08-01,44.1478
2019-07-31,40.3710
2019-07-30,37.6990
2019-07-29,44.4518
2019-07-26,40.0265
2019-07-25,34.4949
2019-07-24,31.0941
2019-07-23,26.8430
2019-07-22,26.3881
2019-07-19,31.5612
2019-07-18,38.0276
2019-07-17,40.8815
2019-07-16,49.0583
2019-07-15,52.1339
2019-07-12,48.8416
2019-07-11,45.5796
2019-07-10,44.2683
2019-07-09,42.6290
2019-07-08,47.0771
2019-07-05,47.2931
2019-07-03,47.5631
2019-07-02,41.4715
2019-07-01,37.2298
2019-06-28,31.9276
2019-06-27,33.6267
