time,ATR
2019-11-15,1.9332
2019-11-14,1.8440
2019-11-13,1.9175
2019-11-12,1.9269
2019-11-11,1.9486
2019-11-08,2.0182
2019-11-07,2.0303
2019-11-06,1.9004
2019-11-05,2.0405
2019-11-04,2.2481
2019-11-01,2.3451
2019-10-31,2.2164
2019-10-30,2.1679
2019-10-29,2.0699
2019-10-28,2.2449
2019-10-25,2.2436
2019-10-24,2.1745
2019-10-23,2.3157
2019-10-22,2.5346
2019-10-21,2.6707
2019-10-18,2.7784
2019-10-17,2.8805
2019-10-16,3.1407
2019-10-15,3.6158
2019-10-14,3.5823
2019-10-11,4.2028
2019-10-10,3.8786
2019-10-09,4.0457
2019-10-08,4.1146
2019-10-07,3.9958
2019-10-04,4.3722
2019-10-03,4.4128
2019-10-02,4.1085
2019-10-01,3.4856
2019-09-30,2.9920
2019-09-27,3.2025
2019-09-26,2.9381
2019-09-25,3.0701
2019-09-24,2.8926
2019-09-23,2.3583
2019-09-20,2.5154
2019-09-19,2.2267
2019-09-18,2.3034
2019-09-17,2.1342
2019-09-16,2.3503
2019-09-13,2.5154
2019-09-12,2.7717
2019-09-11,2.9121
2019-09-10,2.9926
2019-09-09,3.1833
2019-09-06,3.4591
2019-09-05,3.9889
2019-09-04,3.7786
2019-09-03,3.8933
2019-08-30,4.0716
2019-08-29,4.3845
2019-08-28,4.4131
2019-08-27,4.5614
2019-08-26,4.7218
2019-08-23,5.1147
2019-08-22,4.0709
2019-08-21,4.2061
2019-08-20,4.5651
2019-08-19,5.1039
2019-08-16,5.3224
2019-08-15,5.4830
2019-08-14,6.0412
2019-08-13,5.3540
2019-08-12,4.9950
2019-08-09,5.0938
2019-08-08,5.3747
2019-08-07,5.3059
2019-08-06,4.9374
2019-08-05,5.1167
2019-08-02,3.6709
2019-08-01,3.6036
2019-07-31,2.7770
2019-07-30,1.9713
2019-07-29,1.9737
2019-07-26,2.1771
2019-07-25,2.1639
2019-07-24,2.1223
2019-07-23,2.0654
2019-07-22,2.0493
2019-07-19,2.1966
2019-07-18,1.9683
2019-07-17,1.8228
2019-07-16,1.7311
2019-07-15,1.8038
2019-07-12,2.0192
2019-07-11,2.1690
2019-07-10,2.3663
