time,PPO
2019-11-15,1.4390
2019-11-14,1.4675
2019-11-13,1.5287
2019-11-12,1.6349
2019-11-11,1.6368
2019-11-08,1.5976
2019-11-07,1.5871
2019-11-06,1.5945
2019-11-05,1.5774
2019-11-04,1.4585
2019-11-01,1.3888
2019-10-31,1.2917
2019-10-30,1.2417
2019-10-29,1.1201
2019-10-28,0.9909
2019-10-25,0.7736
2019-10-24,0.4897
2019-10-23,0.1469
2019-10-22,-0.0579
2019-10-21,-0.2039
2019-10-18,-0.4874
2019-10-17,-0.8089
2019-10-16,-0.9912
2019-10-15,-1.0336
2019-10-14,-1.1227
2019-10-11,-1.1201
2019-10-10,-1.1022
2019-10-09,-1.0386
2019-10-08,-0.8367
2019-10-07,-0.6132
2019-10-04,-0.3821
2019-10-03,-0.1218
2019-10-02,0.2196
2019-10-01,0.5606
2019-09-30,0.8913
2019-09-27,1.0765
2019-09-26,1.2519
2019-09-25,1.3749
2019-09-24,1.4611
2019-09-23,1.6156
2019-09-20,1.7845
2019-09-19,1.8559
2019-09-18,1.6762
2019-09-17,1.6041
2019-09-16,1.4908
2019-09-13,1.2569
2019-09-12,1.0261
2019-09-11,0.8259
2019-09-10,0.6037
2019-09-09,0.5116
2019-09-06,0.3913
2019-09-05,0.1712
2019-09-04,-0.0247
2019-09-03,-0.2716
2019-08-30,-0.5942
2019-08-29,-0.9376
2019-08-28,-1.0541
2019-08-27,-1.2225
2019-08-26,-1.2304
2019-08-23,-1.1895
2019-08-22,-1.2819
2019-08-21,-1.4807
2019-08-20,-1.8188
2019-08-19,-1.8839
2019-08-16,-1.9194
2019-08-15,-1.8109
2019-08-14,-1.5364
2019-08-13,-1.2124
2019-08-12,-1.0012
2019-08-09,-0.7996
2019-08-08,-0.6164
2019-08-07,-0.4728
2019-08-06,-0.2936
2019-08-05,-0.0983
2019-08-02,0.2223
2019-08-01,0.3933
2019-07-31,0.5825
2019-07-30,0.7247
2019-07-29,0.8103
2019-07-26,0.8231
2019-07-25,0.8445
2019-07-24,0.8650
2019-07-23,0.8931
2019-07-22,0.9902
2019-07-19,1.1250
2019-07-18,1.2199
2019-07-17,1.2614
2019-07-16,1.2433
2019-07-15,1.1702
2019-07-12,1.0897
2019-07-11,1.0431
2019-07-10,1.1313
2019-07-09,1.3207
2019-07-08,1.5770
2019-07-05,1.7089
2019-07-03,1.8076
2019-07-02,1.7883
2019-07-01,1.7663
2019-06-28,1.7742
2019-06-27,1.7408
2019-06-26,1.7333
2019-06-25,1.7788
2019-06-24,1.7555
2019-06-21,1.5790
2019-06-20,1.3790
2019-06-19,1.1011
2019-06-18,0.7261
2019-06-17,0.2824
2019-06-14,0.0160
2019-06-13,-0.2830
2019-06-12,-0.5375
2019-06-11,-0.7616
2019-06-10,-1.0286
2019-06-07,-1.1560
2019-06-06,-1.2450
2019-06-05,-1.3927
2019-06-04,-1.4536
2019-06-03,-1.4154
2019-05-31,-1.3416
2019-05-30,-1.3298
2019-05-29,-1.4595
2019-05-28,-1.3331
2019-05-24,-1.2749
2019-05-23,-1.2255
2019-05-22,-1.1640
2019-05-21,-1.0139
2019-05-20,-0.8454
2019-05-17,-0.6935
2019-05-16,-0.5540
2019-05-15,-0.3671
2019-05-14,-0.1631
2019-05-13,0.0561
2019-05-10,0.2936
2019-05-09,0.4345
2019-05-08,0.6223
2019-05-07,0.7237
2019-05-06,0.8566
2019-05-03,0.9219
2019-05-02,1.0035
2019-05-01,1.1040
2019-04-30,1.2286
2019-04-29,1.2603
2019-04-26,1.2223
2019-04-25,1.2060
2019-04-24,1.2423
2019-04-23,1.2705
2019-04-22,1.2620
2019-04-18,1.2739
2019-04-17,1.2741
2019-04-16,1.3044
2019-04-15,1.2399
