time,ROCR
2019-11-15,1.0092
2019-11-14,1.0044
2019-11-13,1.0065
2019-11-12,1.0064
2019-11-11,1.0032
2019-11-08,1.0091
2019-11-07,1.0160
2019-11-06,1.0097
2019-11-05,1.0126
2019-11-04,1.0134
2019-11-01,1.0151
2019-10-31,1.0099
2019-10-30,1.0142
2019-10-29,1.0140
2019-10-28,1.0110
2019-10-25,1.0122
2019-10-24,1.0036
2019-10-23,1.0050
2019-10-22,1.0004
2019-10-21,1.0137
2019-10-18,1.0057
2019-10-17,1.0206
2019-10-16,1.0245
2019-10-15,1.0359
2019-10-14,1.0098
2019-10-11,1.0066
2019-10-10,1.0097
2019-10-09,1.0111
2019-10-08,0.9839
2019-10-07,0.9876
2019-10-04,0.9964
2019-10-03,0.9778
2019-10-02,0.9679
2019-10-01,0.9911
2019-09-30,0.9952
2019-09-27,0.9903
2019-09-26,0.9864
2019-09-25,0.9884
2019-09-24,0.9832
2019-09-23,0.9935
2019-09-20,0.9907
2019-09-19,0.9993
2019-09-18,1.0028
2019-09-17,1.0094
2019-09-16,1.0066
2019-09-13,1.0102
2019-09-12,1.0117
2019-09-11,1.0211
2019-09-10,1.0254
2019-09-09,1.0197
2019-09-06,1.0187
2019-09-05,1.0309
2019-09-04,1.0250
2019-09-03,1.0095
2019-08-30,1.0267
2019-08-29,1.0008
2019-08-28,0.9878
2019-08-27,0.9889
2019-08-26,0.9852
2019-08-23,0.9862
2019-08-22,1.0271
2019-08-21,1.0301
2019-08-20,0.9916
2019-08-19,1.0148
2019-08-16,0.9905
2019-08-15,0.9695
2019-08-14,0.9859
2019-08-13,1.0165
2019-08-12,1.0150
2019-08-09,0.9966
2019-08-08,0.9959
2019-08-07,0.9682
2019-08-06,0.9570
2019-08-05,0.9415
2019-08-02,0.9689
2019-08-01,0.9828
2019-07-31,0.9867
2019-07-30,1.0023
2019-07-29,1.0120
2019-07-26,1.0163
2019-07-25,1.0039
2019-07-24,1.0124
2019-07-23,1.0011
2019-07-22,0.9905
2019-07-19,0.9884
2019-07-18,0.9984
2019-07-17,0.9971
2019-07-16,1.0085
2019-07-15,1.0132
2019-07-12,1.0073
2019-07-11,1.0017
2019-07-10,1.0074
2019-07-09,1.0052
2019-07-08,1.0130
2019-07-05,1.0239
2019-07-03,1.0287
2019-07-02,1.0195
2019-07-01,1.0069
2019-06-28,0.9966
2019-06-27,0.9853
2019-06-26,0.9912
2019-06-25,0.9944
2019-06-24,1.0148
2019-06-21,1.0164
2019-06-20,1.0217
2019-06-19,1.0162
2019-06-18,1.0121
2019-06-17,1.0014
2019-06-14,1.0056
2019-06-13,1.0168
2019-06-12,1.0192
2019-06-11,1.0298
2019-06-10,1.0524
2019-06-07,1.0450
2019-06-06,1.0207
2019-06-05,1.0169
2019-06-04,1.0014
2019-06-03,0.9710
2019-05-31,0.9757
2019-05-30,0.9769
2019-05-29,0.9712
2019-05-28,0.9866
2019-05-24,0.9893
2019-05-23,0.9807
2019-05-22,1.0020
2019-05-21,1.0110
2019-05-20,1.0110
2019-05-17,0.9922
2019-05-16,1.0036
2019-05-15,0.9914
2019-05-14,0.9843
2019-05-13,0.9592
2019-05-10,0.9798
2019-05-09,0.9845
2019-05-08,0.9853
2019-05-07,0.9793
2019-05-06,0.9964
2019-05-03,1.0021
2019-05-02,0.9970
2019-05-01,0.9986
2019-04-30,1.0039
