timestamp,open,high,low,close
2020-03-13,2.8624,2.8851,2.8230,2.8521
2020-03-12,2.8763,2.9078,2.8203,2.8624
2020-03-11,2.8814,2.9079,2.8523,2.8763
2020-03-10,2.9214,2.9242,2.7744,2.8814
2020-03-09,2.8969,2.9398,2.8883,2.9123
2020-03-08,2.8701,2.8969,2.8701,2.8969
2020-03-07,2.8701,2.8701,2.8701,2.8701
2020-03-06,2.8544,2.8990,2.8460,2.8768
2020-03-05,2.8338,2.8693,2.8187,2.8544
2020-03-04,2.8361,2.8472,2.8135,2.8340
2020-03-03,2.8314,2.8512,2.8165,2.8361
2020-03-02,2.8041,2.8424,2.7994,2.8313
2020-03-01,2.7978,2.8041,2.7916,2.8041
2020-02-28,2.7887,2.8080,2.7715,2.7978
2020-02-27,2.7507,2.7926,2.7166,2.7887
2020-02-26,2.7446,2.7654,2.7334,2.7507
2020-02-25,2.7371,2.7477,2.7273,2.7446
2020-02-24,2.7217,2.7453,2.6439,2.7371
2020-02-23,2.7217,2.7217,2.7155,2.7217
2020-02-21,2.7072,2.7357,2.6462,2.7273
2020-02-20,2.7168,2.7335,2.7045,2.7072
2020-02-19,2.7079,2.7252,2.6522,2.7168
2020-02-18,2.7230,2.7282,2.6379,2.7140
2020-02-17,2.7150,2.7313,2.7150,2.7229
2020-02-16,2.7150,2.7211,2.7150,2.7150
2020-02-15,2.7146,2.7150,2.7145,2.7150
2020-02-14,2.7121,2.7250,2.7071,2.7145
2020-02-13,2.7128,2.7281,2.7005,2.7121
2020-02-12,2.7253,2.7332,2.7078,2.7128
2020-02-11,2.7075,2.7283,2.6673,2.7252
2020-02-10,2.7153,2.7281,2.6987,2.7075
2020-02-09,2.7153,2.7153,2.7152,2.7152
2020-02-08,2.7153,2.7153,2.7152,2.7153
2020-02-07,2.7126,2.7253,2.6793,2.7152
2020-02-06,2.7145,2.7272,2.7084,2.7126
2020-02-05,2.7310,2.7349,2.6912,2.7145
2020-02-04,2.7206,2.7410,2.7091,2.7310
2020-02-03,2.7262,2.7421,2.7032,2.7206
2020-02-02,2.7261,2.7328,2.7261,2.7327
2020-02-01,2.7262,2.7262,2.7262,2.7262
2020-01-31,2.7031,2.7300,2.6910,2.7261
2020-01-30,2.6984,2.7137,2.6976,2.7031
2020-01-29,2.7067,2.7132,2.6918,2.7044
2020-01-28,2.7016,2.7107,2.6928,2.7066
2020-01-27,2.6983,2.7098,2.6896,2.7016
2020-01-26,2.6983,2.7043,2.6983,2.6983
2020-01-24,2.6977,2.7078,2.6912,2.6964
2020-01-23,2.7092,2.7185,2.6912,2.6977
2020-01-22,2.7127,2.7198,2.7032,2.7092
2020-01-21,2.7121,2.7189,2.7047,2.7126
2020-01-20,2.7210,2.7242,2.7061,2.7121
2020-01-19,2.7210,2.7210,2.7210,2.7210
2020-01-18,2.7210,2.7210,2.7210,2.7210
2020-01-17,2.7215,2.7341,2.7155,2.7210
2020-01-16,2.7225,2.7401,2.7164,2.7215
2020-01-15,2.7261,2.7348,2.7104,2.7225
2020-01-14,2.7238,2.7360,2.7128,2.7260
2020-01-13,2.7101,2.7321,2.7101,2.7238
2020-01-12,2.7101,2.7101,2.7101,2.7101
2020-01-10,2.7022,2.7174,2.6880,2.7042
2020-01-09,2.7058,2.7126,2.6977,2.7022
2020-01-08,2.7100,2.7246,2.6962,2.7058
2020-01-07,2.7289,2.7376,2.7041,2.7100
2020-01-06,2.7207,2.7374,2.7161,2.7289
2020-01-05,2.7207,2.7273,2.7207,2.7207
2020-01-03,2.7305,2.7327,2.7069,2.7207
2020-01-02,2.7458,2.7462,2.7171,2.7304
2020-01-01,2.7392,2.7458,2.7391,2.7457
2019-12-31,2.7397,2.7462,2.7391,2.7391
2019-12-30,2.7309,2.7504,2.7309,2.7396
2019-12-29,2.7309,2.7309,2.7309,2.7309
2019-12-28,2.7309,2.7309,2.7309,2.7309
2019-12-27,2.7062,2.7369,2.7062,2.7309
2019-12-26,2.7065,2.7203,2.6929,2.7062
2019-12-25,2.7065,2.7065,2.6999,2.7065
2019-12-24,2.7121,2.7187,2.6929,2.7064
2019-12-23,2.6978,2.7203,2.6978,2.7121
2019-12-22,2.6978,2.6978,2.6978,2.6978
2019-12-21,2.6918,2.6918,2.6918,2.6918
2019-12-20,2.7090,2.7133,2.6917,2.6918
2019-12-19,2.7101,2.7234,2.6976,2.7090
2019-12-18,2.7162,2.7294,2.7041,2.7101
2019-12-17,2.7207,2.7359,2.7102,2.7162
2019-12-16,2.7104,2.7257,2.7088,2.7207
2019-12-15,2.7104,2.7104,2.7104,2.7104
2019-12-13,2.7228,2.7419,2.7102,2.7104
2019-12-12,2.7102,2.7374,2.7043,2.7228
2019-12-11,2.7092,2.7252,2.6977,2.7102
2019-12-10,2.7103,2.7203,2.6903,2.7092
2019-12-09,2.6977,2.7128,2.6843,2.7103
2019-12-08,2.6977,2.6977,2.6977,2.6977
2019-12-07,2.6977,2.6977,2.6977,2.6977
2019-12-06,2.7126,2.7196,2.6977,2.6977
2019-12-05,2.6998,2.7135,2.6947,2.7126
2019-12-04,2.6962,2.7108,2.6875,2.6998
2019-12-03,2.7090,2.7121,2.6956,2.6962
2019-12-02,2.6983,2.7201,2.6842,2.7090
2019-12-01,2.6983,2.6983,2.6983,2.6983
2019-11-29,2.6861,2.6983,2.6838,2.6983
2019-11-28,2.6919,2.6979,2.6860,2.6861
