timestamp,open,high,low,close
2020-03-13,0.0960,0.1016,0.0951,0.0994
2020-03-12,0.0950,0.0998,0.0928,0.0961
2020-03-11,0.0963,0.0969,0.0938,0.0951
2020-03-10,0.0942,0.0978,0.0938,0.0962
2020-03-09,0.0940,0.0978,0.0909,0.0940
2020-03-08,0.0961,0.0969,0.0928,0.0939
2020-03-07,0.0962,0.0962,0.0962,0.0962
2020-03-06,0.0971,0.0976,0.0951,0.0961
2020-03-05,0.0989,0.0995,0.0961,0.0967
2020-03-04,0.0986,0.0998,0.0977,0.0989
2020-03-03,0.0992,0.1007,0.0962,0.0987
2020-03-02,0.0973,0.1002,0.0960,0.0992
2020-03-01,0.0979,0.0986,0.0967,0.0974
2020-02-28,0.0980,0.1004,0.0958,0.0979
2020-02-27,0.0998,0.1002,0.0978,0.0982
2020-02-26,0.0993,0.1011,0.0986,0.0996
2020-02-25,0.0998,0.1007,0.0987,0.0993
2020-02-24,0.1004,0.1009,0.0993,0.0999
2020-02-23,0.1003,0.1009,0.0997,0.1005
2020-02-21,0.1001,0.1014,0.0990,0.1004
2020-02-20,0.0998,0.1011,0.0984,0.1001
2020-02-19,0.0994,0.1003,0.0991,0.1001
2020-02-18,0.0995,0.1001,0.0985,0.0996
2020-02-17,0.0997,0.1003,0.0987,0.0995
2020-02-16,0.0998,0.0999,0.0995,0.0997
2020-02-15,0.0998,0.0998,0.0998,0.0998
2020-02-14,0.0996,0.1004,0.0992,0.0998
2020-02-13,0.0999,0.1003,0.0990,0.0996
2020-02-12,0.1004,0.1010,0.0994,0.1000
2020-02-11,0.0998,0.1011,0.0989,0.1006
2020-02-10,0.0992,0.1001,0.0986,0.0997
2020-02-09,0.0993,0.0995,0.0990,0.0992
2019-10-28,0.1002,0.1008,0.0997,0.1003
2019-10-27,0.1002,0.1003,0.1000,0.1002
